experiment_id,aging,run_id,stage,stage_name,t_start_s,t_end_s,rapid_anchor_s,peak_anchor_s
M1,fresh,0,0,pre_rapid,1,256,2608,2617
M1,fresh,0,0,pre_rapid,65,320,2608,2617
M1,fresh,0,0,pre_rapid,129,384,2608,2617
M1,fresh,0,0,pre_rapid,193,448,2608,2617
M1,fresh,0,0,pre_rapid,257,512,2608,2617
M1,fresh,0,0,pre_rapid,321,576,2608,2617
M1,fresh,0,0,pre_rapid,385,640,2608,2617
M1,fresh,0,0,pre_rapid,449,704,2608,2617
M1,fresh,0,0,pre_rapid,513,768,2608,2617
M1,fresh,0,0,pre_rapid,577,832,2608,2617
M1,fresh,0,0,pre_rapid,641,896,2608,2617
M1,fresh,0,0,pre_rapid,705,960,2608,2617
M1,fresh,0,0,pre_rapid,769,1024,2608,2617
M1,fresh,0,0,pre_rapid,833,1088,2608,2617
M1,fresh,0,0,pre_rapid,897,1152,2608,2617
M1,fresh,0,0,pre_rapid,961,1216,2608,2617
M1,fresh,0,0,pre_rapid,1025,1280,2608,2617
M1,fresh,0,0,pre_rapid,1089,1344,2608,2617
M1,fresh,0,0,pre_rapid,1153,1408,2608,2617
M1,fresh,0,0,pre_rapid,1217,1472,2608,2617
M1,fresh,0,0,pre_rapid,1281,1536,2608,2617
M1,fresh,0,0,pre_rapid,1345,1600,2608,2617
M1,fresh,0,0,pre_rapid,1409,1664,2608,2617
M1,fresh,0,0,pre_rapid,1473,1728,2608,2617
M1,fresh,0,0,pre_rapid,1537,1792,2608,2617
M1,fresh,0,0,pre_rapid,1601,1856,2608,2617
M1,fresh,0,0,pre_rapid,1665,1920,2608,2617
M1,fresh,0,0,pre_rapid,1729,1984,2608,2617
M1,fresh,0,0,pre_rapid,1793,2048,2608,2617
M1,fresh,0,0,pre_rapid,1857,2112,2608,2617
M1,fresh,0,0,pre_rapid,1921,2176,2608,2617
M1,fresh,0,0,pre_rapid,1985,2240,2608,2617
M1,fresh,0,0,pre_rapid,2049,2304,2608,2617
M1,fresh,0,0,pre_rapid,2113,2368,2608,2617
M1,fresh,0,0,pre_rapid,2177,2432,2608,2617
M1,fresh,0,0,pre_rapid,2241,2496,2608,2617
M1,fresh,0,0,pre_rapid,2305,2560,2608,2617
M1,fresh,0,0,pre_rapid,2369,2624,2608,2617
M1,fresh,0,1,rapid_peak,2433,2688,2608,2617
M1,fresh,0,1,rapid_peak,2497,2752,2608,2617
M1,fresh,0,2,post_peak,2561,2816,2608,2617
M1,fresh,0,2,post_peak,2625,2880,2608,2617
M1,fresh,0,2,post_peak,2689,2944,2608,2617
M1,fresh,0,2,post_peak,2753,3008,2608,2617
M1,fresh,0,2,post_peak,2817,3072,2608,2617
M1,fresh,0,2,post_peak,2881,3136,2608,2617
M1,fresh,0,2,post_peak,2945,3200,2608,2617
M1,fresh,0,2,post_peak,3009,3264,2608,2617
M1,fresh,0,2,post_peak,3073,3328,2608,2617
M1,fresh,0,2,post_peak,3137,3392,2608,2617
M1,fresh,0,2,post_peak,3201,3456,2608,2617
M1,fresh,0,2,post_peak,3265,3520,2608,2617
M1,fresh,0,2,post_peak,3329,3584,2608,2617
M1,fresh,0,2,post_peak,3393,3648,2608,2617
M1,fresh,0,2,post_peak,3457,3712,2608,2617
