experiment_id,aging,stage,stage_name,t_start_s,t_end_s,rapid_anchor_s,peak_anchor_s,mechanical_modality,raw_mechanical_filename_label
A2,fresh,0,pre_rapid,1.0,256.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,65.0,320.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,129.0,384.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,193.0,448.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,257.0,512.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,321.0,576.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,385.0,640.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,449.0,704.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,513.0,768.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,577.0,832.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,641.0,896.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,705.0,960.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,769.0,1024.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,833.0,1088.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,897.0,1152.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,961.0,1216.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1025.0,1280.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1089.0,1344.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1153.0,1408.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1217.0,1472.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1281.0,1536.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1345.0,1600.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1409.0,1664.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1473.0,1728.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1537.0,1792.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1601.0,1856.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1665.0,1920.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1729.0,1984.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1793.0,2048.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1857.0,2112.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1921.0,2176.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,1985.0,2240.0,2419.0,2427.0,force,force
