ms,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC
0,33.3,33.3,33.4,33.6,33.5,33.5,33.5,33.5,33.8,33.5,33.5,33.8,33.8,33.9,33.3
200,33.4,33.3,33.4,33.5,33.5,33.5,33.6,33.6,33.9,33.6,33.6,33.8,33.8,33.8,33.2
400,33.3,33.3,33.3,33.6,33.6,33.6,33.6,33.7,33.9,33.6,33.6,33.7,33.7,33.9,33.3
600,33.5,33.4,33.5,33.6,33.5,33.5,33.5,33.5,33.9,33.6,33.6,33.8,33.8,33.9,33.3
800,33.4,33.3,33.3,33.5,33.5,33.6,33.6,33.6,33.9,33.7,33.6,33.8,33.6,33.8,33.2
0,33.3,33.3,33.4,33.6,33.6,33.6,33.6,33.5,33.9,33.5,33.5,33.8,33.7,33.9,33.3
200,33.5,33.3,33.3,33.5,33.5,33.5,33.5,33.6,33.9,33.6,33.6,33.8,33.8,33.8,33.2
400,33.3,33.3,33.4,33.5,33.6,33.6,33.6,33.7,33.9,33.6,33.5,33.8,33.7,33.8,33.3
600,33.3,33.3,33.5,33.6,33.5,33.6,33.5,33.5,33.9,33.6,33.6,33.8,33.8,33.9,33.3
800,33.4,33.3,33.3,33.5,33.5,33.4,33.6,33.6,33.9,33.6,33.6,33.8,33.7,33.8,33.2
0,33.3,33.2,33.3,33.6,33.6,33.6,33.6,33.6,33.9,33.5,33.5,33.8,33.7,33.9,33.3
200,33.5,33.3,33.4,33.5,33.5,33.5,33.5,33.6,33.9,33.7,33.6,33.9,33.8,33.8,33.2
400,33.3,33.3,33.4,33.5,33.5,33.6,33.6,33.6,33.9,33.5,33.6,33.7,33.7,33.8,33.2
600,33.4,33.3,33.5,33.6,33.5,33.5,33.5,33.5,33.8,33.6,33.5,33.8,33.8,33.9,33.3
800,33.3,33.3,33.3,33.5,33.5,33.5,33.6,33.6,34,33.6,33.6,33.8,33.7,33.8,33.2
0,33.3,33.3,33.4,33.6,33.6,33.6,33.6,33.6,33.8,33.5,33.5,33.8,33.7,33.9,33.3
200,33.5,33.4,33.4,33.5,33.5,33.5,33.5,33.6,33.9,33.7,33.6,33.8,33.8,33.8,33.2
400,33.3,33.2,33.3,33.6,33.6,33.6,33.6,33.6,33.9,33.6,33.5,33.7,33.7,33.9,33.2
600,33.4,33.3,33.4,33.5,33.5,33.5,33.5,33.6,33.9,33.6,33.6,33.9,33.8,33.8,33.3
800,33.3,33.3,33.3,33.5,33.5,33.5,33.6,33.6,33.9,33.6,33.5,33.7,33.6,33.8,33.3
0,33.3,33.3,33.5,33.6,33.5,33.6,33.5,33.5,33.8,33.6,33.5,33.8,33.8,33.9,33.3
200,33.3,33.3,33.3,33.5,33.4,33.5,33.5,33.6,33.9,33.6,33.5,33.8,33.6,33.7,33.1
400,33.3,33.3,33.3,33.6,33.5,33.5,33.5,33.5,33.7,33.5,33.5,33.8,33.8,33.8,33.3
600,33.3,33.3,33.3,33.5,33.4,33.4,33.5,33.5,33.9,33.5,33.6,33.8,33.6,33.8,33.1
800,33.3,33.2,33.3,33.5,33.5,33.5,33.6,33.5,33.8,33.4,33.4,33.7,33.7,33.8,33.2
0,33.3,33.3,33.3,33.5,33.3,33.4,33.5,33.5,33.8,33.5,33.5,33.8,33.8,33.8,33.1
200,33.3,33.2,33.3,33.5,33.5,33.5,33.5,33.6,33.9,33.5,33.5,33.7,33.7,33.7,33.2
400,33.3,33.3,33.3,33.5,33.5,33.5,33.4,33.5,33.9,33.5,33.5,33.8,33.8,33.8,33.2
600,33.3,33.3,33.3,33.5,33.5,33.5,33.6,33.6,33.8,33.5,33.5,33.7,33.6,33.7,33.1
800,33.3,33.3,33.4,33.6,33.5,33.4,33.4,33.5,33.8,33.5,33.6,33.8,33.8,33.8,33.2
0,33.3,33.2,33.3,33.5,33.4,33.5,33.5,33.5,33.9,33.6,33.5,33.8,33.8,33.6,33.1
200,33.3,33.2,33.3,33.5,33.5,33.5,33.5,33.5,33.8,33.5,33.4,33.6,33.8,33.8,33.3
400,33.4,33.3,33.3,33.5,33.5,33.4,33.4,33.5,33.9,33.6,33.6,33.8,33.8,33.8,33.1
600,33.3,33.2,33.3,33.5,33.5,33.5,33.6,33.6,33.9,33.5,33.5,33.6,33.6,33.8,33.2
800,33.3,33.3,33.4,33.6,33.5,33.5,33.4,33.4,33.8,33.6,33.6,33.8,33.8,33.9,33.3
0,33.4,33.3,33.3,33.5,33.4,33.5,33.6,33.6,33.9,33.6,33.5,33.8,33.8,33.7,33.1
200,33.3,33.3,33.5,33.6,33.5,33.6,33.5,33.5,33.8,33.5,33.5,33.7,33.7,33.9,33.3
400,33.4,33.3,33.4,33.5,33.5,33.5,33.5,33.5,33.9,33.6,33.6,33.8,33.8,33.7,33.1
600,33.3,33.3,33.3,33.5,33.5,33.6,33.6,33.6,33.9,33.5,33.5,33.7,33.7,33.8,33.3
800,33.3,33.3,33.4,33.5,33.5,33.5,33.5,33.4,33.8,33.5,33.6,33.8,33.8,33.8,33.3
0,33.3,33.3,33.3,33.5,33.5,33.5,33.5,33.5,33.9,33.6,33.6,33.8,33.8,33.7,33.1
