candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,1,2,121,23,1,1,1,1,1,1.9475746154785156,0.03748830407857895,0.9607527256011963
1,0,1,38,19,1,1,1,1,1,4.631601333618164,0.06393760442733765,1.2753556966781616
2,1,0,66,16,0,0,1,1,1,12.211210250854492,0.029078474268317223,1.0982460975646973
3,1,0,96,35,0,0,1,1,1,7.044623851776123,0.045831646770238876,0.9630783796310425
4,1,1,103,25,1,1,1,1,1,4.35943603515625,0.08008546382188797,1.1701422929763794
5,1,1,104,25,1,1,1,1,1,4.334572792053223,0.0746731236577034,1.2237790822982788
6,1,1,103,39,1,1,1,1,1,4.342470645904541,0.0788913145661354,1.090258002281189
7,0,1,38,19,1,1,1,1,1,4.344982624053955,0.07779483497142792,1.1159729957580566
8,1,1,103,31,1,1,1,1,1,4.550225257873535,0.06302709132432938,1.2257285118103027
9,0,0,26,40,0,0,1,1,1,8.164693832397461,0.08224960416555405,1.0331730842590332
10,0,0,22,19,0,0,1,1,1,5.887652397155762,0.02963588573038578,1.0083388090133667
11,1,0,73,37,0,0,1,1,1,7.591962814331055,0.03185022622346878,1.1088682413101196
12,1,2,107,35,1,1,1,1,1,1.4146232604980469,0.06199174374341965,0.9723265767097473
13,0,1,39,23,1,1,1,1,1,4.675850868225098,0.08721484988927841,1.1667747497558594
14,1,2,116,31,1,1,1,1,1,3.9348530769348145,0.04501418024301529,1.1066615581512451
15,1,1,104,20,1,1,1,1,1,4.300492763519287,0.06274791806936264,1.1968059539794922
16,0,2,56,37,1,1,1,1,1,1.4237275123596191,0.03895622491836548,0.6587631702423096
17,1,0,100,21,0,0,1,1,1,7.948201656341553,0.0434672050178051,0.9231916666030884
18,1,0,96,23,0,0,1,1,1,6.548417568206787,0.05575156956911087,0.968468427658081
19,0,1,38,29,1,1,1,1,1,4.182666301727295,0.11676953732967377,1.0678822994232178
20,0,2,48,25,1,1,1,1,1,0.5993331074714661,0.05903608351945877,0.7168081998825073
21,1,1,103,34,1,1,1,1,1,4.314598560333252,0.08026055246591568,1.161109447479248
22,1,2,115,15,1,1,1,1,1,2.0470893383026123,0.027684638276696205,1.0800576210021973
23,1,0,74,37,0,0,1,1,1,11.380226135253906,0.040991298854351044,1.0645209550857544
24,0,1,38,29,1,1,1,1,1,4.384859561920166,0.08546566963195801,1.2193009853363037
25,1,0,96,35,0,0,1,1,1,5.706231594085693,0.059265486896038055,0.9914353489875793
26,0,2,44,37,1,1,1,1,1,2.527061700820923,0.05616379529237747,0.8167873024940491
27,0,1,39,25,1,1,1,1,1,4.732529163360596,0.07317618280649185,1.189469575881958
28,0,0,15,26,0,0,1,1,1,8.489346504211426,0.05709833651781082,1.0421098470687866
29,1,0,87,17,0,0,1,1,1,6.752267837524414,0.04297344386577606,1.0302917957305908
30,0,1,39,35,1,1,1,1,1,4.990869522094727,0.09330246597528458,1.2647532224655151
31,1,2,118,26,1,1,1,1,1,4.331915378570557,0.056731171905994415,1.0277140140533447
32,0,0,27,16,0,0,1,1,1,7.846977710723877,0.041579488664865494,0.9963664412498474
33,1,0,65,18,0,0,1,1,1,10.742607116699219,0.03761979192495346,1.1214240789413452
34,1,0,86,40,0,0,1,1,1,10.952271461486816,0.06122882291674614,1.0486092567443848
35,1,0,95,40,0,0,1,1,1,8.141308784484863,0.05566855147480965,1.047410488128662
36,1,2,108,34,1,1,1,1,1,1.0213621854782104,0.06813649088144302,0.9550337195396423
