candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,1,2,121,14,1,1,1,1,1,3.8789474964141846,0.031593214720487595,1.0640958547592163
1,0,1,38,10,1,1,1,1,1,4.568419933319092,0.041955891996622086,1.2263728380203247
2,1,0,66,8,0,0,1,1,1,9.784819602966309,0.01886339671909809,1.047001838684082
3,1,0,96,21,0,0,1,1,1,7.05269193649292,0.05612490698695183,0.9360373020172119
4,1,1,103,14,1,1,1,1,1,4.453562259674072,0.041810546070337296,1.1036498546600342
5,1,1,104,15,1,1,1,1,1,4.214568614959717,0.050069622695446014,1.1905266046524048
6,1,1,103,24,1,1,1,1,1,4.333420753479004,0.06683341413736343,1.0846550464630127
7,0,1,38,11,1,1,1,1,1,4.579892158508301,0.0448775477707386,1.2221786975860596
8,1,1,103,19,1,1,1,1,1,4.449676036834717,0.04707162827253342,1.1130603551864624
9,0,0,26,25,1,1,1,1,1,4.07914400100708,0.046786125749349594,0.9832791090011597
10,0,0,22,11,1,1,1,1,1,4.6378960609436035,0.02256762608885765,1.034538745880127
11,1,0,73,23,0,0,1,1,1,10.22319507598877,0.03682877868413925,1.0765330791473389
12,1,2,107,22,1,1,1,1,1,2.5356216430664062,0.04279102385044098,0.9794729351997375
13,0,1,39,13,1,1,1,1,1,4.795368194580078,0.04256055876612663,1.2895824909210205
14,1,2,116,19,1,1,1,1,1,2.882775068283081,0.03496541082859039,1.0755099058151245
15,1,1,104,12,1,1,1,1,1,4.097446918487549,0.04346760734915733,1.1302855014801025
16,0,2,56,23,1,1,1,1,1,3.661741018295288,0.037905849516391754,0.7372327446937561
17,1,0,100,12,0,0,1,1,1,10.846001625061035,0.02898329123854637,0.9646034240722656
18,1,0,96,13,0,0,1,1,1,6.765305995941162,0.03256439045071602,0.990807056427002
19,0,1,38,18,1,1,1,1,1,4.492124557495117,0.09067466109991074,1.3591740131378174
20,0,2,48,15,1,1,1,1,1,1.144944429397583,0.033375661820173264,0.7418954968452454
21,1,1,103,21,1,1,1,1,1,4.304248332977295,0.056871067732572556,1.126839518547058
22,1,2,115,8,1,1,1,1,1,2.3265576362609863,0.022692415863275528,1.0383907556533813
23,1,0,74,23,0,0,1,1,1,15.309910774230957,0.03375185653567314,1.084294080734253
24,0,1,38,18,1,1,1,1,1,4.428465366363525,0.07834528386592865,1.1980559825897217
25,1,0,96,21,0,0,1,1,1,6.412224292755127,0.04442770779132843,0.9667369723320007
26,0,2,44,23,1,1,1,1,1,3.7731027603149414,0.049468666315078735,0.7576715350151062
27,0,1,39,15,1,1,1,1,1,4.740899562835693,0.048988569527864456,1.284882664680481
28,0,0,15,15,0,0,1,1,1,6.506827354431152,0.034378599375486374,1.054573655128479
29,1,0,87,9,0,0,1,1,1,6.454866409301758,0.029629893600940704,0.9980787634849548
30,0,1,39,22,1,1,1,1,1,4.75124454498291,0.08328304439783096,1.0615001916885376
31,1,2,118,16,0,0,1,1,1,8.354430198669434,0.0414268858730793,1.0109970569610596
32,0,0,27,8,0,0,1,1,1,5.286062717437744,0.03474130481481552,1.0756200551986694
33,1,0,65,10,0,0,1,1,1,12.764937400817871,0.02683224156498909,1.0509424209594727
34,1,0,86,25,0,0,1,1,1,10.363127708435059,0.062072061002254486,0.9790480136871338
