candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,1,2,121,7,1,1,1,1,1,2.862476110458374,0.020811518654227257,1.0154056549072266
1,0,1,38,5,1,1,1,1,1,4.45887565612793,0.03840081766247749,1.1879631280899048
2,1,0,66,3,0,0,1,1,1,14.379862785339355,0.017284313216805458,1.0361007452011108
3,1,0,96,13,0,0,1,1,1,7.610843181610107,0.03441138565540314,0.9575426578521729
4,1,1,103,8,1,1,1,1,1,4.458309650421143,0.027300069108605385,1.154335379600525
5,1,1,104,8,1,1,1,1,1,4.217059135437012,0.035730212926864624,1.2086596488952637
6,1,1,103,15,1,1,1,1,1,4.505715847015381,0.036212556064128876,1.1918174028396606
7,0,1,38,5,1,1,1,1,1,4.493030548095703,0.029497532173991203,1.1909879446029663
8,1,1,103,11,1,1,1,1,1,4.512155532836914,0.040748339146375656,1.210947036743164
9,0,0,26,15,0,0,1,1,1,9.094141006469727,0.04979059100151062,1.0104639530181885
10,0,0,22,5,0,0,1,1,1,5.003687858581543,0.021288014948368073,0.9710677862167358
11,1,0,73,14,0,0,1,1,1,9.846596717834473,0.03601846843957901,1.0717335939407349
12,1,2,107,13,1,1,1,1,1,1.4714263677597046,0.04241015762090683,0.9666186571121216
13,0,1,39,7,1,1,1,1,1,4.803409576416016,0.034137845039367676,1.2339386940002441
14,1,2,116,11,1,1,1,1,1,3.8281798362731934,0.022047942504286766,1.0754798650741577
15,1,1,104,5,1,1,1,1,1,4.14947509765625,0.027321746572852135,1.1866225004196167
16,0,2,56,14,1,1,1,1,1,1.634446382522583,0.02869030088186264,0.7018710374832153
17,1,0,100,6,1,1,1,1,1,2.9407215118408203,0.02536008693277836,0.9496393799781799
18,1,0,96,7,1,1,1,1,1,2.7751922607421875,0.029607297852635384,1.034830927848816
19,0,1,38,10,1,1,1,1,1,4.5038580894470215,0.04501163214445114,1.2422575950622559
20,0,2,48,8,1,1,1,1,1,0.6419664025306702,0.026873735710978508,0.7428284883499146
21,1,1,103,12,1,1,1,1,1,4.460981369018555,0.048885468393564224,1.1826171875
22,1,2,115,3,1,1,1,1,1,1.0431528091430664,0.011193043552339077,1.0263341665267944
23,1,0,74,14,0,0,1,1,1,8.858780860900879,0.02822362817823887,1.042311668395996
24,0,1,38,10,1,1,1,1,1,4.431386947631836,0.04160747677087784,1.1885676383972168
25,1,0,96,13,0,0,1,1,1,6.89597225189209,0.04625030234456062,0.9998416304588318
26,0,2,44,14,1,1,1,1,1,2.99075984954834,0.05019893869757652,0.8841410875320435
27,0,1,39,8,1,1,1,1,1,4.810749530792236,0.03381749242544174,1.237342357635498
28,0,0,15,8,0,0,1,1,1,5.494044780731201,0.021044649183750153,1.020266056060791
29,1,0,87,4,0,0,1,1,1,7.130979061126709,0.021992966532707214,1.0028020143508911
30,0,1,39,13,1,1,1,1,1,4.783316135406494,0.04292996972799301,1.2257728576660156
31,1,2,118,8,1,1,1,1,1,1.7844843864440918,0.0194148737937212,1.007912278175354
