candidate,accepted,feature_robust_z_max,nearest_real_distance,max_abs_normalized
0,0,27.35238,0.5472066,0.47072142
1,0,31.460505,0.5239175,0.47065046
2,0,32.056602,0.46121785,0.38262948
3,0,57.377132,0.44537175,0.38357103
4,0,32.241108,0.5277113,0.55464625
5,0,83.719696,0.538646,1.5140806
6,0,64.55369,0.4724776,0.50640875
7,0,106.50538,0.5240614,0.65139467
8,0,32.20072,0.51513904,0.48679888
9,0,36.164707,0.5083574,0.4595456
10,0,113.040245,0.57203954,0.768269
11,0,22.831818,0.44934577,0.36145374
12,0,82.517845,0.44301736,0.84505093
13,0,56.57776,0.45197085,0.46198663
14,0,28.701588,0.48755577,0.4271801
15,0,39.931473,0.5039824,0.6043849
16,0,26.335854,0.4448449,0.32098413
17,0,56.340668,0.39286909,0.62031597
18,0,56.24859,0.5692198,0.60087556
19,0,44.747982,0.41326064,0.5239005
20,0,54.392776,0.37216714,0.42633224
21,0,41.764347,0.37693578,0.5045591
22,0,235.26662,0.47958648,1.1392052
23,0,43.311127,0.49652836,0.46676332
24,0,21.784758,0.45146075,0.4017738
25,0,75.32271,0.5330835,0.40794516
26,0,56.714478,0.44172144,0.4026914
27,0,55.673923,0.5128368,0.47037235
28,0,30.81752,0.5362539,0.43630645
29,0,50.54031,0.58724636,0.5346148
30,0,93.62749,0.531711,0.6070922
31,0,41.603695,0.46466294,0.7638245
32,0,42.672356,0.39995763,0.54133326
33,0,40.08354,0.48700115,0.4398149
34,0,76.35182,0.44657978,0.53661656
35,0,52.461243,0.5510852,0.80004853
36,0,34.371094,0.39145488,0.65317017
37,0,31.798222,0.45861736,0.44255507
38,0,64.29573,0.48359308,0.48317176
39,0,50.315716,0.5007226,0.42337206
40,0,37.37446,0.4427954,0.5406417
41,0,91.33414,0.45180935,0.7321177
42,0,44.274837,0.46716338,0.5647227
43,0,57.895805,0.5882779,0.5508727
44,0,23.978746,0.530735,0.3834347
45,0,30.104437,0.49576747,0.71979225
46,0,46.93804,0.5598562,0.53150433
47,0,96.41889,0.44881386,0.57331204
48,0,26.845745,0.4457734,0.3031401
49,0,28.641975,0.53493387,0.3506756
50,0,76.83566,0.46068227,0.40716305
51,0,25.289415,0.5158575,0.35428262
52,0,89.23341,0.55383605,0.6791523
53,0,48.304363,0.4427894,0.4008643
54,0,33.442364,0.48175883,0.44815624
55,0,33.141968,0.4653151,0.5502625
56,0,40.870373,0.5551569,0.8465244
57,0,48.680206,0.33074087,0.5813696
58,0,82.339264,0.57207686,0.46108538
59,0,36.781666,0.56882685,0.53467077
60,0,33.757362,0.50465685,0.69204617
61,0,42.367264,0.4666931,0.49764332
62,0,36.401733,0.56876695,0.6286714
63,0,73.600945,0.4147341,0.9957635
64,0,96.20102,0.5733396,0.54332906
65,0,56.493423,0.49438518,0.42240402
66,0,44.49427,0.5098879,0.5179684
67,0,30.446224,0.49199492,0.32879663
68,0,164.15921,0.5132226,1.4624676
69,0,116.68711,0.48191306,0.7069416
70,0,31.59739,0.38612768,0.38703027
71,0,65.503654,0.5669582,1.5036657
72,0,83.95651,0.45695975,0.82069886
73,0,30.70498,0.5155667,0.32483327
74,0,45.11613,0.413265,0.38467705
75,0,43.68309,0.56592304,0.74434847
76,0,38.418457,0.46164134,0.4636851
77,0,67.19661,0.47521254,0.7026774
78,0,82.78844,0.43820736,0.51594734
79,0,46.27516,0.5605062,0.62282413
80,0,38.44559,0.5431125,0.61773914
81,0,29.485931,0.5003709,0.56309664
82,0,26.732618,0.4970805,0.6178493
83,0,42.373356,0.4609281,0.5699105
84,0,37.908573,0.3250045,0.5105985
85,0,112.00378,0.45877644,0.93437
86,0,35.439667,0.5686298,0.5985689
87,0,82.07194,0.4947152,0.5927324
88,0,50.14984,0.571618,0.56335264
89,0,36.5785,0.43564853,0.42951307
90,0,42.28175,0.31196767,0.48267654
91,0,31.265175,0.47065392,0.47561404
92,0,31.306019,0.48221135,0.55465555
93,0,77.69139,0.4964247,0.7083501
94,0,22.94299,0.5284914,0.4005358
95,0,228.3574,0.5550947,1.4759705
96,0,27.133167,0.5675989,0.38498864
97,0,82.57501,0.42893955,0.81035364
98,0,29.0894,0.5226764,0.39085856
99,0,217.4968,0.5599679,1.5876595
100,0,65.97618,0.5389743,0.60193306
101,0,27.436062,0.47952205,0.45332164
102,0,26.857874,0.50858957,0.5398454
103,0,37.988647,0.4373748,0.40924084
104,0,70.81806,0.5537711,1.5397673
105,0,28.56107,0.52715045,0.35087642
106,0,28.804869,0.55892974,0.4853065
107,0,38.082157,0.582278,0.60502064
108,0,30.823689,0.5349765,0.37160146
109,0,34.28595,0.41947332,0.31799567
110,0,24.558245,0.47808272,0.52622527
111,0,47.023693,0.47733518,0.4842561
112,0,33.74649,0.43698683,0.24648868
113,0,28.06247,0.42819884,0.3810207
114,0,72.71382,0.47030273,0.4444016
115,0,94.34972,0.401697,0.6654007
116,0,41.867077,0.45111787,0.48350295
117,0,57.20418,0.43163142,0.5756585
118,0,50.960293,0.62322634,0.73990345
119,0,37.972332,0.5212795,0.7891803
120,0,29.524418,0.5826853,0.54448587
121,0,50.569244,0.436647,0.59210306
122,0,32.718185,0.48310784,0.66409904
123,0,39.95463,0.48204803,0.4692061
124,0,102.29224,0.48792952,0.9166239
125,0,60.31222,0.5211308,1.1187345
126,0,104.56008,0.38855347,0.9558852
127,0,42.5354,0.5736806,0.6983232
