candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,2,67,46,0,0,1,1,1,11.037521362304688,0.019800275564193726,0.8946372866630554
1,1,1,139,21,1,1,1,1,1,4.6943206787109375,0.03827756270766258,1.4949781894683838
2,1,2,200,29,0,0,1,1,1,6.612530708312988,0.03413285315036774,1.042845606803894
3,1,2,173,40,0,0,1,1,1,5.1281633377075195,0.02220945991575718,0.856070339679718
4,0,2,83,27,0,0,1,1,1,7.418124675750732,0.02743147313594818,1.0248998403549194
5,0,0,7,21,1,1,1,1,1,4.749816417694092,0.016693685203790665,0.9750189781188965
6,1,2,206,47,0,0,1,1,1,8.941424369812012,0.012508045881986618,0.9243210554122925
7,1,1,138,37,0,0,1,1,1,5.233727931976318,0.030450547114014626,1.424118995666504
8,1,0,101,43,1,1,1,1,1,1.9245390892028809,0.03218793496489525,1.0078842639923096
9,1,1,139,23,1,1,1,1,1,4.621564865112305,0.041115205734968185,1.4921393394470215
10,0,1,36,34,0,0,1,1,1,5.429743766784668,0.11764003336429596,1.8822568655014038
11,1,0,133,49,1,1,1,1,1,1.4617058038711548,0.07398945093154907,0.6964480876922607
12,0,2,69,31,1,1,1,1,1,2.996584177017212,0.01681661605834961,0.9046282768249512
13,0,2,57,35,0,0,1,1,1,5.636943340301514,0.01439784374088049,0.8841765522956848
14,0,1,36,22,0,0,1,1,1,5.282817840576172,0.06372004002332687,2.0206446647644043
15,1,0,130,40,1,1,1,1,1,1.025967001914978,0.06917260587215424,0.6550188660621643
16,1,1,139,24,1,1,1,1,1,4.655580997467041,0.04103681445121765,1.4526722431182861
17,0,2,54,41,1,1,1,1,1,4.916351795196533,0.028897760435938835,0.9859275817871094
18,1,2,140,46,0,0,1,1,1,5.14307165145874,0.0681280568242073,1.470344066619873
19,1,0,114,26,1,1,1,1,1,1.4281642436981201,0.0250548068434,0.6728581190109253
20,1,2,162,47,0,0,1,1,1,5.574548244476318,0.02558656968176365,0.8237121105194092
21,0,0,3,42,1,1,1,1,1,1.155940294265747,0.025849055498838425,0.9486332535743713
22,1,0,112,47,1,1,1,1,1,0.7008183598518372,0.03733362257480621,0.6691875457763672
23,1,0,108,50,1,1,1,1,1,2.4427120685577393,0.03477273881435394,0.9649972319602966
24,1,2,165,37,0,0,1,1,1,5.699167251586914,0.032368965446949005,0.9184409976005554
25,0,2,53,23,0,0,1,1,1,6.940594673156738,0.011322913691401482,0.9024092555046082
26,0,2,49,38,1,1,1,1,1,3.8445639610290527,0.024834448471665382,0.9056939482688904
27,0,1,36,20,1,1,1,1,1,4.775703430175781,0.049056656658649445,1.9093663692474365
28,0,1,35,32,1,1,1,1,1,4.881707191467285,0.027487294748425484,2.004641056060791
29,1,2,149,33,0,0,1,1,1,8.778154373168945,0.02340330369770527,0.8677900433540344
30,1,1,139,24,1,1,1,1,1,4.4547271728515625,0.0625193864107132,1.3272501230239868
31,0,2,90,30,0,0,1,1,1,11.940004348754883,0.020733779296278954,1.001420259475708
32,0,1,36,30,0,0,1,1,1,5.535971641540527,0.041261814534664154,1.945162296295166
33,1,0,117,24,1,1,1,1,1,1.5493066310882568,0.04088429734110832,0.6166217923164368
34,1,0,102,33,1,1,1,1,1,1.0814250707626343,0.02466624788939953,0.8730023503303528
35,1,0,119,26,1,1,1,1,1,2.323369264602661,0.061989422887563705,1.023014783859253
