candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,2,67,32,1,1,1,1,1,4.499348163604736,0.04556296393275261,0.8274858593940735
1,1,1,139,11,1,1,1,1,1,4.794007778167725,0.03318473696708679,1.4971503019332886
2,1,2,200,18,0,0,1,1,1,5.306523323059082,0.014397578313946724,0.9848262667655945
3,1,2,173,27,0,0,1,1,1,5.81196928024292,0.04222005233168602,0.867717981338501
4,0,2,83,16,1,1,1,1,1,2.6685917377471924,0.0216009933501482,0.9633113145828247
5,0,0,7,10,1,1,1,1,1,2.8243470191955566,0.03006005473434925,0.9678378701210022
6,1,2,206,32,0,0,1,1,1,8.45503044128418,0.04868466034531593,1.0612925291061401
7,1,1,138,24,0,0,1,1,1,5.283604145050049,0.03279014304280281,1.5314576625823975
8,1,0,101,29,1,1,1,1,1,2.7793972492218018,0.07170869410037994,0.9744759798049927
9,1,1,139,13,1,1,1,1,1,4.712253093719482,0.02709963172674179,1.4560673236846924
10,0,1,36,22,0,0,1,1,1,5.247751712799072,0.09188401699066162,1.9231754541397095
11,1,0,133,35,1,1,1,1,1,1.3241560459136963,0.040352459996938705,0.7390426993370056
12,0,2,69,19,1,1,1,1,1,3.9337456226348877,0.021633975207805634,0.9259727597236633
13,0,2,57,23,1,1,1,1,1,4.534242153167725,0.02162116765975952,0.8477262854576111
14,0,1,36,12,1,1,1,1,1,4.600653171539307,0.0391063317656517,1.9950706958770752
15,1,0,130,27,1,1,1,1,1,1.0561652183532715,0.03526248782873154,0.5745142102241516
16,1,1,139,13,1,1,1,1,1,4.76443338394165,0.0353308841586113,1.4660365581512451
17,0,2,54,28,1,1,1,1,1,3.801906108856201,0.017138240858912468,0.9237635731697083
18,1,2,140,32,0,0,1,1,1,5.309842586517334,0.08468666672706604,1.521701693534851
19,1,0,114,15,1,1,1,1,1,0.9822790026664734,0.026764899492263794,0.6869894862174988
20,1,2,162,32,0,0,1,1,1,6.610377788543701,0.04523544758558273,0.8544000387191772
21,0,0,3,28,1,1,1,1,1,1.6679433584213257,0.021829940378665924,1.0364919900894165
22,1,0,112,32,1,1,1,1,1,1.5907459259033203,0.04446171596646309,0.6858131885528564
23,1,0,108,35,1,1,1,1,1,2.6902852058410645,0.01648842915892601,0.8355544805526733
24,1,2,165,24,0,0,1,1,1,8.037849426269531,0.01188587211072445,0.8385936617851257
25,0,2,53,13,0,0,1,1,1,6.649219989776611,0.011026841588318348,0.878582775592804
26,0,2,49,25,1,1,1,1,1,2.9479658603668213,0.012050719000399113,0.8891622424125671
27,0,1,36,10,0,0,1,1,1,5.543097972869873,0.03140953183174133,2.026334285736084
28,0,1,35,20,1,1,1,1,1,4.957141399383545,0.07062643021345139,2.0152955055236816
29,1,2,149,21,1,1,1,1,1,4.150143623352051,0.020056242123246193,0.867188036441803
30,1,1,139,14,1,1,1,1,1,4.736539363861084,0.03498241677880287,1.483467936515808
31,0,2,90,19,1,1,1,1,1,4.5795369148254395,0.010968339629471302,0.9728443026542664
32,0,1,36,18,1,1,1,1,1,4.960837364196777,0.03852548822760582,1.9751989841461182
33,1,0,117,13,1,1,1,1,1,1.3162492513656616,0.026646343991160393,0.5789973735809326
34,1,0,102,21,1,1,1,1,1,1.6885254383087158,0.015662463381886482,1.0385105609893799
35,1,0,119,15,1,1,1,1,1,2.2887728214263916,0.052577756345272064,0.6887408494949341
36,0,0,27,17,1,1,1,1,1,3.183712959289551,0.0712166279554367,1.3228689432144165
37,0,1,35,12,0,0,1,1,1,5.294973850250244,0.03877034783363342,1.9835280179977417
38,1,2,182,34,0,0,1,1,1,9.26710319519043,0.025659792125225067,0.8484501242637634
39,1,1,139,12,1,1,1,1,1,4.779129505157471,0.028748303651809692,1.5155375003814697
40,1,2,208,31,0,0,1,1,1,5.958007335662842,0.02672898955643177,1.0320298671722412
41,1,2,185,28,0,0,1,1,1,8.943299293518066,0.02038884162902832,0.960378110408783
42,0,0,11,19,1,1,1,1,1,0.8351197242736816,0.01975608617067337,0.8424515128135681
43,1,1,138,29,0,0,1,1,1,5.21872615814209,0.05220884457230568,1.4187052249908447
44,1,1,138,27,0,0,1,1,1,5.167044162750244,0.04358702152967453,1.3718901872634888
45,1,1,138,21,0,0,1,1,1,5.450268268585205,0.04351188614964485,1.4888554811477661
46,1,1,138,18,0,0,1,1,1,5.096607208251953,0.03781454637646675,1.458652138710022
47,1,1,139,15,1,1,1,1,1,4.771790981292725,0.03899741545319557,1.5173931121826172
48,0,1,35,33,0,0,1,1,1,5.747217655181885,0.08176141232252121,1.9051594734191895
