candidate,age,stage,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,1,0,0,1,0,0,121.5362319946289,10.53674030303955,33.161842346191406
1,0,2,0,0,1,0,0,330.3520202636719,8.851615905761719,67.0305404663086
2,0,1,0,0,1,0,0,1059.39990234375,51.36182403564453,138.8225555419922
3,0,0,0,0,1,0,0,1293.715087890625,35.73736572265625,89.91224670410156
4,1,1,0,0,1,0,0,115.10293579101562,8.550933837890625,39.39212417602539
5,0,2,0,0,1,0,1,6.06691312789917,0.41173478960990906,1.5625182390213013
6,1,1,0,0,1,0,0,150.62095642089844,19.09772300720215,98.23837280273438
7,1,0,0,0,1,0,0,1029.3668212890625,20.12249183654785,52.463829040527344
8,1,2,0,0,1,0,0,34.397117614746094,1.9221290349960327,11.008587837219238
9,0,1,0,0,1,0,0,645.419189453125,37.29951477050781,85.45928955078125
10,0,2,0,0,1,0,0,434.64947509765625,6.949864387512207,22.005126953125
11,1,2,0,0,1,0,0,606.3517456054688,42.89655303955078,97.77940368652344
12,0,2,0,0,1,0,0,833.24462890625,17.509477615356445,46.48554611206055
13,0,1,0,0,1,0,0,619.9617309570312,20.38941764831543,82.12397766113281
14,0,2,0,0,1,0,0,2072.019287109375,84.06685638427734,262.85040283203125
15,1,0,0,0,1,0,0,395.35125732421875,10.906317710876465,80.92070007324219
16,0,1,0,0,1,0,0,87.00106811523438,5.547110557556152,15.319619178771973
17,0,2,0,0,1,0,0,2096.104248046875,56.50476837158203,166.66311645507812
18,1,0,0,0,1,0,1,24.128009796142578,1.6399016380310059,3.8662240505218506
19,0,0,0,0,1,0,0,968.9866333007812,16.930578231811523,49.389652252197266
20,1,2,0,0,1,0,0,719.3705444335938,38.829158782958984,107.34212493896484
21,1,1,0,0,1,0,0,27.836252212524414,1.5780024528503418,7.413191795349121
22,1,0,0,0,1,0,0,4175.77783203125,56.09101486206055,209.7843780517578
23,1,0,0,0,1,0,0,1792.01953125,25.808822631835938,90.5964584350586
24,1,1,0,0,1,0,0,710.0106811523438,56.834617614746094,124.38924407958984
25,1,0,0,0,1,0,0,27.25916862487793,1.9879525899887085,4.887303829193115
26,1,2,0,0,1,0,0,835.1897583007812,30.257753372192383,106.69142150878906
27,1,0,0,0,1,0,0,585.4969482421875,7.0301289558410645,30.270334243774414
28,1,2,0,0,1,0,0,196.43873596191406,9.287235260009766,58.79591369628906
29,1,0,0,0,1,0,0,1289.716064453125,18.845075607299805,65.48128509521484
30,0,2,0,0,1,0,0,853.0408935546875,22.40450096130371,50.86315155029297
31,1,1,0,0,1,0,0,407.8507385253906,45.919185638427734,139.5601348876953
32,0,0,0,0,1,0,0,3475.473876953125,42.2752571105957,174.71401977539062
33,1,1,0,0,1,0,0,13.448912620544434,1.3894823789596558,9.292293548583984
34,1,1,1,1,1,1,1,4.372655868530273,0.708987295627594,3.6239399909973145
35,0,1,0,0,1,0,0,712.403564453125,48.332794189453125,126.05191040039062
36,1,2,0,0,1,0,0,729.3080444335938,36.19194793701172,132.5071258544922
37,1,1,0,0,1,0,0,108.81426239013672,11.191774368286133,70.94109344482422
38,0,1,0,0,1,0,0,948.6654052734375,68.83697509765625,151.32855224609375
39,1,2,0,0,1,0,0,55.65350341796875,5.630053520202637,45.14208221435547
40,1,1,0,0,1,0,0,486.52667236328125,67.22592163085938,181.1455841064453
41,0,2,0,0,1,0,0,1325.55126953125,49.54973602294922,116.25767517089844
42,1,0,0,0,1,0,0,44.05030059814453,3.3014883995056152,4.911479949951172
43,0,2,0,0,1,0,0,535.9977416992188,22.836910247802734,78.73536682128906
44,1,2,0,0,1,0,0,1097.6583251953125,63.581756591796875,208.61221313476562
45,0,0,0,0,1,0,0,124.76219940185547,9.566156387329102,45.251033782958984
46,1,1,0,0,1,0,0,1715.207763671875,42.87576675415039,284.90765380859375
47,0,2,0,0,1,0,0,2183.74560546875,63.268959045410156,155.13299560546875
48,0,1,0,0,1,0,0,314.10626220703125,17.95645523071289,42.05225372314453
49,0,1,0,0,1,0,0,70.61141204833984,6.747779846191406,20.36823081970215
50,1,2,0,0,1,0,0,272.9661865234375,12.139266967773438,45.88480758666992
51,0,2,0,0,1,0,0,45.37802505493164,1.9049413204193115,5.598243236541748
52,1,1,0,0,1,0,0,600.2462768554688,83.9608383178711,208.49295043945312
53,1,0,1,1,1,1,1,2.7618801593780518,0.02438962459564209,0.9814823865890503
54,0,0,0,0,1,0,0,2252.806884765625,34.12400436401367,113.5806655883789
55,0,1,0,0,1,0,0,333.8529968261719,22.63399314880371,60.39904022216797
56,1,0,0,0,1,0,0,1031.7967529296875,18.6218204498291,52.585323333740234
57,1,1,0,0,1,0,0,839.5896606445312,82.37702941894531,142.33798217773438
58,0,2,0,0,1,0,0,133.39013671875,3.3807225227355957,24.28886604309082
59,0,0,0,0,1,0,0,221.8553466796875,5.909031867980957,25.685142517089844
60,0,0,0,0,1,0,0,286.59552001953125,2.3511428833007812,15.270095825195312
61,0,0,0,0,1,0,0,2211.971923828125,51.38655090332031,111.5389175415039
62,1,2,0,0,1,0,0,485.5042419433594,42.72257614135742,92.84383392333984
63,1,2,0,0,1,0,0,228.62872314453125,15.081364631652832,40.87872314453125
64,1,0,0,0,1,0,0,1594.747314453125,19.323930740356445,88.36356353759766
65,1,2,0,0,1,0,0,450.46044921875,35.24462890625,73.00995635986328
66,1,1,0,0,1,0,0,343.74298095703125,43.653846740722656,93.38201141357422
67,1,1,0,0,1,0,0,158.478759765625,10.407777786254883,25.61029052734375
68,0,2,0,0,1,0,0,320.2467956542969,10.119830131530762,30.8245906829834
69,1,0,0,0,1,0,0,1314.041748046875,30.554716110229492,77.99085998535156
70,0,2,0,0,1,0,0,745.718017578125,20.12225341796875,63.08274841308594
71,0,1,0,0,1,0,0,62.88877487182617,4.365303039550781,36.29243850708008
72,1,2,0,0,1,0,0,452.44842529296875,23.980680465698242,65.06392669677734
73,0,1,0,0,1,0,0,764.5533447265625,63.09186935424805,145.19845581054688
74,0,0,0,0,1,0,0,3837.949462890625,62.43674850463867,192.83779907226562
75,1,0,0,0,1,0,0,1954.7076416015625,24.45531463623047,98.73086547851562
76,1,1,0,0,1,0,0,222.91033935546875,27.708032608032227,87.92118835449219
77,1,0,0,0,1,0,0,1400.6861572265625,15.320429801940918,71.02979278564453
78,1,1,0,0,1,0,0,383.3067932128906,34.32849884033203,94.89981079101562
79,0,0,0,0,1,0,0,2806.992431640625,40.989952087402344,141.28994750976562
80,0,0,0,0,1,0,0,585.6041870117188,21.815671920776367,60.0192985534668
81,0,1,0,0,1,0,0,585.5847778320312,41.49174118041992,216.5462646484375
82,0,1,0,0,1,0,0,313.6110534667969,25.43535804748535,72.7776870727539
83,1,0,0,0,1,0,0,810.3043823242188,23.179946899414062,53.946781158447266
84,0,1,0,0,1,0,0,77.66226196289062,4.328273296356201,11.074493408203125
