candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,1,21,31,0,1,1,1,0,4.701804161071777,0.09692707657814026,4.225623607635498
1,1,2,167,23,1,1,1,1,1,0.8867632150650024,0.04609328508377075,0.9077047109603882
2,0,1,20,26,0,0,1,1,0,5.8619465827941895,0.09812722355127335,4.326868534088135
3,1,1,159,36,0,1,0,1,0,3.8096582889556885,0.054669659584760666,3.9235196113586426
4,1,2,168,43,1,1,1,1,1,0.4913950264453888,0.04609254002571106,0.8354788422584534
5,1,1,161,29,0,1,0,1,0,2.7991604804992676,0.08189267665147781,4.176435470581055
6,1,1,123,47,0,1,0,1,0,4.597707271575928,0.12770599126815796,3.5514016151428223
7,1,1,161,42,0,1,0,1,0,2.814434766769409,0.10256728529930115,4.412910461425781
8,0,0,4,36,1,1,1,1,1,0.8932614326477051,0.016862820833921432,0.9631739854812622
9,0,2,41,44,1,1,1,1,1,3.382880687713623,0.05475635081529617,0.9083825349807739
10,0,0,1,29,1,1,1,1,1,1.7645678520202637,0.02501619979739189,0.9311904907226562
11,0,2,93,50,1,1,1,1,1,2.896413803100586,0.08452790975570679,0.9018113613128662
12,1,0,151,42,1,1,1,1,1,4.71543550491333,0.029311975464224815,1.01876699924469
13,1,1,161,29,0,1,0,1,0,4.751566410064697,0.052924804389476776,3.741184949874878
14,0,0,17,20,1,1,1,1,1,1.7368674278259277,0.2046280801296234,0.9042685627937317
15,1,2,165,49,1,1,1,1,1,0.8160447478294373,0.04935701563954353,0.8207197189331055
16,0,0,18,33,0,1,1,1,0,2.600583076477051,0.06096505746245384,3.6655192375183105
17,0,0,8,23,1,1,1,1,1,2.6602303981781006,0.020552929490804672,0.9596824049949646
18,1,2,169,27,1,1,1,1,1,2.155337333679199,0.04689902439713478,0.9621729850769043
19,1,0,111,28,1,1,1,1,1,2.3231124877929688,0.033214323222637177,0.9885498285293579
20,1,1,123,40,0,0,0,1,0,6.712531566619873,0.11475929617881775,4.590797424316406
21,0,1,21,26,0,1,1,1,0,4.6135711669921875,0.0791296511888504,4.732775688171387
22,1,1,160,29,0,1,0,1,0,2.6600186824798584,0.07296465337276459,3.7194793224334717
23,0,0,6,30,1,1,1,1,1,1.2616443634033203,0.028598669916391373,1.0034023523330688
24,0,1,20,31,0,0,1,1,0,5.090088844299316,0.0731857642531395,4.282315731048584
25,1,1,122,35,0,0,0,1,0,6.932263374328613,0.11190270632505417,4.586979389190674
26,0,1,21,20,0,1,1,1,0,4.257378101348877,0.06417971849441528,3.8080332279205322
27,1,2,128,34,1,1,1,1,1,0.5689634084701538,0.07613473385572433,0.7710059881210327
28,0,1,20,46,0,0,1,1,0,5.261221408843994,0.07669738680124283,4.441919326782227
29,1,1,123,28,0,1,0,1,0,4.522052764892578,0.04227131977677345,4.595973491668701
30,0,2,56,26,1,1,1,1,1,1.7445147037506104,0.045195456594228745,0.9311901330947876
31,0,1,20,32,0,1,1,1,0,4.906008720397949,0.06302205473184586,4.287145614624023
32,1,2,133,22,1,1,1,1,1,1.566612720489502,0.03517263010144234,0.8976902365684509
33,1,0,139,24,1,1,1,1,1,3.0038034915924072,0.030867120251059532,1.0350502729415894
34,1,0,108,37,0,0,1,1,1,5.388474464416504,0.043814998120069504,0.9520469307899475
35,0,0,4,36,1,1,1,1,1,2.164097547531128,0.03040878288447857,1.0115184783935547
36,1,1,161,47,0,1,0,1,1,4.448334217071533,0.13711139559745789,3.3281638622283936
37,0,0,3,43,1,1,1,1,1,2.2150707244873047,0.0408238060772419,1.051073670387268
38,0,1,20,37,0,1,1,1,0,4.921601295471191,0.058583132922649384,3.8525631427764893
39,1,2,124,44,1,1,1,1,1,3.125554084777832,0.10646803677082062,1.8623038530349731
40,0,1,21,32,0,1,1,1,0,4.560098171234131,0.09122142940759659,4.4810791015625
41,0,0,15,27,1,1,1,1,1,1.163886547088623,0.03235394135117531,0.9184267520904541
42,0,0,13,26,1,1,1,1,1,1.4243865013122559,0.022158371284604073,1.0115394592285156
43,1,1,161,26,0,1,0,1,0,4.792111873626709,0.06138111278414726,4.34887170791626
44,0,1,21,26,0,1,1,1,0,4.578925132751465,0.10042700916528702,4.69685697555542
45,1,0,145,30,1,1,1,1,1,2.359461784362793,0.05964859202504158,1.1134597063064575
46,1,1,123,42,0,1,0,1,0,4.612980842590332,0.061538685113191605,4.358731746673584
47,0,1,21,25,0,1,1,1,0,4.665683269500732,0.10374189913272858,4.33024787902832
48,0,0,9,40,1,1,1,1,1,1.1263620853424072,0.020196324214339256,0.9966382384300232
49,0,0,18,27,0,1,1,1,0,2.985989570617676,0.04341668635606766,3.923041582107544
50,1,1,161,44,0,1,0,1,0,1.991452932357788,0.08712610602378845,4.227230072021484
51,0,0,0,23,1,1,1,1,1,0.8841828107833862,0.011919551528990269,0.9603931307792664
52,0,2,64,49,1,1,1,1,1,1.379091739654541,0.026186272501945496,0.9882904887199402
53,0,2,27,34,1,1,1,1,1,1.8040663003921509,0.03943347930908203,0.8115729689598083
