window_s,horizon_s,total_windows,total_positive,total_negative,min_positive_per_experiment,max_positive_fraction,min_positive_fraction
60,60,700,24,676,6,0.039735099337748346,0.028846153846153848
60,120,700,48,652,12,0.07947019867549669,0.057692307692307696
60,300,700,120,580,30,0.1986754966887417,0.14423076923076922
60,600,700,240,460,60,0.3973509933774834,0.28846153846153844
120,60,676,24,652,6,0.041379310344827586,0.0297029702970297
120,120,676,48,628,12,0.08275862068965517,0.0594059405940594
120,300,676,120,556,30,0.20689655172413793,0.1485148514851485
120,600,676,240,436,60,0.41379310344827586,0.297029702970297
256,60,622,24,598,6,0.045454545454545456,0.031746031746031744
256,120,622,48,574,12,0.09090909090909091,0.06349206349206349
256,300,622,120,502,30,0.22727272727272727,0.15873015873015872
256,600,622,240,382,60,0.45454545454545453,0.31746031746031744
