experiment_id,level,aging,window_s,stride_s,horizon_s,vent_time_s,total_prevent_windows,positive_impending_vent,negative_earlier,positive_fraction,earliest_window_end_s,latest_window_end_s
A2,cell,fresh,60,10,60,1812,176,6,170,0.03409090909090909,60,1810
D1,cell,aged,60,10,60,1703,165,6,159,0.03636363636363636,60,1700
M1,module,fresh,60,10,60,2137,208,6,202,0.028846153846153848,60,2130
M2,module,aged,60,10,60,1569,151,6,145,0.039735099337748346,60,1560
A2,cell,fresh,60,10,120,1812,176,12,164,0.06818181818181818,60,1810
D1,cell,aged,60,10,120,1703,165,12,153,0.07272727272727272,60,1700
M1,module,fresh,60,10,120,2137,208,12,196,0.057692307692307696,60,2130
M2,module,aged,60,10,120,1569,151,12,139,0.07947019867549669,60,1560
A2,cell,fresh,60,10,300,1812,176,30,146,0.17045454545454544,60,1810
D1,cell,aged,60,10,300,1703,165,30,135,0.18181818181818182,60,1700
M1,module,fresh,60,10,300,2137,208,30,178,0.14423076923076922,60,2130
M2,module,aged,60,10,300,1569,151,30,121,0.1986754966887417,60,1560
A2,cell,fresh,60,10,600,1812,176,60,116,0.3409090909090909,60,1810
D1,cell,aged,60,10,600,1703,165,60,105,0.36363636363636365,60,1700
M1,module,fresh,60,10,600,2137,208,60,148,0.28846153846153844,60,2130
M2,module,aged,60,10,600,1569,151,60,91,0.3973509933774834,60,1560
A2,cell,fresh,120,10,60,1812,170,6,164,0.03529411764705882,120,1810
D1,cell,aged,120,10,60,1703,159,6,153,0.03773584905660377,120,1700
M1,module,fresh,120,10,60,2137,202,6,196,0.0297029702970297,120,2130
M2,module,aged,120,10,60,1569,145,6,139,0.041379310344827586,120,1560
A2,cell,fresh,120,10,120,1812,170,12,158,0.07058823529411765,120,1810
D1,cell,aged,120,10,120,1703,159,12,147,0.07547169811320754,120,1700
M1,module,fresh,120,10,120,2137,202,12,190,0.0594059405940594,120,2130
M2,module,aged,120,10,120,1569,145,12,133,0.08275862068965517,120,1560
A2,cell,fresh,120,10,300,1812,170,30,140,0.17647058823529413,120,1810
D1,cell,aged,120,10,300,1703,159,30,129,0.18867924528301888,120,1700
M1,module,fresh,120,10,300,2137,202,30,172,0.1485148514851485,120,2130
M2,module,aged,120,10,300,1569,145,30,115,0.20689655172413793,120,1560
A2,cell,fresh,120,10,600,1812,170,60,110,0.35294117647058826,120,1810
D1,cell,aged,120,10,600,1703,159,60,99,0.37735849056603776,120,1700
M1,module,fresh,120,10,600,2137,202,60,142,0.297029702970297,120,2130
M2,module,aged,120,10,600,1569,145,60,85,0.41379310344827586,120,1560
A2,cell,fresh,256,10,60,1812,156,6,150,0.038461538461538464,256,1806
D1,cell,aged,256,10,60,1703,145,6,139,0.041379310344827586,256,1696
M1,module,fresh,256,10,60,2137,189,6,183,0.031746031746031744,256,2136
M2,module,aged,256,10,60,1569,132,6,126,0.045454545454545456,256,1566
A2,cell,fresh,256,10,120,1812,156,12,144,0.07692307692307693,256,1806
D1,cell,aged,256,10,120,1703,145,12,133,0.08275862068965517,256,1696
M1,module,fresh,256,10,120,2137,189,12,177,0.06349206349206349,256,2136
M2,module,aged,256,10,120,1569,132,12,120,0.09090909090909091,256,1566
A2,cell,fresh,256,10,300,1812,156,30,126,0.19230769230769232,256,1806
D1,cell,aged,256,10,300,1703,145,30,115,0.20689655172413793,256,1696
M1,module,fresh,256,10,300,2137,189,30,159,0.15873015873015872,256,2136
M2,module,aged,256,10,300,1569,132,30,102,0.22727272727272727,256,1566
A2,cell,fresh,256,10,600,1812,156,60,96,0.38461538461538464,256,1806
D1,cell,aged,256,10,600,1703,145,60,85,0.41379310344827586,256,1696
M1,module,fresh,256,10,600,2137,189,60,129,0.31746031746031744,256,2136
M2,module,aged,256,10,600,1569,132,60,72,0.45454545454545453,256,1566
