heldout,train_fraction,method,modality,n_real_train,n_aug,n_test,test_positive,auroc,auprc,f1,balanced_accuracy
A2,1.0,real_only,temperature,297,0,88,22,0.8767217630853994,0.7892433429988821,0.7058823529411765,0.7727272727272727
A2,1.0,real_only,force,297,0,88,22,0.96831955922865,0.8807626000885831,0.0869565217391304,0.5227272727272727
A2,1.0,real_only,fusion,297,0,88,22,1.0,1.0,0.5806451612903226,0.7045454545454546
A2,1.0,classical,temperature,297,160,88,22,0.8677685950413223,0.7963937970704305,0.6857142857142857,0.7651515151515151
A2,1.0,classical,force,297,160,88,22,0.9304407713498624,0.7739088344654064,0.0,0.5
A2,1.0,classical,fusion,297,160,88,22,0.9993112947658402,0.9980237154150198,0.5806451612903226,0.7045454545454546
A2,1.0,racdiff,temperature,297,160,88,22,0.8037190082644627,0.5839967796993017,0.2962962962962963,0.5833333333333334
A2,1.0,racdiff,force,297,160,88,22,0.962809917355372,0.8879287765357897,0.5333333333333333,0.6818181818181819
A2,1.0,racdiff,fusion,297,160,88,22,0.9986225895316804,0.9959575997125404,0.4285714285714285,0.6363636363636364
D1,1.0,real_only,temperature,312,0,73,18,1.0,1.0,0.7058823529411765,0.8636363636363636
D1,1.0,real_only,force,312,0,73,18,0.8484848484848485,0.7570058965844026,0.5151515151515151,0.6904040404040404
D1,1.0,real_only,fusion,312,0,73,18,1.0,1.0,0.6923076923076923,0.8545454545454545
D1,1.0,classical,temperature,312,143,73,18,1.0,1.0,0.7058823529411765,0.8636363636363636
D1,1.0,classical,force,312,143,73,18,0.7262626262626262,0.6319983338273498,0.4761904761904761,0.6439393939393939
D1,1.0,classical,fusion,312,143,73,18,0.995959595959596,0.9880900508351488,0.6923076923076923,0.8545454545454545
D1,1.0,racdiff,temperature,312,143,73,18,1.0,1.0,0.7659574468085106,0.9
D1,1.0,racdiff,force,312,143,73,18,1.0,1.0,0.5454545454545454,0.7272727272727273
D1,1.0,racdiff,fusion,312,143,73,18,0.991919191919192,0.9745649185600168,0.6923076923076923,0.8545454545454545
M1,1.0,real_only,temperature,245,0,140,41,1.0,1.0,0.9487179487179488,0.951219512195122
M1,1.0,real_only,force,245,0,140,41,0.0,0.1668359285462916,0.4530386740331492,0.5
M1,1.0,real_only,fusion,245,0,140,41,1.0,1.0,0.8541666666666666,0.9292929292929292
M1,1.0,classical,temperature,245,157,140,41,1.0,1.0,0.9620253164556962,0.9634146341463414
M1,1.0,classical,force,245,157,140,41,0.0,0.1668359285462916,0.4530386740331492,0.5
M1,1.0,classical,fusion,245,157,140,41,1.0,1.0,0.8541666666666666,0.9292929292929292
M1,1.0,racdiff,temperature,245,157,140,41,1.0,1.0,0.9066666666666666,0.9146341463414632
M1,1.0,racdiff,force,245,157,140,41,0.0219265829021926,0.1677954131655317,0.0,0.0858585858585858
M1,1.0,racdiff,fusion,245,157,140,41,1.0,1.0,0.8723404255319149,0.9393939393939394
M2,1.0,real_only,temperature,301,0,84,42,1.0,1.0,0.9629629629629628,0.9642857142857144
M2,1.0,real_only,force,301,0,84,42,0.2108843537414965,0.3989290209190334,0.0,0.5
M2,1.0,real_only,fusion,301,0,84,42,0.9977324263038548,0.997810329205678,0.7076923076923077,0.7738095238095238
M2,1.0,classical,temperature,301,158,84,42,1.0,1.0,0.9629629629629628,0.9642857142857144
M2,1.0,classical,force,301,158,84,42,0.2517006802721088,0.4184791184147103,0.0,0.5
M2,1.0,classical,fusion,301,158,84,42,0.9903628117913832,0.9904286821929676,0.7076923076923077,0.7738095238095238
M2,1.0,racdiff,temperature,301,158,84,42,1.0,1.0,0.95,0.9523809523809524
M2,1.0,racdiff,force,301,158,84,42,0.1797052154195011,0.3908782008795353,0.0,0.5
