candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,1,1,222,23,1,1,1,1,1,2.036076545715332,0.038288380950689316,1.017179012298584
1,1,0,200,12,1,1,1,1,1,2.2539615631103516,0.02585284225642681,1.0119996070861816
2,0,0,46,10,1,1,1,1,1,0.8134613633155823,0.060423221439123154,0.8220100998878479
3,0,1,83,20,1,1,1,1,1,1.1671205759048462,0.05676445737481117,1.0395985841751099
4,1,1,215,17,1,1,1,1,1,1.274578332901001,0.030159076675772667,0.9844754338264465
5,0,1,87,8,1,1,1,1,1,2.0650877952575684,0.039346471428871155,1.1468185186386108
6,0,1,74,17,1,1,1,1,1,1.054140329360962,0.04359901323914528,0.9740030169487
7,0,0,10,13,1,1,1,1,1,2.3072683811187744,0.051475610584020615,0.9921075701713562
8,1,1,144,12,1,1,1,1,1,1.779585599899292,0.03705466911196709,0.81036376953125
9,0,1,72,14,1,1,1,1,1,1.7586731910705566,0.05512632429599762,0.9387763738632202
10,1,1,243,10,1,1,1,1,1,2.151555061340332,0.03667629510164261,1.0890765190124512
11,1,0,138,19,1,1,1,1,1,1.9421846866607666,0.04959849268198013,0.5874952673912048
12,1,1,211,10,1,1,1,1,1,2.553971290588379,0.015739230439066887,1.0002646446228027
13,0,0,12,15,1,1,1,1,1,1.6476547718048096,0.03739289939403534,0.8879279494285583
14,0,1,77,21,1,1,1,1,1,1.0251339673995972,0.052063461393117905,1.0202605724334717
15,0,0,1,8,1,1,1,1,1,2.6081695556640625,0.03085973858833313,1.147274374961853
16,1,0,176,11,1,1,1,1,1,1.1597611904144287,0.03232506290078163,0.991203784942627
17,0,1,72,23,1,1,1,1,1,3.5381555557250977,0.08647219091653824,0.8498022556304932
18,1,0,108,22,1,1,1,1,1,0.8172220587730408,0.04375654086470604,0.6876872777938843
19,1,0,135,24,1,1,1,1,1,1.9504486322402954,0.025030288845300674,0.5206552743911743
20,1,1,219,25,1,1,1,1,1,3.1546077728271484,0.06227528303861618,1.0617696046829224
21,0,1,83,11,1,1,1,1,1,1.1641871929168701,0.03431565314531326,1.1015043258666992
22,0,0,37,25,1,1,1,1,1,1.2999236583709717,0.07114452123641968,0.7185379862785339
23,0,0,32,12,1,1,1,1,1,0.7805860638618469,0.035253070294857025,0.8050895929336548
24,0,1,70,12,1,1,1,1,1,1.3633509874343872,0.03024507872760296,0.9812824130058289
25,0,1,81,20,1,1,1,1,1,0.9696373343467712,0.058533184230327606,1.005845308303833
26,1,0,105,18,1,1,1,1,1,1.0542151927947998,0.03783514350652695,0.7272539138793945
27,1,0,93,12,1,1,1,1,1,0.9113256335258484,0.02822084352374077,0.937018632888794
28,1,1,157,8,1,1,1,1,1,1.5272408723831177,0.03563308343291283,1.0887612104415894
29,0,1,83,15,1,1,1,1,1,0.9378945827484131,0.04848169907927513,1.022558331489563
30,0,0,49,17,1,1,1,1,1,0.9234656095504761,0.04500721022486687,0.8604756593704224
31,0,0,3,20,1,1,1,1,1,2.862457036972046,0.06918500363826752,1.0508503913879395
32,1,1,214,20,1,1,1,1,1,4.589654922485352,0.03573015332221985,1.0059552192687988
33,1,1,222,8,0,0,1,1,1,5.479244232177734,0.024689631536602974,1.0721646547317505
34,0,0,14,13,1,1,1,1,1,1.050205945968628,0.029179662466049194,0.9128618836402893
35,0,1,71,16,1,1,1,1,1,1.121681809425354,0.0350160114467144,0.9920893311500549
36,0,0,20,20,1,1,1,1,1,1.4949166774749756,0.03898484632372856,0.8088374733924866
37,0,1,86,10,1,1,1,1,1,1.7233306169509888,0.04220447316765785,1.1510193347930908
38,1,1,234,20,1,1,1,1,1,0.9370601773262024,0.04021778702735901,1.1047906875610352
39,0,0,3,13,1,1,1,1,1,2.5833468437194824,0.03591981157660484,1.1213356256484985
40,1,1,244,16,1,1,1,1,1,1.5823038816452026,0.05152386799454689,1.1933469772338867
41,1,1,207,24,1,1,1,1,1,2.3220856189727783,0.031177619472146034,0.9950472116470337
42,0,0,43,17,1,1,1,1,1,0.6741517782211304,0.05234621465206146,0.7981330156326294
43,0,1,70,15,1,1,1,1,1,1.7766022682189941,0.0553051233291626,0.9378799200057983
44,0,1,79,16,1,1,1,1,1,0.9449180960655212,0.04711076617240906,1.0118883848190308
45,0,1,74,8,1,1,1,1,1,1.1085166931152344,0.027805529534816742,1.0038390159606934
46,1,1,222,25,1,1,1,1,1,3.81491756439209,0.052641861140728,1.0535277128219604
47,0,1,79,12,1,1,1,1,1,1.1651583909988403,0.04178648442029953,1.0272064208984375
48,0,0,1,24,1,1,1,1,1,2.282991886138916,0.04855242744088173,1.1312477588653564
49,1,0,112,25,1,1,1,1,1,1.1808375120162964,0.09443984925746918,0.5693817138671875
50,0,1,77,23,1,1,1,1,1,1.1442577838897705,0.058164965361356735,1.0364301204681396
51,0,0,22,8,1,1,1,1,1,1.1849331855773926,0.027110472321510315,0.8244746327400208
52,1,0,185,15,1,1,1,1,1,1.1937615871429443,0.04167701303958893,1.0126432180404663
53,0,1,75,11,1,1,1,1,1,1.3262927532196045,0.04879710078239441,0.9603953957557678
54,1,0,138,12,1,1,1,1,1,1.8263076543807983,0.04472945258021355,0.5692977905273438
55,1,1,244,25,1,1,1,1,1,1.3016226291656494,0.05407916381955147,1.0698285102844238
56,0,1,77,22,1,1,1,1,1,1.5530070066452026,0.039717938750982285,1.0815364122390747
57,0,1,67,12,1,1,1,1,1,1.5825902223587036,0.03645803779363632,1.0031208992004395
58,0,1,85,9,1,1,1,1,1,2.9077324867248535,0.03876708075404167,1.162852168083191
59,0,0,6,19,1,1,1,1,1,2.057926893234253,0.026630058884620667,1.0401606559753418
60,1,0,202,17,1,1,1,1,1,1.1854162216186523,0.027744999155402184,1.0062402486801147
61,1,1,211,22,1,1,1,1,1,1.7401273250579834,0.029107194393873215,1.0319457054138184
62,1,1,238,8,1,1,1,1,1,0.8957057595252991,0.03262191265821457,1.03190279006958
63,0,0,3,10,1,1,1,1,1,2.635883092880249,0.032808754593133926,1.156031608581543
64,0,1,87,22,1,1,1,1,1,1.6419087648391724,0.05726766586303711,1.0986597537994385
65,1,1,158,17,1,1,1,1,1,1.5014283657073975,0.061992187052965164,1.1168166399002075
66,1,1,238,20,1,1,1,1,1,2.0143558979034424,0.040248751640319824,1.0102945566177368
67,1,0,104,18,1,1,1,1,1,0.9598564505577087,0.052236367017030716,0.7521928548812866
68,1,0,197,10,1,1,1,1,1,1.2063536643981934,0.02750428207218647,1.0153710842132568
69,1,1,153,25,1,1,1,1,1,1.4434399604797363,0.05151588097214699,1.0849517583847046
70,1,0,199,17,1,1,1,1,1,1.1727268695831299,0.02790391445159912,0.9857045412063599
71,0,0,19,12,1,1,1,1,1,1.2433850765228271,0.02526533417403698,0.816942036151886
72,0,0,18,18,1,1,1,1,1,0.8662294149398804,0.022033797577023506,0.8565836548805237
73,1,0,106,21,1,1,1,1,1,1.1286801099777222,0.06708322465419769,0.7375022768974304
74,0,1,76,10,1,1,1,1,1,0.7101821899414062,0.04075254127383232,0.9912009239196777
