candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,1,1,64,19,1,1,1,1,1,1.976530909538269,0.04703006520867348,0.7091298699378967
1,1,0,53,15,1,1,1,1,1,2.2778611183166504,0.05543440952897072,1.092708945274353
2,1,1,64,18,1,1,1,1,1,1.7517367601394653,0.031851135194301605,0.7317585349082947
3,1,1,17,14,1,1,1,1,1,1.9340060949325562,0.0766570046544075,1.0457079410552979
4,1,1,14,21,1,1,1,1,1,1.769636631011963,0.0534299835562706,0.9593002200126648
5,1,1,67,21,1,1,1,1,1,1.355688452720642,0.048544783145189285,0.734670102596283
6,0,0,21,23,1,1,1,1,1,1.384869933128357,0.06988266855478287,1.086915373802185
7,0,1,49,17,1,1,1,1,1,1.1973263025283813,0.03120269812643528,0.8276257514953613
8,1,0,7,10,1,1,1,1,1,1.2053629159927368,0.038567643612623215,0.9586899280548096
9,1,0,62,16,1,1,1,1,1,3.975811243057251,0.0282124150544405,0.7331913113594055
10,0,0,25,20,1,1,1,1,1,2.527742385864258,0.05395525321364403,1.0103107690811157
11,0,1,48,24,1,1,1,1,1,1.1047463417053223,0.08919194340705872,0.802757740020752
12,0,1,46,13,1,1,1,1,1,1.1979528665542603,0.03818565607070923,0.8459387421607971
13,0,1,50,10,1,1,1,1,1,1.1706801652908325,0.03411581367254257,1.0113482475280762
14,1,1,16,19,1,1,1,1,1,1.5557724237442017,0.0499480739235878,1.0119051933288574
15,0,0,26,8,1,1,1,1,1,2.8536176681518555,0.04031263664364815,0.9913102388381958
16,0,0,39,18,1,1,1,1,1,1.6489827632904053,0.05148649960756302,0.9629955291748047
17,1,1,69,23,1,1,1,1,1,0.7249577641487122,0.049710750579833984,0.8067147731781006
18,0,1,46,18,1,1,1,1,1,1.2146128416061401,0.03690069541335106,0.809307336807251
19,1,0,54,14,1,1,1,1,1,1.6466572284698486,0.04159000143408775,1.0080397129058838
20,1,0,10,11,1,1,1,1,1,1.4144126176834106,0.0360296294093132,1.0079671144485474
21,0,0,26,17,1,1,1,1,1,2.229342460632324,0.04897955432534218,0.9741976261138916
22,1,1,15,21,1,1,1,1,1,1.8497123718261719,0.04490752890706062,1.0385545492172241
23,0,0,41,15,1,1,1,1,1,2.557947874069214,0.045353952795267105,0.9488863945007324
24,1,0,53,23,1,1,1,1,1,2.0453805923461914,0.03714495524764061,1.0778478384017944
25,1,1,67,23,1,1,1,1,1,2.755033016204834,0.04064851999282837,0.7257362604141235
26,0,0,32,11,1,1,1,1,1,3.3667588233947754,0.04519562050700188,0.9870474338531494
27,1,0,9,19,1,1,1,1,1,1.2143970727920532,0.060482386499643326,0.9397205710411072
28,1,1,69,25,1,1,1,1,1,0.7101317644119263,0.0458771288394928,0.8489598631858826
29,1,0,3,11,1,1,1,1,1,1.0249484777450562,0.04168174788355827,0.8540501594543457
30,0,0,27,8,1,1,1,1,1,1.592181921005249,0.03145436570048332,0.985254168510437
31,0,1,50,16,1,1,1,1,1,1.1088545322418213,0.04927268624305725,0.9914869666099548
32,1,0,10,23,1,1,1,1,1,1.3260183334350586,0.06245328113436699,0.9287447929382324
33,1,0,2,18,1,1,1,1,1,1.3380028009414673,0.0790063813328743,0.8795629739761353
34,0,0,34,13,1,1,1,1,1,2.3445677757263184,0.07092972844839096,1.048728346824646
35,0,1,49,12,1,1,1,1,1,0.8282391428947449,0.04387608915567398,0.7736743092536926
36,0,0,31,24,1,1,1,1,1,2.6046395301818848,0.07178755104541779,1.0300836563110352
37,0,1,46,25,1,1,1,1,1,0.8716291189193726,0.042424362152814865,0.7802321910858154
38,0,1,47,14,1,1,1,1,1,1.100062608718872,0.04143926873803139,0.7902640104293823
39,0,0,27,9,1,1,1,1,1,2.0426928997039795,0.038419418036937714,1.0062806606292725
40,0,0,36,23,1,1,1,1,1,1.5430262088775635,0.08083830028772354,1.0130466222763062
41,0,1,50,24,1,1,1,1,1,1.054814100265503,0.07257591933012009,0.9467372298240662
42,1,0,60,18,1,1,1,1,1,1.223007082939148,0.04045041650533676,0.6929764151573181
43,0,1,46,17,1,1,1,1,1,1.9480940103530884,0.09384061396121979,0.9365742802619934
44,0,1,44,25,1,1,1,1,1,1.5363335609436035,0.04514855146408081,0.8965172171592712
45,1,1,66,11,1,1,1,1,1,1.0247256755828857,0.03133469820022583,0.7429192066192627
46,1,0,59,11,1,1,1,1,1,1.2184046506881714,0.036563970148563385,0.788148045539856
47,1,0,1,17,1,1,1,1,1,1.4306895732879639,0.05220414698123932,0.9114924669265747
48,0,0,18,21,1,1,1,1,1,4.72196102142334,0.06614486128091812,1.1438729763031006
49,0,1,50,22,1,1,1,1,1,1.1727782487869263,0.08356862515211105,1.0119667053222656
50,0,0,37,21,1,1,1,1,1,1.4252170324325562,0.06614699959754944,0.9757674932479858
51,1,1,15,14,1,1,1,1,1,1.6155319213867188,0.046319425106048584,1.0089950561523438
52,0,1,44,9,1,1,1,1,1,1.4555928707122803,0.026188042014837265,0.8924873471260071
53,1,0,55,16,1,1,1,1,1,1.3164048194885254,0.0643022283911705,1.001564621925354
54,1,0,54,19,1,1,1,1,1,1.4643619060516357,0.048287004232406616,1.053070068359375
55,0,0,25,16,1,1,1,1,1,1.7987871170043945,0.06880180537700653,1.0191330909729004
56,1,0,6,18,1,1,1,1,1,1.1649764776229858,0.06470076739788055,0.9252961277961731
57,1,0,11,20,1,1,1,1,1,1.6075857877731323,0.05994972959160805,0.9590353965759277
58,1,0,8,8,1,1,1,1,1,1.2327020168304443,0.031920649111270905,0.9687108397483826
59,1,1,65,22,1,1,1,1,1,1.9049692153930664,0.053298577666282654,0.7600907683372498
60,1,0,1,19,1,1,1,1,1,1.0372884273529053,0.040495533496141434,0.9941296577453613
61,1,1,67,8,1,1,1,1,1,1.2873578071594238,0.02465496025979519,0.7228921055793762
62,1,1,63,12,1,1,1,1,1,2.8711047172546387,0.0382404588162899,0.7565785050392151
63,1,1,72,14,1,1,1,1,1,1.3542232513427734,0.04247776418924332,1.1253952980041504
64,1,0,61,18,1,1,1,1,1,1.2974038124084473,0.044825684279203415,0.7503007650375366
65,0,0,35,12,1,1,1,1,1,1.3643085956573486,0.044025126844644547,0.9557932019233704
66,1,1,14,17,1,1,1,1,1,1.770093560218811,0.05392954871058464,0.9860351085662842
67,0,0,31,13,1,1,1,1,1,2.9887163639068604,0.03814283013343811,1.0137577056884766
68,1,1,67,13,1,1,1,1,1,3.7153587341308594,0.02543935924768448,0.7219620943069458
69,1,1,70,14,1,1,1,1,1,0.7930065989494324,0.05624967813491821,1.0143641233444214
70,0,1,51,9,1,1,1,1,1,1.2616652250289917,0.029598932713270187,0.9720029830932617
71,1,1,71,11,1,1,1,1,1,0.9477165937423706,0.04377485066652298,1.019142746925354
72,1,0,62,8,1,1,1,1,1,3.4195055961608887,0.0299875196069479,0.734700083732605
73,0,0,35,10,1,1,1,1,1,2.3055803775787354,0.05898601934313774,1.0126463174819946
74,0,0,42,17,1,1,1,1,1,2.919086456298828,0.030068017542362213,0.8860999941825867
75,1,1,64,23,1,1,1,1,1,3.119581937789917,0.03820754587650299,0.7524958252906799
76,1,1,71,24,1,1,1,1,1,0.9354346394538879,0.0371985137462616,1.05995512008667
77,1,0,58,24,1,1,1,1,1,1.281176209449768,0.06732094287872314,0.8425682783126831
78,0,0,42,14,1,1,1,1,1,3.375121593475342,0.04135871306061745,0.8878004550933838
79,0,1,43,20,1,1,1,1,1,3.0396463871002197,0.06680792570114136,0.976178765296936
80,0,1,48,21,1,1,1,1,1,1.1738022565841675,0.06448269635438919,0.7770608067512512
81,0,0,20,14,0,0,1,1,1,7.258828639984131,0.05864321067929268,1.0252679586410522
82,1,1,66,16,1,1,1,1,1,1.953786015510559,0.057806797325611115,0.7268218398094177
83,1,0,4,21,1,1,1,1,1,1.1509169340133667,0.05759439617395401,0.8626853227615356
84,0,1,43,9,1,1,1,1,1,1.9337377548217773,0.027437424287199974,0.9265033602714539
85,0,1,49,11,1,1,1,1,1,1.0366581678390503,0.028489263728260994,0.7825509905815125
86,1,0,57,23,1,1,1,1,1,1.2326608896255493,0.057803187519311905,1.0045346021652222
87,0,1,52,23,1,1,1,1,1,1.5045366287231445,0.04143320769071579,1.109758734703064
88,0,0,20,18,1,1,1,1,1,3.906923532485962,0.062149371951818466,1.068975806236267
89,1,0,59,20,1,1,1,1,1,1.2386729717254639,0.04215952754020691,0.7119215130805969
90,1,0,59,11,1,1,1,1,1,1.2038593292236328,0.027519870549440384,0.8001875877380371
91,1,0,2,9,1,1,1,1,1,1.8770018815994263,0.04140568897128105,0.870990514755249
92,0,1,52,16,1,1,1,1,1,1.5135369300842285,0.049746252596378326,1.1124117374420166
93,1,1,17,19,1,1,1,1,1,1.7698194980621338,0.06677618622779846,1.1258503198623657
94,0,0,18,25,1,1,1,1,1,4.872523307800293,0.117699034512043,1.2031320333480835
95,1,1,63,22,1,1,1,1,1,3.001755475997925,0.08050913363695145,0.8389478325843811
96,0,1,44,11,1,1,1,1,1,1.664536476135254,0.03891456127166748,0.9050056338310242
97,0,1,50,12,1,1,1,1,1,1.3756306171417236,0.050701212137937546,1.0717612504959106
98,0,1,43,23,1,1,1,1,1,2.110032320022583,0.04541896656155586,0.952193021774292
99,0,0,35,9,1,1,1,1,1,2.712221145629883,0.0424761027097702,0.9765253067016602
100,0,1,46,13,1,1,1,1,1,1.0941572189331055,0.04533657059073448,0.8273555636405945
101,0,1,51,24,1,1,1,1,1,1.4777743816375732,0.050606876611709595,1.101870059967041
102,1,0,6,19,1,1,1,1,1,1.2378885746002197,0.06659102439880371,0.870290994644165
103,0,0,26,13,1,1,1,1,1,3.452240228652954,0.051929131150245667,1.0017714500427246
104,0,0,23,21,1,1,1,1,1,1.4273309707641602,0.06704244762659073,1.013994574546814
105,0,0,27,18,1,1,1,1,1,1.6179168224334717,0.036319389939308167,0.961891233921051
106,0,1,48,20,1,1,1,1,1,0.8155278563499451,0.04402892664074898,0.7842698693275452
107,1,0,54,8,1,1,1,1,1,1.5349146127700806,0.026705987751483917,1.0524770021438599
108,1,1,14,22,1,1,1,1,1,1.7947566509246826,0.04391001909971237,0.9824202656745911
109,0,1,51,17,1,1,1,1,1,1.5235244035720825,0.04400119557976723,1.1153557300567627
110,0,0,29,12,1,1,1,1,1,1.2604211568832397,0.04339887201786041,1.0004013776779175
111,0,0,19,18,1,1,1,1,1,2.3577535152435303,0.06668347120285034,1.0447062253952026
112,1,1,14,13,1,1,1,1,1,1.7521517276763916,0.05216604471206665,0.9873855113983154
113,0,0,37,12,1,1,1,1,1,1.1317451000213623,0.04533141851425171,0.9859398603439331
114,1,1,65,15,1,1,1,1,1,2.7273075580596924,0.057097867131233215,0.7468264698982239
115,1,0,59,8,1,1,1,1,1,1.2140183448791504,0.02991737611591816,0.7978883981704712
116,0,0,20,8,1,1,1,1,1,1.8642306327819824,0.04362354055047035,1.0492148399353027
117,0,0,30,13,1,1,1,1,1,1.33513343334198,0.03352995589375496,0.9690839052200317
118,0,0,36,19,1,1,1,1,1,1.4162081480026245,0.06846155226230621,0.9939024448394775
119,1,0,59,17,1,1,1,1,1,1.1888283491134644,0.03460056707262993,0.801244854927063
120,0,1,51,25,1,1,1,1,1,1.7623956203460693,0.0468711256980896,1.1857675313949585
121,1,1,72,23,1,1,1,1,1,1.7230175733566284,0.09689893573522568,1.3120592832565308
122,1,1,65,18,1,1,1,1,1,2.2434799671173096,0.04287218302488327,0.7232170701026917
123,0,1,52,18,1,1,1,1,1,1.5555601119995117,0.04086616635322571,1.0825868844985962
124,0,0,21,21,1,1,1,1,1,3.117583990097046,0.054457034915685654,0.9760039448738098
125,0,1,49,19,1,1,1,1,1,1.078696846961975,0.06025638058781624,0.8867018222808838
126,1,0,53,24,1,1,1,1,1,2.74869966506958,0.086220882833004,1.1969062089920044
127,1,0,0,23,1,1,1,1,1,1.1177186965942383,0.08538790792226791,1.046288013458252
