candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,1,1,70,19,1,1,1,1,1,1.2610089778900146,0.06554272025823593,0.736572802066803
1,1,0,63,15,1,1,1,1,1,1.4003920555114746,0.04399363324046135,0.8304345607757568
2,1,1,71,18,1,1,1,1,1,1.6799354553222656,0.03154977038502693,0.775041937828064
3,1,1,69,14,1,1,1,1,1,4.187972545623779,0.0522955060005188,0.83939528465271
4,1,1,67,21,1,1,1,1,1,2.371211051940918,0.0432308129966259,0.8126535415649414
5,1,1,73,21,1,1,1,1,1,2.8137290477752686,0.04709015041589737,0.8211047053337097
6,0,0,5,23,1,1,1,1,1,1.9242124557495117,0.08076979219913483,0.8108183741569519
7,0,1,51,17,1,1,1,1,1,1.7590856552124023,0.0371382012963295,0.7930846810340881
8,1,0,60,10,1,1,1,1,1,0.8276351690292358,0.03144289180636406,1.0176295042037964
9,1,0,66,16,1,1,1,1,1,4.404609203338623,0.025720009580254555,0.8041420578956604
10,0,0,13,20,1,1,1,1,1,3.087556838989258,0.06416137516498566,0.9646263718605042
11,0,1,49,24,1,1,1,1,1,1.6193938255310059,0.07388871908187866,0.9319857358932495
12,0,1,21,13,1,1,1,1,1,1.9511284828186035,0.059188973158597946,1.2939974069595337
13,0,1,53,10,1,1,1,1,1,1.5872889757156372,0.04732606187462807,0.9287320971488953
14,1,1,69,19,1,1,1,1,1,2.2184979915618896,0.03241557255387306,0.7904795408248901
15,0,0,14,8,1,1,1,1,1,2.676039218902588,0.03978393226861954,1.0268819332122803
16,0,0,42,18,1,1,1,1,1,1.119070053100586,0.04610636457800865,0.9809804558753967
17,1,1,74,23,1,1,1,1,1,1.0844613313674927,0.04220183566212654,1.0134090185165405
18,0,1,21,18,1,1,1,1,1,1.7039378881454468,0.05649199336767197,1.1780805587768555
19,1,0,63,14,1,1,1,1,1,1.0774195194244385,0.03630067780613899,0.814285933971405
20,1,0,61,11,1,1,1,1,1,1.354602575302124,0.03925158455967903,0.9926869869232178
21,0,0,13,17,1,1,1,1,1,2.81746506690979,0.05482497811317444,0.9524428248405457
22,1,1,68,21,1,1,1,1,1,1.5936005115509033,0.04228060692548752,0.7597426772117615
23,0,0,45,15,1,1,1,1,1,1.1087543964385986,0.04179224371910095,0.9724282622337341
24,1,0,63,23,1,1,1,1,1,0.7665979266166687,0.04690730944275856,0.7592200040817261
25,1,1,72,23,1,1,1,1,1,3.4904634952545166,0.03726308047771454,0.7853460907936096
26,0,0,29,11,1,1,1,1,1,2.2475218772888184,0.046485140919685364,1.0187550783157349
27,1,0,61,19,1,1,1,1,1,2.3403000831604004,0.043639346957206726,1.0350120067596436
28,1,1,74,25,1,1,1,1,1,1.249222755432129,0.03854145109653473,1.0589723587036133
29,1,0,58,11,1,1,1,1,1,2.591623067855835,0.03175783157348633,1.076670527458191
30,0,0,15,8,1,1,1,1,1,2.7522168159484863,0.03177141025662422,1.017274260520935
31,0,1,53,16,1,1,1,1,1,1.5361088514328003,0.05492271110415459,0.939781129360199
32,1,0,61,23,1,1,1,1,1,1.5295648574829102,0.050051555037498474,1.0055546760559082
33,1,0,57,18,1,1,1,1,1,1.6914737224578857,0.05988048017024994,1.0832204818725586
34,0,0,33,13,1,1,1,1,1,1.6546690464019775,0.0545564740896225,1.1039965152740479
35,0,1,50,12,1,1,1,1,1,1.0999321937561035,0.039284899830818176,0.9097668528556824
36,0,0,28,24,0,0,1,1,1,6.227310657501221,0.08603834360837936,1.0513540506362915
37,0,1,47,25,1,1,1,1,1,1.9607548713684082,0.04744811728596687,0.894451379776001
38,0,1,48,14,1,1,1,1,1,1.6779714822769165,0.04428411275148392,0.9298387765884399
39,0,0,15,9,1,1,1,1,1,2.855482339859009,0.05084546282887459,1.0276691913604736
40,0,0,36,23,1,1,1,1,1,1.2378824949264526,0.06697236746549606,0.9981617331504822
41,0,1,53,24,1,1,1,1,1,1.4053434133529663,0.06840603053569794,0.910666286945343
42,1,0,66,18,1,1,1,1,1,4.109641075134277,0.035359419882297516,0.7723013162612915
43,0,1,20,17,1,1,1,1,1,1.7627009153366089,0.09884671866893768,1.2318077087402344
44,0,1,17,25,1,1,1,1,1,1.2771176099777222,0.05511727184057236,1.0183151960372925
45,1,1,72,11,1,1,1,1,1,2.710118293762207,0.03408648818731308,0.8080448508262634
46,1,0,65,11,1,1,1,1,1,1.890857219696045,0.03404811769723892,0.7933250069618225
47,1,0,57,17,1,1,1,1,1,4.5443949699401855,0.022751236334443092,1.0334886312484741
48,0,0,0,21,1,1,1,1,1,3.682072162628174,0.07175211608409882,1.2544021606445312
49,0,1,53,22,1,1,1,1,1,1.4494627714157104,0.08953581005334854,0.9538702964782715
50,0,0,37,21,1,1,1,1,1,1.310197114944458,0.05762198567390442,0.9634124636650085
51,1,1,68,14,1,1,1,1,1,3.1008076667785645,0.0342477522790432,0.7877468466758728
52,0,1,18,9,1,1,1,1,1,1.2885100841522217,0.035486601293087006,1.0275392532348633
53,1,0,64,16,1,1,1,1,1,2.0122551918029785,0.05215824767947197,0.861027717590332
54,1,0,63,19,1,1,1,1,1,0.9583985805511475,0.03640114888548851,0.7780100107192993
55,0,0,12,16,1,1,1,1,1,2.977792739868164,0.0881166011095047,0.9041281938552856
56,1,0,59,18,1,1,1,1,1,1.2689566612243652,0.04834035038948059,1.0305942296981812
57,1,0,61,20,1,1,1,1,1,1.1345326900482178,0.053853124380111694,0.9390587210655212
58,1,0,60,8,1,1,1,1,1,1.929992437362671,0.02895580790936947,1.0012084245681763
59,1,1,71,22,1,1,1,1,1,3.4522056579589844,0.04465286806225777,0.7978950142860413
60,1,0,57,19,1,1,1,1,1,1.4130699634552002,0.042828481644392014,1.103915810585022
61,1,1,73,8,1,1,1,1,1,1.207876205444336,0.021718312054872513,0.8781659603118896
62,1,1,69,12,1,1,1,1,1,1.8973445892333984,0.03486430272459984,0.8021074533462524
63,1,1,76,14,1,1,1,1,1,1.7539560794830322,0.0388566218316555,1.1745787858963013
64,1,0,66,18,1,1,1,1,1,1.7533406019210815,0.03583658114075661,0.8204822540283203
65,0,0,35,12,0,0,1,1,1,5.217692852020264,0.0385340116918087,0.9698826670646667
66,1,1,67,17,1,1,1,1,1,1.7373335361480713,0.041618168354034424,0.8171282410621643
67,0,0,28,13,1,1,1,1,1,2.3292243480682373,0.04283643141388893,1.0273226499557495
68,1,1,73,13,1,1,1,1,1,3.793635368347168,0.025047017261385918,0.8295523524284363
69,1,1,75,14,1,1,1,1,1,1.521138310432434,0.047920458018779755,1.1569777727127075
70,0,1,55,9,1,1,1,1,1,1.4282208681106567,0.026690388098359108,1.0266669988632202
71,1,1,76,11,1,1,1,1,1,1.5687755346298218,0.043194450438022614,1.1712019443511963
72,1,0,66,8,0,0,1,1,1,6.548802852630615,0.02634304016828537,0.8152761459350586
73,0,0,34,10,1,1,1,1,1,1.4312350749969482,0.04638788104057312,1.0295968055725098
74,0,0,46,17,1,1,1,1,1,1.379966139793396,0.03145553544163704,0.9050226211547852
75,1,1,71,23,1,1,1,1,1,2.092013359069824,0.04329640418291092,0.7870856523513794
76,1,1,76,24,1,1,1,1,1,1.7367892265319824,0.04870006814599037,1.2278785705566406
77,1,0,65,24,1,1,1,1,1,1.8283331394195557,0.04963291063904762,0.8518316149711609
78,0,0,46,14,1,1,1,1,1,1.2230485677719116,0.03387615829706192,0.909929096698761
79,0,1,16,20,1,1,1,1,1,1.2437411546707153,0.07319650799036026,0.8971576690673828
80,0,1,49,21,1,1,1,1,1,1.7033793926239014,0.07250260561704636,0.8984410166740417
81,0,0,4,14,1,1,1,1,1,1.3049546480178833,0.04852960258722305,0.9059362411499023
82,1,1,72,16,1,1,1,1,1,2.014040946960449,0.05573093891143799,0.8072118759155273
83,1,0,58,21,1,1,1,1,1,2.676241397857666,0.0464603528380394,1.0776677131652832
84,0,1,17,9,1,1,1,1,1,1.2432588338851929,0.050251346081495285,0.9909009337425232
85,0,1,51,11,1,1,1,1,1,1.5953987836837769,0.031994469463825226,0.8185370564460754
86,1,0,64,23,1,1,1,1,1,1.2799131870269775,0.05096091702580452,0.8051663041114807
87,0,1,55,23,1,1,1,1,1,1.3797247409820557,0.034873273223638535,1.1099498271942139
88,0,0,3,18,1,1,1,1,1,2.6580286026000977,0.04944827780127525,1.0566076040267944
89,1,0,65,20,1,1,1,1,1,1.7825521230697632,0.040858883410692215,0.7991889119148254
90,1,0,65,11,1,1,1,1,1,1.40449059009552,0.02677394635975361,0.7761287093162537
91,1,0,57,9,1,1,1,1,1,2.245089054107666,0.022005390375852585,1.0286140441894531
92,0,1,56,16,1,1,1,1,1,1.4886635541915894,0.05090111121535301,1.2022852897644043
