train_fraction,method,modality,auroc_mean,auroc_worst,auprc_mean,auprc_worst,f1_mean,balanced_acc_mean,aug_mean
0.25,classical,force,0.5430972469616752,0.1549642769154964,0.5334208525213334,0.1861749546449596,0.26879944123556004,0.5580988455988456,149.0
0.25,classical,fusion,0.9865702479338843,0.9462809917355371,0.9743282359231091,0.8973129436924364,0.7255030927976133,0.8324134199134199,149.0
0.25,classical,temperature,0.9552341597796143,0.8209366391184573,0.9296188682125339,0.7184754728501357,0.820823071195372,0.8904748706577975,149.0
0.25,racdiff,force,0.6914849202464027,0.1763038548752834,0.6599664105684226,0.3244597539790856,0.4826341513084207,0.7022665681202267,149.0
0.25,racdiff,fusion,0.9721350799272878,0.8999999999999999,0.9222185563665564,0.7015127520327862,0.7171026822639726,0.8204545454545455,149.0
0.25,racdiff,temperature,0.9488636363636364,0.7954545454545454,0.9100139194405464,0.6400556777621859,0.7234153318077803,0.8391207369865906,149.0
0.25,real_only,force,0.5331761492475778,0.0,0.5850816656508661,0.1668359285462916,0.2475880267172425,0.5545454545454546,0.0
0.25,real_only,fusion,1.0,1.0,1.0,1.0,0.7609040591744768,0.8481962481962482,0.0
0.25,real_only,temperature,0.9722796143250689,0.8891184573002755,0.9521994825703535,0.8087979302814137,0.8262411820038553,0.888219301024179,0.0
1.0,classical,force,0.47710101947114936,0.0,0.4978055538134395,0.1668359285462916,0.23230728755590632,0.5359848484848485,154.5
1.0,classical,fusion,0.9964084256292048,0.9903628117913832,0.994135612110784,0.9880900508351488,0.7087029569892473,0.8155483405483406,154.5
1.0,classical,temperature,0.9669421487603306,0.8677685950413223,0.9490984492676076,0.7963937970704305,0.8291462295185303,0.8891220568049837,154.5
1.0,racdiff,force,0.5411104289192664,0.0219265829021926,0.6116505976452142,0.1677954131655317,0.26969696969696966,0.49873737373737376,154.5
1.0,racdiff,fusion,0.9943758081745095,0.9869614512471656,0.9894068543011981,0.9745649185600168,0.6649715532694256,0.7950757575757575,154.5
1.0,racdiff,temperature,0.9509297520661157,0.8037190082644627,0.8959991949248254,0.5839967796993017,0.7297301024428684,0.8375871080139372,154.5
1.0,real_only,force,0.5069221903637487,0.0,0.5508833615345776,0.1668359285462916,0.26378667773094866,0.5532828282828283,0.0
1.0,real_only,fusion,0.9994331065759637,0.9977324263038548,0.9994525823014195,0.997810329205678,0.7087029569892473,0.8155483405483406,0.0
1.0,real_only,temperature,0.9691804407713498,0.8767217630853994,0.9473108357497205,0.7892433429988821,0.8308614043908161,0.8879672157111183,0.0
