modality,test_experiment,n_train_windows,n_test_windows,test_positive,auroc,auprc,f1_at_0p5,balanced_accuracy_at_0p5
temperature,A2,466,156,30,0.9997354497354498,0.9989247311827957,0.9830508474576272,0.9833333333333334
temperature,D1,477,145,30,1.0,0.9999999999999999,0.821917808219178,0.9434782608695652
temperature,M1,433,189,30,1.0,0.9999999999999999,0.8571428571428571,0.9685534591194969
temperature,M2,490,132,30,1.0,1.0,0.5365853658536586,0.6833333333333333
force,A2,466,156,30,1.0,1.0,0.9090909090909091,0.9761904761904762
force,D1,477,145,30,1.0,0.9999999999999999,0.9836065573770492,0.9956521739130435
force,M1,433,189,30,0.9,0.915423936606665,0.9,0.9405660377358491
force,M2,490,132,30,1.0,1.0,0.9090909090909091,0.9166666666666667
fusion,A2,466,156,30,1.0,1.0,0.9090909090909091,0.9761904761904762
fusion,D1,477,145,30,1.0,0.9999999999999999,0.9523809523809523,0.9869565217391305
fusion,M1,433,189,30,0.9,0.915423936606665,0.84375,0.9279874213836479
fusion,M2,490,132,30,1.0,1.0,0.8461538461538461,0.8666666666666667
