horizon_s,temp_cap_c,experiment_id,windows,positive,negative
300,45,A2,0,0,0
300,45,D1,0,0,0
300,45,M1,31,0,31
300,45,M2,5,0,5
300,50,A2,5,0,5
300,50,D1,0,0,0
300,50,M1,37,0,37
300,50,M2,12,0,12
300,60,A2,16,0,16
300,60,D1,9,0,9
300,60,M1,52,0,52
300,60,M2,21,0,21
300,70,A2,39,0,39
300,70,D1,20,0,20
300,70,M1,89,0,89
300,70,M2,34,0,34
300,80,A2,44,0,44
300,80,D1,31,0,31
300,80,M1,99,0,99
300,80,M2,43,0,43
300,100,A2,62,0,62
300,100,D1,52,0,52
300,100,M1,120,0,120
300,100,M2,68,0,68
300,120,A2,88,0,88
300,120,D1,73,0,73
300,120,M1,140,0,140
300,120,M2,84,0,84
300,150,A2,119,0,119
300,150,D1,111,0,111
300,150,M1,174,15,159
300,150,M2,116,14,102
300,200,A2,156,30,126
300,200,D1,145,30,115
300,200,M1,189,30,159
300,200,M2,132,30,102
600,45,A2,0,0,0
600,45,D1,0,0,0
600,45,M1,31,0,31
600,45,M2,5,0,5
600,50,A2,5,0,5
600,50,D1,0,0,0
600,50,M1,37,0,37
600,50,M2,12,0,12
600,60,A2,16,0,16
600,60,D1,9,0,9
600,60,M1,52,0,52
600,60,M2,21,0,21
600,70,A2,39,0,39
600,70,D1,20,0,20
600,70,M1,89,0,89
600,70,M2,34,0,34
600,80,A2,44,0,44
600,80,D1,31,0,31
600,80,M1,99,0,99
600,80,M2,43,0,43
600,100,A2,62,0,62
600,100,D1,52,0,52
600,100,M1,120,0,120
600,100,M2,68,0,68
600,120,A2,88,0,88
600,120,D1,73,0,73
600,120,M1,140,11,129
600,120,M2,84,12,72
600,150,A2,119,23,96
600,150,D1,111,26,85
600,150,M1,174,45,129
600,150,M2,116,44,72
600,200,A2,156,60,96
600,200,D1,145,60,85
600,200,M1,189,60,129
600,200,M2,132,60,72
900,45,A2,0,0,0
900,45,D1,0,0,0
900,45,M1,31,0,31
900,45,M2,5,0,5
900,50,A2,5,0,5
900,50,D1,0,0,0
900,50,M1,37,0,37
900,50,M2,12,0,12
900,60,A2,16,0,16
900,60,D1,9,0,9
900,60,M1,52,0,52
900,60,M2,21,0,21
900,70,A2,39,0,39
900,70,D1,20,0,20
900,70,M1,89,0,89
900,70,M2,34,0,34
900,80,A2,44,0,44
900,80,D1,31,0,31
900,80,M1,99,0,99
900,80,M2,43,1,42
900,100,A2,62,0,62
900,100,D1,52,0,52
900,100,M1,120,21,99
900,100,M2,68,26,42
900,120,A2,88,22,66
900,120,D1,73,18,55
900,120,M1,140,41,99
900,120,M2,84,42,42
900,150,A2,119,53,66
900,150,D1,111,56,55
900,150,M1,174,75,99
900,150,M2,116,74,42
900,200,A2,156,90,66
900,200,D1,145,90,55
900,200,M1,189,90,99
900,200,M2,132,90,42
