horizon_s,temp_cap_c,modality,test_experiment,n_train,n_test,test_positive,auroc,auprc,test_temp_max_observed
300,150,temperature,M1,346,174,15,1.0,1.0,149.9
300,150,temperature,M2,404,116,14,1.0,0.9999999999999999,148.8
300,150,force,M1,346,174,15,1.0,1.0,149.9
300,150,force,M2,404,116,14,1.0,0.9999999999999999,148.8
300,150,fusion,M1,346,174,15,1.0,1.0,149.9
300,150,fusion,M2,404,116,14,1.0,0.9999999999999999,148.8
300,200,temperature,A2,466,156,30,0.9997354497354498,0.9989247311827957,183.41000366210938
300,200,temperature,D1,477,145,30,1.0,0.9999999999999999,179.56666564941406
300,200,temperature,M1,433,189,30,1.0,0.9999999999999999,164.6
300,200,temperature,M2,490,132,30,1.0,1.0,164.8
300,200,force,A2,466,156,30,1.0,1.0,183.41000366210938
300,200,force,D1,477,145,30,1.0,0.9999999999999999,179.56666564941406
300,200,force,M1,433,189,30,0.9,0.915423936606665,164.6
300,200,force,M2,490,132,30,1.0,1.0,164.8
300,200,fusion,A2,466,156,30,1.0,1.0,183.41000366210938
300,200,fusion,D1,477,145,30,1.0,0.9999999999999999,179.56666564941406
300,200,fusion,M1,433,189,30,0.9,0.915423936606665,164.6
300,200,fusion,M2,490,132,30,1.0,1.0,164.8
600,120,temperature,M1,245,140,11,1.0,1.0,116.6
600,120,temperature,M2,301,84,12,0.9895833333333333,0.947420634920635,120.0
600,120,force,M1,245,140,11,0.40380549682875266,0.06796302506894944,116.6
600,120,force,M2,301,84,12,0.6458333333333334,0.23242740712486476,120.0
600,120,fusion,M1,245,140,11,1.0,1.0,116.6
600,120,fusion,M2,301,84,12,0.994212962962963,0.9688131313131313,120.0
600,150,temperature,A2,401,119,23,1.0,0.9999999999999998,148.72999572753906
600,150,temperature,D1,409,111,26,1.0,0.9999999999999999,149.2866668701172
600,150,temperature,M1,346,174,45,1.0,1.0000000000000002,149.9
600,150,temperature,M2,404,116,44,0.9987373737373737,0.9980017566974088,148.8
600,150,force,A2,401,119,23,1.0,0.9999999999999998,148.72999572753906
600,150,force,D1,409,111,26,1.0,0.9999999999999999,149.2866668701172
600,150,force,M1,346,174,45,0.7810508182601206,0.7662955999508007,149.9
600,150,force,M2,404,116,44,0.9633838383838383,0.954932172077153,148.8
600,150,fusion,A2,401,119,23,1.0,0.9999999999999998,148.72999572753906
600,150,fusion,D1,409,111,26,1.0,0.9999999999999999,149.2866668701172
600,150,fusion,M1,346,174,45,1.0,1.0000000000000002,149.9
600,150,fusion,M2,404,116,44,0.9977904040404041,0.9965385683524572,148.8
600,200,temperature,A2,466,156,60,1.0,1.0,183.41000366210938
600,200,temperature,D1,477,145,60,1.0,1.0,179.56666564941406
600,200,temperature,M1,433,189,60,1.0,1.0,164.6
600,200,temperature,M2,490,132,60,1.0,1.0,164.8
600,200,force,A2,466,156,60,1.0,1.0,183.41000366210938
600,200,force,D1,477,145,60,1.0,1.0,179.56666564941406
600,200,force,M1,433,189,60,0.6993540051679586,0.7594444598071186,164.6
600,200,force,M2,490,132,60,0.9722222222222222,0.9731834256662187,164.8
600,200,fusion,A2,466,156,60,1.0,1.0,183.41000366210938
600,200,fusion,D1,477,145,60,1.0,1.0,179.56666564941406
600,200,fusion,M1,433,189,60,0.95,0.9656908422083642,164.6
600,200,fusion,M2,490,132,60,0.9995370370370371,0.9994489981785065,164.8
900,100,temperature,M1,182,120,21,1.0,1.0,98.8
900,100,temperature,M2,234,68,26,1.0,0.9999999999999999,99.2
900,100,force,M1,182,120,21,0.24915824915824916,0.12380728415582218,98.8
900,100,force,M2,234,68,26,0.7628205128205128,0.5299547021759687,99.2
900,100,fusion,M1,182,120,21,1.0,1.0,98.8
900,100,fusion,M2,234,68,26,0.9880952380952381,0.9820395416549261,99.2
900,120,temperature,A2,297,88,22,0.8767217630853994,0.7892433429988821,119.44332885742188
900,120,temperature,D1,312,73,18,1.0,1.0,116.82666778564453
900,120,temperature,M1,245,140,41,1.0,1.0,116.6
900,120,temperature,M2,301,84,42,1.0,1.0,120.0
900,120,force,A2,297,88,22,0.9683195592286501,0.8807626000885831,119.44332885742188
900,120,force,D1,312,73,18,0.8484848484848485,0.7570058965844026,116.82666778564453
900,120,force,M1,245,140,41,0.0,0.1668359285462916,116.6
900,120,force,M2,301,84,42,0.21088435374149658,0.3989290209190334,120.0
900,120,fusion,A2,297,88,22,1.0,1.0,119.44332885742188
900,120,fusion,D1,312,73,18,1.0,1.0,116.82666778564453
900,120,fusion,M1,245,140,41,1.0,1.0,116.6
900,120,fusion,M2,301,84,42,0.9977324263038548,0.9978103292056781,120.0
900,150,temperature,A2,401,119,53,0.884505431675243,0.8679276574004051,148.72999572753906
900,150,temperature,D1,409,111,56,1.0,1.0000000000000002,149.2866668701172
900,150,temperature,M1,346,174,75,1.0,0.9999999999999998,149.9
900,150,temperature,M2,404,116,74,1.0,0.9999999999999999,148.8
900,150,force,A2,401,119,53,0.9968553459119497,0.9960717548663482,148.72999572753906
900,150,force,D1,409,111,56,1.0,1.0000000000000002,149.2866668701172
900,150,force,M1,346,174,75,0.34397306397306393,0.5356450618164932,149.9
900,150,force,M2,404,116,74,0.5707850707850708,0.8003440573461654,148.8
900,150,fusion,A2,401,119,53,0.9479702687249857,0.9418704588686941,148.72999572753906
900,150,fusion,D1,409,111,56,1.0,1.0000000000000002,149.2866668701172
900,150,fusion,M1,346,174,75,1.0,0.9999999999999998,149.9
900,150,fusion,M2,404,116,74,1.0,0.9999999999999999,148.8
900,200,temperature,A2,466,156,90,0.8996632996632997,0.9259168361204623,183.41000366210938
900,200,temperature,D1,477,145,90,1.0,1.0,179.56666564941406
900,200,temperature,M1,433,189,90,1.0,0.9999999999999998,164.6
900,200,temperature,M2,490,132,90,1.0,0.9999999999999998,164.8
900,200,force,A2,466,156,90,1.0,0.9999999999999998,183.41000366210938
900,200,force,D1,477,145,90,1.0,1.0,179.56666564941406
900,200,force,M1,433,189,90,0.40572390572390576,0.6169372273103689,164.6
900,200,force,M2,490,132,90,0.6843915343915344,0.8759292266198873,164.8
900,200,fusion,A2,466,156,90,0.9281144781144781,0.9475605122609572,183.41000366210938
900,200,fusion,D1,477,145,90,0.998989898989899,0.9993973768167317,179.56666564941406
900,200,fusion,M1,433,189,90,1.0,0.9999999999999998,164.6
900,200,fusion,M2,490,132,90,1.0,0.9999999999999998,164.8
