horizon_s,temp_cap_c,modality,valid_folds,auroc_mean,auroc_min,auprc_mean,auprc_min
300,200,force,4,0.975,0.9,0.9788559841516662,0.915423936606665
300,200,fusion,4,0.975,0.9,0.9788559841516662,0.915423936606665
300,200,temperature,4,0.9999338624338625,0.9997354497354498,0.9997311827956988,0.9989247311827957
600,150,force,4,0.9361086641609897,0.7810508182601206,0.9303069430069882,0.7662955999508007
600,150,fusion,4,0.999447601010101,0.9977904040404041,0.9991346420881143,0.9965385683524572
600,150,temperature,4,0.9996843434343434,0.9987373737373737,0.9995004391743522,0.9980017566974088
600,200,force,4,0.9178940568475452,0.6993540051679586,0.9331569713683344,0.7594444598071186
600,200,fusion,4,0.9873842592592593,0.95,0.9912849600967177,0.9656908422083642
600,200,temperature,4,1.0,1.0,1.0,1.0
900,120,force,4,0.5069221903637487,0.0,0.5508833615345777,0.1668359285462916
900,120,fusion,4,0.9994331065759637,0.9977324263038548,0.9994525823014195,0.9978103292056781
900,120,temperature,4,0.9691804407713498,0.8767217630853994,0.9473108357497205,0.7892433429988821
900,150,force,4,0.727903370167521,0.34397306397306393,0.8330152185072518,0.5356450618164932
900,150,fusion,4,0.9869925671812464,0.9479702687249857,0.9854676147171735,0.9418704588686941
900,150,temperature,4,0.9711263579188107,0.884505431675243,0.9669819143501013,0.8679276574004051
900,200,force,4,0.77252886002886,0.40572390572390576,0.8732166134825641,0.6169372273103689
900,200,fusion,4,0.9817760942760942,0.9281144781144781,0.986739472269422,0.9475605122609572
900,200,temperature,4,0.974915824915825,0.8996632996632997,0.9814792090301154,0.9259168361204623
300,150,force,2,1.0,1.0,1.0,0.9999999999999999
300,150,fusion,2,1.0,1.0,1.0,0.9999999999999999
300,150,temperature,2,1.0,1.0,1.0,0.9999999999999999
600,120,force,2,0.524819415081043,0.40380549682875266,0.1501952160969071,0.06796302506894944
600,120,fusion,2,0.9971064814814815,0.994212962962963,0.9844065656565657,0.9688131313131313
600,120,temperature,2,0.9947916666666666,0.9895833333333333,0.9737103174603174,0.947420634920635
900,100,force,2,0.505989380989381,0.24915824915824916,0.3268809931658955,0.12380728415582218
900,100,fusion,2,0.9940476190476191,0.9880952380952381,0.9910197708274631,0.9820395416549261
900,100,temperature,2,1.0,1.0,1.0,0.9999999999999999
