path,basename,extension,uncompressed_bytes,compressed_bytes,category,depth
Fotos_videos/cell_A_Z3808/Livecam_2025-07-22 12-27-47_TRA.mkv,Livecam_2025-07-22 12-27-47_TRA.mkv,.mkv,57035932,56867551,image,3
Fotos_videos/cell_A_Z3808/TS0330_20260216_154517.jpg,TS0330_20260216_154517.jpg,.jpg,3686021,3680486,image,3
Fotos_videos/cell_A_Z3808/TS0330_20260216_154527.jpg,TS0330_20260216_154527.jpg,.jpg,2626699,2618179,image,3
Fotos_videos/cell_A_Z3808/TS0330_20260216_154639.jpg,TS0330_20260216_154639.jpg,.jpg,2735135,2728133,image,3
Fotos_videos/cell_A_Z3808/TS0330_20260216_154702.jpg,TS0330_20260216_154702.jpg,.jpg,2989956,2983483,image,3
Fotos_videos/cell_A_Z3808/TS0330_20260216_154752.jpg,TS0330_20260216_154752.jpg,.jpg,1172457,1151884,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250717_134302.jpg,TS0330_A_20250717_134302.jpg,.jpg,2584367,2579172,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250717_134340.jpg,TS0330_A_20250717_134340.jpg,.jpg,1593925,1576705,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250717_134344.jpg,TS0330_A_20250717_134344.jpg,.jpg,2394904,2388676,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250717_134347.jpg,TS0330_A_20250717_134347.jpg,.jpg,1838925,1831059,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250717_134349.jpg,TS0330_A_20250717_134349.jpg,.jpg,1861768,1852698,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250717_134351.jpg,TS0330_A_20250717_134351.jpg,.jpg,1298436,1278881,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250717_134355.jpg,TS0330_A_20250717_134355.jpg,.jpg,1534864,1513039,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101057.jpg,TS0330_A_20250724_101057.jpg,.jpg,1656467,1630551,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101100.jpg,TS0330_A_20250724_101100.jpg,.jpg,1475362,1444949,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101110.jpg,TS0330_A_20250724_101110.jpg,.jpg,2058927,2046070,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101241.jpg,TS0330_A_20250724_101241.jpg,.jpg,2605978,2599624,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101303.jpg,TS0330_A_20250724_101303.jpg,.jpg,2445142,2434218,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101332.jpg,TS0330_A_20250724_101332.jpg,.jpg,2854669,2849491,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101335.jpg,TS0330_A_20250724_101335.jpg,.jpg,1824128,1809964,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101338.jpg,TS0330_A_20250724_101338.jpg,.jpg,2418159,2409535,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101340.jpg,TS0330_A_20250724_101340.jpg,.jpg,2151945,2141865,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101345.jpg,TS0330_A_20250724_101345.jpg,.jpg,1528845,1504926,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101347.jpg,TS0330_A_20250724_101347.jpg,.jpg,1542853,1523645,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101353.jpg,TS0330_A_20250724_101353.jpg,.jpg,1637526,1616413,image,3
Fotos_videos/cell_A_Z3808/TS0330_A_20250724_101400.jpg,TS0330_A_20250724_101400.jpg,.jpg,2317193,2307636,image,3
Fotos_videos/cell_A_Z3808/TS0330_transcoded_K1_VID_20250722_122206_VentA.mp4,TS0330_transcoded_K1_VID_20250722_122206_VentA.mp4,.mp4,45686583,45617701,image,3
Fotos_videos/cell_A_Z3808/TS0330_transcoded_K1_VID_20250722_122806_TRA.mp4,TS0330_transcoded_K1_VID_20250722_122806_TRA.mp4,.mp4,44809431,44760166,image,3
Fotos_videos/cell_A_Z3808/TS0330_transcoded_K2_VID_20250722_122156_VentA.mp4,TS0330_transcoded_K2_VID_20250722_122156_VentA.mp4,.mp4,45832149,45515120,image,3
Fotos_videos/cell_A_Z3808/TS0330_transcoded_K2_VID_20250722_122756_TRA.mp4,TS0330_transcoded_K2_VID_20250722_122756_TRA.mp4,.mp4,45541167,45348553,image,3
Fotos_videos/cell_A_Z3808/TS0330_transcoded_K3_VID_20250722_122308_VentA.mp4,TS0330_transcoded_K3_VID_20250722_122308_VentA.mp4,.mp4,44755205,44680105,image,3
Fotos_videos/cell_A_Z3808/TS0330_transcoded_K3_VID_20250722_122608_TRA.mp4,TS0330_transcoded_K3_VID_20250722_122608_TRA.mp4,.mp4,44833584,44764167,image,3
Fotos_videos/cell_A_Z3808/TS0330_transcoded_K4_VID_20250722_122214_VentA.mp4,TS0330_transcoded_K4_VID_20250722_122214_VentA.mp4,.mp4,44570314,44512873,image,3
Fotos_videos/cell_A_Z3808/TS0330_transcoded_K4_VID_20250722_122814_TRA.mp4,TS0330_transcoded_K4_VID_20250722_122814_TRA.mp4,.mp4,44934607,44901787,image,3
Fotos_videos/cell_B_Z3809/Livecam_2025-07-22 12-48-58_TRB.mkv,Livecam_2025-07-22 12-48-58_TRB.mkv,.mkv,57204473,57156995,image,3
Fotos_videos/cell_B_Z3809/TS0330_20260216_155400.jpg,TS0330_20260216_155400.jpg,.jpg,3494964,3486383,image,3
Fotos_videos/cell_B_Z3809/TS0330_20260216_155754.jpg,TS0330_20260216_155754.jpg,.jpg,3066195,3058433,image,3
Fotos_videos/cell_B_Z3809/TS0330_20260216_155809.jpg,TS0330_20260216_155809.jpg,.jpg,2655809,2646573,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250717_134433.jpg,TS0330_B_20250717_134433.jpg,.jpg,2549724,2544867,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250717_134501.jpg,TS0330_B_20250717_134501.jpg,.jpg,2049583,2037084,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250717_134503.jpg,TS0330_B_20250717_134503.jpg,.jpg,1962373,1950899,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250717_134506.jpg,TS0330_B_20250717_134506.jpg,.jpg,2169308,2156016,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250717_134508.jpg,TS0330_B_20250717_134508.jpg,.jpg,1998512,1984111,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250717_134511.jpg,TS0330_B_20250717_134511.jpg,.jpg,2055603,2046357,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250717_134514.jpg,TS0330_B_20250717_134514.jpg,.jpg,1574954,1555607,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101443.jpg,TS0330_B_20250724_101443.jpg,.jpg,1834657,1811118,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101445.jpg,TS0330_B_20250724_101445.jpg,.jpg,1945106,1928594,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101452.jpg,TS0330_B_20250724_101452.jpg,.jpg,2306599,2297136,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101457.jpg,TS0330_B_20250724_101457.jpg,.jpg,2311921,2295347,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101553.jpg,TS0330_B_20250724_101553.jpg,.jpg,2589349,2584205,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101615.jpg,TS0330_B_20250724_101615.jpg,.jpg,2323490,2317003,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101618.jpg,TS0330_B_20250724_101618.jpg,.jpg,1381480,1364013,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101622.jpg,TS0330_B_20250724_101622.jpg,.jpg,1401637,1386680,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101625.jpg,TS0330_B_20250724_101625.jpg,.jpg,1433585,1418479,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101628.jpg,TS0330_B_20250724_101628.jpg,.jpg,1107100,1076892,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101632.jpg,TS0330_B_20250724_101632.jpg,.jpg,1313837,1289588,image,3
Fotos_videos/cell_B_Z3809/TS0330_B_20250724_101635.jpg,TS0330_B_20250724_101635.jpg,.jpg,2033613,2024095,image,3
Fotos_videos/cell_B_Z3809/TS0330_transcoded_K1_VID_20250722_124306_VentB.mp4,TS0330_transcoded_K1_VID_20250722_124306_VentB.mp4,.mp4,45802443,45710149,image,3
Fotos_videos/cell_B_Z3809/TS0330_transcoded_K1_VID_20250722_124906_TRB.mp4,TS0330_transcoded_K1_VID_20250722_124906_TRB.mp4,.mp4,44947430,44864012,image,3
Fotos_videos/cell_B_Z3809/TS0330_transcoded_K2_VID_20250722_124256_VentB.mp4,TS0330_transcoded_K2_VID_20250722_124256_VentB.mp4,.mp4,46006403,45741000,image,3
Fotos_videos/cell_B_Z3809/TS0330_transcoded_K2_VID_20250722_124856_TRB.mp4,TS0330_transcoded_K2_VID_20250722_124856_TRB.mp4,.mp4,45536404,45308384,image,3
Fotos_videos/cell_B_Z3809/TS0330_transcoded_K3_VID_20250722_124408_VentB.mp4,TS0330_transcoded_K3_VID_20250722_124408_VentB.mp4,.mp4,45420426,45356153,image,3
Fotos_videos/cell_B_Z3809/TS0330_transcoded_K3_VID_20250722_125008_TRB.mp4,TS0330_transcoded_K3_VID_20250722_125008_TRB.mp4,.mp4,45577722,45542115,image,3
Fotos_videos/cell_B_Z3809/TS0330_transcoded_K4_VID_20250722_124314_VentB.mp4,TS0330_transcoded_K4_VID_20250722_124314_VentB.mp4,.mp4,45275090,45250803,image,3
Fotos_videos/cell_B_Z3809/TS0330_transcoded_K4_VID_20250722_124914_TRB.mp4,TS0330_transcoded_K4_VID_20250722_124914_TRB.mp4,.mp4,45548501,45519019,image,3
Fotos_videos/cell_C_Z3810/Livecam_2025-07-22 13-10-17_TRC.mkv,Livecam_2025-07-22 13-10-17_TRC.mkv,.mkv,58175821,57926912,image,3
Fotos_videos/cell_C_Z3810/TS0330_20260216_160743.jpg,TS0330_20260216_160743.jpg,.jpg,4040209,4034492,image,3
Fotos_videos/cell_C_Z3810/TS0330_20260216_160813.jpg,TS0330_20260216_160813.jpg,.jpg,2303527,2294730,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250717_134547.jpg,TS0330_C_20250717_134547.jpg,.jpg,2553857,2549137,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250717_134613.jpg,TS0330_C_20250717_134613.jpg,.jpg,1579215,1566231,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250717_134615.jpg,TS0330_C_20250717_134615.jpg,.jpg,1541965,1527450,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250717_134617.jpg,TS0330_C_20250717_134617.jpg,.jpg,1491403,1478561,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250717_134620.jpg,TS0330_C_20250717_134620.jpg,.jpg,1533579,1521890,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250717_134623.jpg,TS0330_C_20250717_134623.jpg,.jpg,2130399,2118930,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250717_134625.jpg,TS0330_C_20250717_134625.jpg,.jpg,1964794,1952299,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250724_101746.jpg,TS0330_C_20250724_101746.jpg,.jpg,2189100,2170667,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250724_101748.jpg,TS0330_C_20250724_101748.jpg,.jpg,2121080,2105095,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250724_101800.jpg,TS0330_C_20250724_101800.jpg,.jpg,2668837,2661358,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250724_101804.jpg,TS0330_C_20250724_101804.jpg,.jpg,2768522,2760371,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250724_101857.jpg,TS0330_C_20250724_101857.jpg,.jpg,2552135,2547013,image,3
Fotos_videos/cell_C_Z3810/TS0330_C_20250724_101919.jpg,TS0330_C_20250724_101919.jpg,.jpg,1272698,1253704,image,3
