path,basename,extension,uncompressed_bytes,compressed_bytes,category,depth
readme.txt,readme.txt,.txt,1080,574,other,1
Plots_and_raw_data/TS0330B/Z3809_01_TS0330_MPo_Channel_2_Wb_1.xlsx,Z3809_01_TS0330_MPo_Channel_2_Wb_1.xlsx,.xlsx,3896945,3736149,raw_data,3
Plots_and_raw_data/TS0330A/Z3808_01_TS0330_MPo_Channel_1_Wb_1.xlsx,Z3808_01_TS0330_MPo_Channel_1_Wb_1.xlsx,.xlsx,3765693,3620456,raw_data,3
Plots_and_raw_data/TS0330G/export_TS0330G.xlsx,export_TS0330G.xlsx,.xlsx,76669,68738,raw_data,3
Plots_and_raw_data/TS0330B/export_TS0330B.xlsx,export_TS0330B.xlsx,.xlsx,75098,66102,raw_data,3
Plots_and_raw_data/TS0330H/export_TS0330H.xlsx,export_TS0330H.xlsx,.xlsx,73191,65355,raw_data,3
Plots_and_raw_data/TS0330E/export_TS0330E.xlsx,export_TS0330E.xlsx,.xlsx,72566,64164,raw_data,3
Plots_and_raw_data/TS0330F/export_TS0330F.xlsx,export_TS0330F.xlsx,.xlsx,71178,64028,raw_data,3
Plots_and_raw_data/TS0330A/export_TS0330A.xlsx,export_TS0330A.xlsx,.xlsx,68132,59861,raw_data,3
Plots_and_raw_data/TS0330D/export_TS0330D.xlsx,export_TS0330D.xlsx,.xlsx,67487,60321,raw_data,3
Plots_and_raw_data/TS0330C/export_TS0330C.xlsx,export_TS0330C.xlsx,.xlsx,66091,57888,raw_data,3
Plots_and_raw_data/TS0330D/order_TS0330D.xlsx,order_TS0330D.xlsx,.xlsx,2724,2297,raw_data,3
Plots_and_raw_data/TS0330B/order_TS0330B.xlsx,order_TS0330B.xlsx,.xlsx,2721,2295,raw_data,3
Plots_and_raw_data/TS0330E/order_TS0330E.xlsx,order_TS0330E.xlsx,.xlsx,2720,2295,raw_data,3
Plots_and_raw_data/TS0330G/order_TS0330G.xlsx,order_TS0330G.xlsx,.xlsx,2720,2295,raw_data,3
Plots_and_raw_data/TS0330H/order_TS0330H.xlsx,order_TS0330H.xlsx,.xlsx,2718,2292,raw_data,3
Plots_and_raw_data/TS0330F/order_TS0330F.xlsx,order_TS0330F.xlsx,.xlsx,2716,2290,raw_data,3
Plots_and_raw_data/TS0330A/order_TS0330A.xlsx,order_TS0330A.xlsx,.xlsx,2715,2290,raw_data,3
Plots_and_raw_data/TS0330C/order_TS0330C.xlsx,order_TS0330C.xlsx,.xlsx,2715,2292,raw_data,3
report_BAK_N21700CG-50_60SOC_TS0330.xlsx,report_BAK_N21700CG-50_60SOC_TS0330.xlsx,.xlsx,29057,24561,report_or_result,1
