experiment,column_index,technical_name,description,finite_rows,min,max,median,shared_time_dt_s
TS0330A,0,time,,765,96629.0,1305241.0,824502.0,943.0
TS0330A,1,I61,Pressure,765,123964.0,161932.0,132144.0,943.0
TS0330A,2,Pressure Cassette,,765,123397.0,160952.0,132321.0,943.0
TS0330A,3,n,amount of gas,765,5720.0,7437.0,6073.0,943.0
TS0330A,4,U73,Voltage Z3808,765,-30.0,3830.0,-2.0,943.0
TS0330A,5,TC2,Cell case Z3808,765,25.0,613.0,371.0,943.0
TS0330A,6,TC1,Heater of Z3808,765,25.0,423.0,410.0,943.0
TS0330A,7,TC3,Ventgas,765,26.0,762.0,331.0,943.0
TS0330A,8,TC4,Ventgas,765,26.0,823.0,94.0,943.0
TS0330A,9,TC47,Reactor gas,765,30.0,41.0,31.0,943.0
TS0330A,10,TC48,Reactor gas,765,26.0,39.0,28.0,943.0
TS0330A,11,TC49,Reactor gas,765,25.0,33.0,26.0,943.0
TS0330A,12,TC50,Reactor gas,765,25.0,28.0,25.0,943.0
TS0330A,13,Heater Power,Heater Power,765,0.0,299.0,0.0,943.0
TS0330A,14,Heater Current,,765,10.0,1498.0,11.0,943.0
TS0330A,15,Heater Voltage,,765,0.0,200.0,0.0,943.0
TS0330B,0,time,,854,53786.0,1294739.0,806272.0,300.0
TS0330B,1,I61,Pressure,854,131790.0,167368.0,140115.0,300.0
TS0330B,2,Pressure Cassette,,854,130694.0,166345.0,140023.0,300.0
TS0330B,3,n,amount of gas,854,6067.0,7667.0,6402.0,300.0
TS0330B,4,U74,Voltage Z3809,854,-8.0,3832.0,-3.0,300.0
TS0330B,5,TC6,Cell case Z3809,854,26.0,601.0,339.5,300.0
TS0330B,6,TC5,Heater of Z3809,854,27.0,425.0,416.5,300.0
TS0330B,7,TC7,Ventgas,854,27.0,2123.0,251.0,300.0
TS0330B,8,TC8,Ventgas,854,28.0,1191.0,104.0,300.0
TS0330B,9,TC47,Reactor gas,854,31.0,42.0,33.0,300.0
TS0330B,10,TC48,Reactor gas,854,27.0,39.0,30.0,300.0
TS0330B,11,TC49,Reactor gas,854,26.0,34.0,28.0,300.0
TS0330B,12,TC50,Reactor gas,854,25.0,29.0,26.0,300.0
TS0330B,13,Heater Power,Heater Power,854,0.0,283.0,0.0,300.0
TS0330B,14,Heater Current,,854,10.0,1418.0,11.0,300.0
TS0330B,15,Heater Voltage,,854,0.0,200.0,6.0,300.0
TS0330C,0,time,,736,29651.0,1246698.0,754893.0,967.0
TS0330C,1,I61,Pressure,736,139297.0,175040.0,147291.5,967.0
TS0330C,2,Pressure Cassette,,736,138674.0,173756.0,146845.0,967.0
TS0330C,3,n,amount of gas,736,6392.0,7955.0,6714.0,967.0
TS0330C,4,U75,Voltage Z3810,736,-3.0,3825.0,-1.0,967.0
TS0330C,5,TC10,Cell case Z3810,736,27.0,566.0,336.5,967.0
TS0330C,6,TC9,Heater of Z3810,736,34.0,427.0,409.5,967.0
TS0330C,7,TC11,Ventgas,736,28.0,1117.0,383.0,967.0
TS0330C,8,TC12,Ventgas,736,29.0,974.0,116.0,967.0
TS0330C,9,TC47,Reactor gas,736,32.0,49.0,34.0,967.0
TS0330C,10,TC48,Reactor gas,736,28.0,47.0,31.0,967.0
TS0330C,11,TC49,Reactor gas,736,27.0,39.0,28.0,967.0
TS0330C,12,TC50,Reactor gas,736,26.0,32.0,27.0,967.0
TS0330C,13,Heater Power,Heater Power,736,0.0,287.0,0.0,967.0
TS0330C,14,Heater Current,,736,10.0,1437.0,11.0,967.0
TS0330C,15,Heater Voltage,,736,0.0,200.0,0.0,967.0
TS0330D,0,time,,753,33152.0,1159816.0,703858.0,631.0
TS0330D,1,I61,Pressure,753,146948.0,185537.0,155466.0,631.0
TS0330D,2,Pressure Cassette,,753,147229.0,184810.0,155975.0,631.0
TS0330D,3,n,amount of gas,753,6713.0,8428.0,7046.0,631.0
TS0330D,4,U76,Voltage Z3811,753,-11.0,3829.0,-1.0,631.0
TS0330D,5,TC14,Cell case Z3811,753,28.0,565.0,325.0,631.0
TS0330D,6,TC13,Heater of Z3811,753,37.0,427.0,413.0,631.0
TS0330D,7,TC15,Ventgas,753,29.0,1227.0,105.0,631.0
TS0330D,8,TC16,Ventgas,753,31.0,1016.0,122.0,631.0
TS0330D,9,TC47,Reactor gas,753,33.0,51.0,36.0,631.0
TS0330D,10,TC48,Reactor gas,753,31.0,52.0,34.0,631.0
TS0330D,11,TC49,Reactor gas,753,28.0,44.0,30.0,631.0
TS0330D,12,TC50,Reactor gas,753,27.0,36.0,28.0,631.0
TS0330D,13,Heater Power,Heater Power,753,0.0,285.0,0.0,631.0
TS0330D,14,Heater Current,,753,10.0,1426.0,11.0,631.0
TS0330D,15,Heater Voltage,,753,0.0,200.0,0.0,631.0
TS0330E,0,time,,820,34669.0,1324175.0,693269.0,770.0
TS0330E,1,I61,Pressure,820,154815.0,193594.0,163335.0,770.0
TS0330E,2,Pressure Cassette,,820,152740.0,190756.0,161182.0,770.0
TS0330E,3,n,amount of gas,820,7040.0,8682.0,7353.0,770.0
TS0330E,4,U77,Voltage Z3812,820,-8.0,3831.0,-2.0,770.0
TS0330E,5,TC18,Cell case Z3812,820,28.0,592.0,337.5,770.0
TS0330E,6,TC17,Heater of Z3812,820,51.0,424.0,407.0,770.0
TS0330E,7,TC19,Ventgas,820,30.0,1265.0,133.5,770.0
TS0330E,8,TC20,Ventgas,820,32.0,1066.0,103.0,770.0
TS0330E,9,TC47,Reactor gas,820,34.0,56.0,39.0,770.0
TS0330E,10,TC48,Reactor gas,820,32.0,66.0,36.0,770.0
TS0330E,11,TC49,Reactor gas,820,29.0,58.0,32.0,770.0
TS0330E,12,TC50,Reactor gas,820,27.0,47.0,29.0,770.0
TS0330E,13,Heater Power,Heater Power,820,0.0,283.0,0.0,770.0
TS0330E,14,Heater Current,,820,10.0,1417.0,11.0,770.0
TS0330E,15,Heater Voltage,,820,0.0,200.0,0.0,770.0
TS0330F,0,time,,799,50707.0,1186241.0,695046.0,749.5
TS0330F,1,I61,Pressure,799,162595.0,200444.0,170909.0,749.5
TS0330F,2,Pressure Cassette,,799,162116.0,198826.0,170741.0,749.5
TS0330F,3,n,amount of gas,799,7292.0,8894.0,7648.0,749.5
TS0330F,4,U78,Voltage Z3813,799,-6.0,3830.0,-2.0,749.5
TS0330F,5,TC22,Cell case Z3813,799,29.0,598.0,348.0,749.5
TS0330F,6,TC21,Heater of Z3813,799,31.0,429.0,414.0,749.5
TS0330F,7,TC23,Ventgas,799,32.0,1187.0,92.0,749.5
TS0330F,8,TC24,Ventgas,799,34.0,1105.0,102.0,749.5
TS0330F,9,TC47,Reactor gas,799,36.0,63.0,40.0,749.5
TS0330F,10,TC48,Reactor gas,799,34.0,69.0,38.0,749.5
TS0330F,11,TC49,Reactor gas,799,31.0,64.0,33.0,749.5
TS0330F,12,TC50,Reactor gas,799,29.0,52.0,30.0,749.5
TS0330F,13,Heater Power,Heater Power,799,0.0,289.0,0.0,749.5
TS0330F,14,Heater Current,,799,10.0,1446.0,11.0,749.5
TS0330F,15,Heater Voltage,,799,0.0,200.0,0.0,749.5
TS0330G,0,time,,863,22036.0,1164350.0,679545.0,587.0
TS0330G,1,I61,Pressure,863,170177.0,207543.0,178346.0,587.0
TS0330G,2,Pressure Cassette,,863,169185.0,223770.0,177505.0,587.0
TS0330G,3,n,amount of gas,863,7411.0,9019.0,7661.0,587.0
TS0330G,4,U79,Voltage Z3814,863,-10.0,3829.0,-1.0,587.0
TS0330G,5,TC26,Cell case Z3814,863,30.0,581.0,319.0,587.0
TS0330G,6,TC25,Heater of Z3814,863,42.0,428.0,415.0,587.0
TS0330G,7,TC27,Ventgas,863,33.0,1194.0,70.0,587.0
TS0330G,8,TC28,Ventgas,863,35.0,1088.0,116.0,587.0
TS0330G,9,TC47,Reactor gas,863,38.0,76.0,45.0,587.0
TS0330G,10,TC48,Reactor gas,863,36.0,90.0,39.0,587.0
TS0330G,11,TC49,Reactor gas,863,33.0,73.0,35.0,587.0
TS0330G,12,TC50,Reactor gas,863,30.0,57.0,32.0,587.0
TS0330G,13,Heater Power,Heater Power,863,0.0,289.0,65.0,587.0
TS0330G,14,Heater Current,,863,11.0,1445.0,660.0,587.0
TS0330G,15,Heater Voltage,,863,0.0,200.0,98.0,587.0
TS0330H,0,time,,806,37924.0,997337.0,646659.0,580.0
TS0330H,1,I97,Pressure,806,172742.0,205524.0,181826.0,580.0
TS0330H,2,Pressure Cassette,,806,177393.0,210699.0,186346.0,580.0
TS0330H,3,n,amount of gas,806,6665.0,8349.0,7716.0,580.0
TS0330H,4,U80,Voltage Z3815,806,-30.0,3831.0,-2.0,580.0
TS0330H,5,TC30,Cell case Z3815,806,32.0,632.0,375.5,580.0
TS0330H,6,TC29,Heater of Z3815,806,40.0,427.0,414.0,580.0
TS0330H,7,TC31,Ventgas,806,35.0,1133.0,120.0,580.0
TS0330H,8,TC32,Ventgas,806,37.0,889.0,143.5,580.0
TS0330H,9,TC47,Reactor gas,806,41.0,173.0,61.0,580.0
TS0330H,10,TC48,Reactor gas,806,38.0,128.0,46.0,580.0
TS0330H,11,TC49,Reactor gas,806,34.0,111.0,39.5,580.0
TS0330H,12,TC50,Reactor gas,806,32.0,92.0,38.0,580.0
TS0330H,13,Heater Power,Heater Power,806,0.0,294.0,0.0,580.0
TS0330H,14,Heater Current,,806,11.0,1469.0,11.0,580.0
TS0330H,15,Heater Voltage,,806,0.0,200.0,0.0,580.0
