file,sheet,row_index,keywords,row_text
Plots_and_raw_data/TS0330A/export_TS0330A.xlsx,TimeData,0,press+pressure+time+voltage,time | I61 | Pressure Cassette | n | U73 | TC2 | TC1 | TC3 | TC4 | TC47 | TC48 | TC49 | TC50 | Heater Power | Heater Current | Heater Voltage
Plots_and_raw_data/TS0330A/export_TS0330A.xlsx,TimeData,1,gas+press+pressure+vent+voltage,Pressure | amount of gas | Voltage Z3808 | Cell case Z3808 | Heater of Z3808 | Ventgas | Ventgas | Reactor gas | Reactor gas | Reactor gas | Reactor gas | Heater Power
Plots_and_raw_data/TS0330A/order_TS0330A.xlsx,Sheet1,1,time,time abs /s | time rel /s | type | caption
Plots_and_raw_data/TS0330A/order_TS0330A.xlsx,Sheet1,3,gas+vent,815.89 | 595.04 | vent_gas | TK4
Plots_and_raw_data/TS0330A/order_TS0330A.xlsx,Sheet1,4,gas+vent,815.9 | 595.05 | vent_gas | TK3
Plots_and_raw_data/TS0330B/export_TS0330B.xlsx,TimeData,0,press+pressure+time+voltage,time | I61 | Pressure Cassette | n | U74 | TC6 | TC5 | TC7 | TC8 | TC47 | TC48 | TC49 | TC50 | Heater Power | Heater Current | Heater Voltage
Plots_and_raw_data/TS0330B/export_TS0330B.xlsx,TimeData,1,gas+press+pressure+vent+voltage,Pressure | amount of gas | Voltage Z3809 | Cell case Z3809 | Heater of Z3809 | Ventgas | Ventgas | Reactor gas | Reactor gas | Reactor gas | Reactor gas | Heater Power
Plots_and_raw_data/TS0330B/order_TS0330B.xlsx,Sheet1,1,time,time abs /s | time rel /s | type | caption
Plots_and_raw_data/TS0330B/order_TS0330B.xlsx,Sheet1,3,gas+vent,796.36 | 648.85 | vent_gas | TK4
Plots_and_raw_data/TS0330B/order_TS0330B.xlsx,Sheet1,4,gas+vent,796.4 | 648.89 | vent_gas | TK3
Plots_and_raw_data/TS0330C/export_TS0330C.xlsx,TimeData,0,press+pressure+time+voltage,time | I61 | Pressure Cassette | n | U75 | TC10 | TC9 | TC11 | TC12 | TC47 | TC48 | TC49 | TC50 | Heater Power | Heater Current | Heater Voltage
Plots_and_raw_data/TS0330C/export_TS0330C.xlsx,TimeData,1,gas+press+pressure+vent+voltage,Pressure | amount of gas | Voltage Z3810 | Cell case Z3810 | Heater of Z3810 | Ventgas | Ventgas | Reactor gas | Reactor gas | Reactor gas | Reactor gas | Heater Power
Plots_and_raw_data/TS0330C/order_TS0330C.xlsx,Sheet1,1,time,time abs /s | time rel /s | type | caption
Plots_and_raw_data/TS0330C/order_TS0330C.xlsx,Sheet1,3,gas+vent,742.94 | 642.32 | vent_gas | TK3
Plots_and_raw_data/TS0330C/order_TS0330C.xlsx,Sheet1,4,gas+vent,742.95 | 642.33 | vent_gas | TK4
Plots_and_raw_data/TS0330D/export_TS0330D.xlsx,TimeData,0,press+pressure+time+voltage,time | I61 | Pressure Cassette | n | U76 | TC14 | TC13 | TC15 | TC16 | TC47 | TC48 | TC49 | TC50 | Heater Power | Heater Current | Heater Voltage
Plots_and_raw_data/TS0330D/export_TS0330D.xlsx,TimeData,1,gas+press+pressure+vent+voltage,Pressure | amount of gas | Voltage Z3811 | Cell case Z3811 | Heater of Z3811 | Ventgas | Ventgas | Reactor gas | Reactor gas | Reactor gas | Reactor gas | Heater Power
Plots_and_raw_data/TS0330D/order_TS0330D.xlsx,Sheet1,1,time,time abs /s | time rel /s | type | caption
Plots_and_raw_data/TS0330D/order_TS0330D.xlsx,Sheet1,3,gas+vent,696.01 | 593.48 | vent_gas | TK3
Plots_and_raw_data/TS0330D/order_TS0330D.xlsx,Sheet1,4,gas+vent,696.01 | 593.48 | vent_gas | TK4
Plots_and_raw_data/TS0330E/export_TS0330E.xlsx,TimeData,0,press+pressure+time+voltage,time | I61 | Pressure Cassette | n | U77 | TC18 | TC17 | TC19 | TC20 | TC47 | TC48 | TC49 | TC50 | Heater Power | Heater Current | Heater Voltage
Plots_and_raw_data/TS0330E/export_TS0330E.xlsx,TimeData,1,gas+press+pressure+vent+voltage,Pressure | amount of gas | Voltage Z3812 | Cell case Z3812 | Heater of Z3812 | Ventgas | Ventgas | Reactor gas | Reactor gas | Reactor gas | Reactor gas | Heater Power
Plots_and_raw_data/TS0330E/order_TS0330E.xlsx,Sheet1,1,time,time abs /s | time rel /s | type | caption
