experiment,source_row,time_abs_s,time_rel_s,event_type,caption
TS0330A,2,220.85,0.0,heater,TK1
TS0330A,3,815.89,595.04,vent_gas,TK4
TS0330A,4,815.9,595.05,vent_gas,TK3
TS0330A,5,816.7,595.85,cell_can,TK2
TS0330B,2,147.51,0.0,heater,TK1
TS0330B,3,796.36,648.85,vent_gas,TK4
TS0330B,4,796.4,648.89,vent_gas,TK3
TS0330B,5,798.09,650.58,cell_can,TK2
TS0330C,2,100.62,0.0,heater,TK1
TS0330C,3,742.94,642.32,vent_gas,TK3
TS0330C,4,742.95,642.33,vent_gas,TK4
TS0330C,5,743.96,643.34,cell_can,TK2
TS0330D,2,102.53,0.0,heater,TK1
TS0330D,3,696.01,593.48,vent_gas,TK3
TS0330D,4,696.01,593.48,vent_gas,TK4
TS0330D,5,696.41,593.88,cell_can,TK2
TS0330E,2,99.44,0.0,heater,TK1
TS0330E,3,680.8,581.3599999999999,vent_gas,TK3
TS0330E,4,680.89,581.45,vent_gas,TK4
TS0330E,5,681.56,582.1199999999999,cell_can,TK2
TS0330F,2,133.7,0.0,heater,TK1
TS0330F,3,685.35,551.6500000000001,vent_gas,TK3
TS0330F,4,685.36,551.6600000000001,vent_gas,TK4
TS0330F,5,686.2,552.5,cell_can,TK2
TS0330G,2,87.24,0.0,heater,TK1
TS0330G,3,673.33,586.09,vent_gas,TK3
TS0330G,4,673.35,586.11,vent_gas,TK4
TS0330G,5,673.92,586.68,cell_can,TK2
TS0330H,2,106.2,0.0,heater,TK1
TS0330H,3,636.86,530.66,vent_gas,TK3
TS0330H,4,636.9,530.6999999999999,vent_gas,TK4
TS0330H,5,637.68,531.4799999999999,cell_can,TK2
