experiment,field,unit,value,source_row,source_col
TS0330A,experiment designation,,TS0330A,3,0
TS0330A,cell_type_id,,BAK_N21700CG-50,3,5
TS0330A,soc,%,60,3,14
TS0330A,voltage_before_TR,V,3.83007458794885,3,20
TS0330A,CellVoltageDropFiftyPer_CellCaseT,°C,125.554595947266,3,21
TS0330A,FiveSecBefNinetyPerSecVentStart CellCaseT,,180.813751220703,3,22
TS0330A,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,184.581771850586,3,23
TS0330A,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,3,24
TS0330A,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,180.813751220703,3,25
TS0330A,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,3,26
TS0330A,NinetyPerSecVentStart_CellCaseT,,185.825607299805,3,27
TS0330A,max_cell_temperature,,612.984802246094,3,28
TS0330A,max_cell_temperature_sensor_name,,TK2,3,29
TS0330A,max vent gas temperature,,822.502197265625,3,30
TS0330A,max gas temperature,,41.3423194885254,3,31
TS0330A,max over pressure,bar,0.377152096166868,3,32
TS0330A,first venting n,mol,0,3,33
TS0330A,second venting n,,0.334243301606315,3,34
TS0330A,temperature of produced not condensated gas,°C,27.476108478835,3,37
TS0330A,max rate 50per pressure corrected,mol/s,1.2855783211498,3,39
TS0330A,max rate 90per pressure corrected,,0.668491136708294,3,40
TS0330A,min_time_50per_pressure,s,0.129997253417969,3,41
TS0330A,min_time_90per_pressure,,0.449996948242188,3,42
TS0330A,Max_Rate_50per_Pressure_Corrected_SATP,l/s (SATP),31.3681110360551,3,43
TS0330A,Max_Rate_90per_Pressure_Corrected_SATP,,16.3111837356824,3,44
TS0330A,post_thermal_runaway_amount_of_gas,mol,6.07397127190859,3,79
TS0330B,experiment designation,,TS0330B,4,0
TS0330B,cell_type_id,,BAK_N21700CG-50,4,5
TS0330B,soc,%,60,4,14
TS0330B,voltage_before_TR,V,3.83243513824348,4,20
TS0330B,CellVoltageDropFiftyPer_CellCaseT,°C,126.936187744141,4,21
TS0330B,FiveSecBefNinetyPerSecVentStart CellCaseT,,132.160400390625,4,22
TS0330B,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,133.246719360352,4,23
TS0330B,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,4,24
TS0330B,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,132.160400390625,4,25
TS0330B,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,4,26
TS0330B,NinetyPerSecVentStart_CellCaseT,,133.564300537109,4,27
TS0330B,max_cell_temperature,,600.793640136719,4,28
TS0330B,max_cell_temperature_sensor_name,,TK2,4,29
TS0330B,max vent gas temperature,,1208.09631347656,4,30
TS0330B,max gas temperature,,42.2075576782227,4,31
TS0330B,max over pressure,bar,0.354036334146911,4,32
TS0330B,first venting n,mol,0,4,33
TS0330B,second venting n,,0.326646177305543,4,34
TS0330B,temperature of produced not condensated gas,°C,28.3602189171367,4,37
TS0330B,max rate 50per pressure corrected,mol/s,0.296953541814924,4,39
TS0330B,max rate 90per pressure corrected,,0.239010228241343,4,40
TS0330B,min_time_50per_pressure,s,0.549995422363281,4,41
TS0330B,min_time_90per_pressure,,1.22999572753906,4,42
TS0330B,Max_Rate_50per_Pressure_Corrected_SATP,l/s (SATP),7.24566642028415,4,43
TS0330B,Max_Rate_90per_Pressure_Corrected_SATP,,5.83184956908878,4,44
TS0330B,post_thermal_runaway_amount_of_gas,mol,6.40392333413846,4,79
TS0330C,experiment designation,,TS0330C,5,0
TS0330C,cell_type_id,,BAK_N21700CG-50,5,5
TS0330C,soc,%,60,5,14
TS0330C,voltage_before_TR,V,3.82537827814432,5,20
TS0330C,CellVoltageDropFiftyPer_CellCaseT,°C,131.763885498047,5,21
TS0330C,FiveSecBefNinetyPerSecVentStart CellCaseT,,186.57112121582,5,22
TS0330C,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,190.998168945313,5,23
TS0330C,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,5,24
TS0330C,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,186.57112121582,5,25
TS0330C,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,5,26
TS0330C,NinetyPerSecVentStart_CellCaseT,,192.600692749023,5,27
