file,sheet,rows,cols,nonempty_cells,bytes_selected
Plots_and_raw_data/TS0330A/export_TS0330A.xlsx,TimeData,770,16,12292,68132
Plots_and_raw_data/TS0330A/order_TS0330A.xlsx,Sheet1,6,4,23,2715
Plots_and_raw_data/TS0330B/export_TS0330B.xlsx,TimeData,859,16,13716,75098
Plots_and_raw_data/TS0330B/order_TS0330B.xlsx,Sheet1,6,4,23,2721
Plots_and_raw_data/TS0330C/export_TS0330C.xlsx,TimeData,741,16,11828,66091
Plots_and_raw_data/TS0330C/order_TS0330C.xlsx,Sheet1,6,4,23,2715
Plots_and_raw_data/TS0330D/export_TS0330D.xlsx,TimeData,758,16,12100,67487
Plots_and_raw_data/TS0330D/order_TS0330D.xlsx,Sheet1,6,4,23,2724
Plots_and_raw_data/TS0330E/export_TS0330E.xlsx,TimeData,825,16,13172,72566
Plots_and_raw_data/TS0330E/order_TS0330E.xlsx,Sheet1,6,4,23,2720
Plots_and_raw_data/TS0330F/export_TS0330F.xlsx,TimeData,804,16,12836,71178
Plots_and_raw_data/TS0330F/order_TS0330F.xlsx,Sheet1,6,4,23,2716
Plots_and_raw_data/TS0330G/export_TS0330G.xlsx,TimeData,868,16,13860,76669
Plots_and_raw_data/TS0330G/order_TS0330G.xlsx,Sheet1,6,4,23,2720
Plots_and_raw_data/TS0330H/export_TS0330H.xlsx,TimeData,811,16,12948,73191
Plots_and_raw_data/TS0330H/order_TS0330H.xlsx,Sheet1,6,4,23,2718
report_BAK_N21700CG-50_60SOC_TS0330.xlsx,MAIN,14,113,962,29057
