window_s,horizon_s,temp_cap_c,experiment,positive,negative,total,max_retained_temperature_c,first_window_end_s,last_window_end_s
60,60,80,TS0330A,0,14,14,78.58411892675852,156.0,286.0
60,60,80,TS0330B,0,11,11,77.21733196861139,113.0,213.0
60,60,80,TS0330C,0,8,8,79.30834294502114,89.0,159.0
60,60,80,TS0330D,0,7,7,76.9018578352181,93.0,153.0
60,60,80,TS0330E,0,9,9,79.8099730458221,94.0,174.0
60,60,80,TS0330F,0,9,9,76.73949579831933,110.0,190.0
60,60,80,TS0330G,0,8,8,79.47016791711324,82.0,152.0
60,60,80,TS0330H,0,10,10,78.20803159973667,97.0,187.0
60,60,100,TS0330A,0,19,19,99.70857142857143,156.0,336.0
60,60,100,TS0330B,0,16,16,97.52116050039926,113.0,263.0
60,60,100,TS0330C,0,12,12,98.70768723193665,89.0,199.0
60,60,100,TS0330D,0,11,11,97.2688896771905,93.0,193.0
60,60,100,TS0330E,0,14,14,99.20208023774146,94.0,224.0
60,60,100,TS0330F,0,13,13,96.54005340453939,110.0,230.0
60,60,100,TS0330G,0,12,12,97.9412148922273,82.0,192.0
60,60,100,TS0330H,0,14,14,96.3024021059559,97.0,227.0
60,60,120,TS0330A,0,25,25,118.47025089605735,156.0,396.0
60,60,120,TS0330B,0,23,23,117.81861958266452,113.0,333.0
60,60,120,TS0330C,0,18,18,119.64703442554956,89.0,259.0
60,60,120,TS0330D,0,17,17,119.7448046550291,93.0,253.0
60,60,120,TS0330E,0,21,21,117.95969891798651,94.0,294.0
60,60,120,TS0330F,0,19,19,119.15300316122234,110.0,290.0
60,60,120,TS0330G,0,17,17,117.39059808023627,82.0,242.0
60,60,120,TS0330H,0,20,20,119.09358288770053,97.0,287.0
60,60,150,TS0330A,0,47,47,149.47841538622347,156.0,616.0
60,60,150,TS0330B,2,47,49,149.82470038594352,113.0,793.0
60,60,150,TS0330C,0,39,39,149.31518791166215,89.0,469.0
60,60,150,TS0330D,0,38,38,149.98111608764071,93.0,463.0
60,60,150,TS0330E,0,45,45,149.96314067611777,94.0,534.0
60,60,150,TS0330F,0,39,39,149.20642689934027,110.0,490.0
