window_s,horizon_s,temp_cap_c,experiments_with_both_classes,experiments_with_positive,experiments_with_negative,min_positive,min_negative,total_windows,total_positive,total_negative
256,300,150,8,8,8,3,5,172,76,96
120,300,150,8,8,8,3,18,283,78,205
60,300,150,8,8,8,3,24,333,80,253
60,180,150,3,3,8,0,36,333,9,324
256,180,150,2,2,8,0,17,172,5,167
120,180,150,2,2,8,0,30,283,7,276
60,60,150,1,1,8,0,37,333,2,331
60,120,150,1,1,8,0,37,333,2,331
256,60,80,0,0,0,0,0,0,0,0
256,60,100,0,0,0,0,0,0,0,0
256,60,120,0,0,3,0,0,11,0,11
256,60,150,0,0,8,0,17,172,0,172
256,120,80,0,0,0,0,0,0,0,0
256,120,100,0,0,0,0,0,0,0,0
256,120,120,0,0,3,0,0,11,0,11
256,120,150,0,0,8,0,17,172,0,172
256,180,80,0,0,0,0,0,0,0,0
256,180,100,0,0,0,0,0,0,0,0
256,180,120,0,0,3,0,0,11,0,11
256,300,80,0,0,0,0,0,0,0,0
256,300,100,0,0,0,0,0,0,0,0
256,300,120,0,0,3,0,0,11,0,11
120,60,80,0,0,8,0,1,28,0,28
120,60,100,0,0,8,0,5,63,0,63
120,60,120,0,0,8,0,11,112,0,112
120,60,150,0,0,8,0,31,283,0,283
120,120,80,0,0,8,0,1,28,0,28
120,120,100,0,0,8,0,5,63,0,63
120,120,120,0,0,8,0,11,112,0,112
120,120,150,0,0,8,0,31,283,0,283
120,180,80,0,0,8,0,1,28,0,28
120,180,100,0,0,8,0,5,63,0,63
120,180,120,0,0,8,0,11,112,0,112
120,300,80,0,0,8,0,1,28,0,28
120,300,100,0,0,8,0,5,63,0,63
120,300,120,0,0,8,0,11,112,0,112
60,60,80,0,0,8,0,7,76,0,76
60,60,100,0,0,8,0,11,111,0,111
60,60,120,0,0,8,0,17,160,0,160
60,120,80,0,0,8,0,7,76,0,76
60,120,100,0,0,8,0,11,111,0,111
60,120,120,0,0,8,0,17,160,0,160
60,180,80,0,0,8,0,7,76,0,76
60,180,100,0,0,8,0,11,111,0,111
60,180,120,0,0,8,0,17,160,0,160
60,300,80,0,0,8,0,7,76,0,76
60,300,100,0,0,8,0,11,111,0,111
60,300,120,0,0,8,0,17,160,0,160
