window_s,temp_cap_c,max_tau_s,experiments_supported,min_windows_per_experiment,median_windows_per_experiment,total_windows,worst_experiment_tau_span_s
60,150,900,8,37,39.0,333,360.0
60,150,1200,8,37,39.0,333,360.0
60,150,600,8,33,39.0,311,320.0
120,150,600,8,31,33.0,280,300.0
120,150,900,8,31,33.0,283,300.0
120,150,1200,8,31,33.0,283,300.0
256,150,600,8,17,19.0,172,160.0
256,150,900,8,17,19.0,172,160.0
256,150,1200,8,17,19.0,172,160.0
60,120,900,8,17,19.5,160,160.0
60,120,1200,8,17,19.5,160,160.0
60,120,600,8,12,18.0,138,110.0
120,120,600,8,11,13.5,109,100.0
120,120,900,8,11,13.5,112,100.0
120,120,1200,8,11,13.5,112,100.0
60,100,900,8,11,13.5,111,100.0
60,100,1200,8,11,13.5,111,100.0
60,100,600,8,6,12.5,89,50.0
120,100,600,8,5,7.0,60,40.0
120,100,900,8,5,7.5,63,40.0
120,100,1200,8,5,7.5,63,40.0
256,150,300,8,3,9.5,76,20.0
120,150,300,8,3,9.5,78,20.0
60,150,300,8,3,10.5,80,20.0
