window_s,temp_cap_c,max_tau_s,experiment,n_windows,tau_min_s,tau_q25_s,tau_median_s,tau_q75_s,tau_max_s
60,100,300,TS0330A,0,,,,,
60,100,300,TS0330B,0,,,,,
60,100,300,TS0330C,0,,,,,
60,100,300,TS0330D,0,,,,,
60,100,300,TS0330E,0,,,,,
60,100,300,TS0330F,0,,,,,
60,100,300,TS0330G,0,,,,,
60,100,300,TS0330H,0,,,,,
60,100,600,TS0330A,13,479.89,509.89,539.89,569.89,599.89
60,100,600,TS0330B,7,533.36,548.36,563.36,578.36,593.36
60,100,600,TS0330C,6,543.94,556.44,568.94,581.44,593.94
60,100,600,TS0330D,10,503.01,525.51,548.01,570.51,593.01
60,100,600,TS0330E,14,456.79999999999995,489.29999999999995,521.8,554.3,586.8
60,100,600,TS0330F,13,455.35,485.35,515.35,545.35,575.35
60,100,600,TS0330G,12,481.33000000000004,508.83000000000004,536.33,563.83,591.33
60,100,600,TS0330H,14,409.86,442.36,474.86,507.36,539.86
60,100,900,TS0330A,19,479.89,524.89,569.89,614.89,659.89
60,100,900,TS0330B,16,533.36,570.86,608.36,645.86,683.36
60,100,900,TS0330C,12,543.94,571.44,598.94,626.44,653.94
60,100,900,TS0330D,11,503.01,528.01,553.01,578.01,603.01
60,100,900,TS0330E,14,456.79999999999995,489.29999999999995,521.8,554.3,586.8
60,100,900,TS0330F,13,455.35,485.35,515.35,545.35,575.35
60,100,900,TS0330G,12,481.33000000000004,508.83000000000004,536.33,563.83,591.33
60,100,900,TS0330H,14,409.86,442.36,474.86,507.36,539.86
60,100,1200,TS0330A,19,479.89,524.89,569.89,614.89,659.89
60,100,1200,TS0330B,16,533.36,570.86,608.36,645.86,683.36
60,100,1200,TS0330C,12,543.94,571.44,598.94,626.44,653.94
60,100,1200,TS0330D,11,503.01,528.01,553.01,578.01,603.01
60,100,1200,TS0330E,14,456.79999999999995,489.29999999999995,521.8,554.3,586.8
60,100,1200,TS0330F,13,455.35,485.35,515.35,545.35,575.35
60,100,1200,TS0330G,12,481.33000000000004,508.83000000000004,536.33,563.83,591.33
60,100,1200,TS0330H,14,409.86,442.36,474.86,507.36,539.86
60,120,300,TS0330A,0,,,,,
60,120,300,TS0330B,0,,,,,
60,120,300,TS0330C,0,,,,,
60,120,300,TS0330D,0,,,,,
60,120,300,TS0330E,0,,,,,
60,120,300,TS0330F,0,,,,,
60,120,300,TS0330G,0,,,,,
60,120,300,TS0330H,0,,,,,
60,120,600,TS0330A,19,419.89,464.89,509.89,554.89,599.89
60,120,600,TS0330B,14,463.36,495.86,528.36,560.86,593.36
60,120,600,TS0330C,12,483.94000000000005,511.44000000000005,538.94,566.44,593.94
60,120,600,TS0330D,16,443.01,480.51,518.01,555.51,593.01
60,120,600,TS0330E,21,386.79999999999995,436.79999999999995,486.79999999999995,536.8,586.8
60,120,600,TS0330F,19,395.35,440.35,485.35,530.35,575.35
60,120,600,TS0330G,17,431.33000000000004,471.33000000000004,511.33000000000004,551.33,591.33
60,120,600,TS0330H,20,349.86,397.36,444.86,492.36,539.86
60,120,900,TS0330A,25,419.89,479.89,539.89,599.89,659.89
60,120,900,TS0330B,23,463.36,518.36,573.36,628.36,683.36
60,120,900,TS0330C,18,483.94000000000005,526.44,568.94,611.44,653.94
60,120,900,TS0330D,17,443.01,483.01,523.01,563.01,603.01
60,120,900,TS0330E,21,386.79999999999995,436.79999999999995,486.79999999999995,536.8,586.8
60,120,900,TS0330F,19,395.35,440.35,485.35,530.35,575.35
60,120,900,TS0330G,17,431.33000000000004,471.33000000000004,511.33000000000004,551.33,591.33
60,120,900,TS0330H,20,349.86,397.36,444.86,492.36,539.86
60,120,1200,TS0330A,25,419.89,479.89,539.89,599.89,659.89
60,120,1200,TS0330B,23,463.36,518.36,573.36,628.36,683.36
60,120,1200,TS0330C,18,483.94000000000005,526.44,568.94,611.44,653.94
60,120,1200,TS0330D,17,443.01,483.01,523.01,563.01,603.01
60,120,1200,TS0330E,21,386.79999999999995,436.79999999999995,486.79999999999995,536.8,586.8
60,120,1200,TS0330F,19,395.35,440.35,485.35,530.35,575.35
60,120,1200,TS0330G,17,431.33000000000004,471.33000000000004,511.33000000000004,551.33,591.33
60,120,1200,TS0330H,20,349.86,397.36,444.86,492.36,539.86
60,150,300,TS0330A,11,199.89,224.89,249.89,274.89,299.89
60,150,300,TS0330B,10,3.3600000000000136,225.86,248.36,270.86,293.36
60,150,300,TS0330C,3,273.94000000000005,278.94000000000005,283.94000000000005,288.94000000000005,293.94000000000005
60,150,300,TS0330D,7,233.01,248.01,263.01,278.01,293.01
60,150,300,TS0330E,16,146.79999999999995,184.29999999999995,221.79999999999995,259.29999999999995,296.79999999999995
60,150,300,TS0330F,11,195.35000000000002,220.35000000000002,245.35000000000002,270.35,295.35
60,150,300,TS0330G,7,231.33000000000004,246.33000000000004,261.33000000000004,276.33000000000004,291.33000000000004
60,150,300,TS0330H,15,159.86,194.86,229.86,264.86,299.86
60,150,600,TS0330A,41,199.89,299.89,399.89,499.89,599.89
60,150,600,TS0330B,40,3.3600000000000136,300.86,398.36,495.86,593.36
60,150,600,TS0330C,33,273.94000000000005,353.94000000000005,433.94000000000005,513.94,593.94
60,150,600,TS0330D,37,233.01,323.01,413.01,503.01,593.01
60,150,600,TS0330E,45,146.79999999999995,256.79999999999995,366.79999999999995,476.79999999999995,586.8
60,150,600,TS0330F,39,195.35000000000002,290.35,385.35,480.35,575.35
60,150,600,TS0330G,37,231.33000000000004,321.33000000000004,411.33000000000004,501.33000000000004,591.33
60,150,600,TS0330H,39,159.86,254.86,349.86,444.86,539.86
60,150,900,TS0330A,47,199.89,314.89,429.89,544.89,659.89
60,150,900,TS0330B,49,3.3600000000000136,323.36,443.36,563.36,683.36
60,150,900,TS0330C,39,273.94000000000005,368.94000000000005,463.94000000000005,558.94,653.94
60,150,900,TS0330D,38,233.01,325.51,418.01,510.51,603.01
60,150,900,TS0330E,45,146.79999999999995,256.79999999999995,366.79999999999995,476.79999999999995,586.8
60,150,900,TS0330F,39,195.35000000000002,290.35,385.35,480.35,575.35
60,150,900,TS0330G,37,231.33000000000004,321.33000000000004,411.33000000000004,501.33000000000004,591.33
