source_pair,external,method,representation,n_source_real_windows,n_aug,n_external_windows,external_positive,auroc,auprc,f1,balanced_accuracy
TS0330A+TS0330B,NMC111,real_only,temperature,82,0,989,5,0.9904471544715449,0.2301731601731601,0.0100603621730382,0.5
TS0330A+TS0330B,NMC811,real_only,temperature,82,0,99,5,0.9808510638297872,0.8714285714285714,0.4347826086956521,0.9308510638297872
TS0330A+TS0330B,NMC111,real_only,pressure_absolute,82,0,989,5,0.5656504065040651,0.0068182775089884,0.0,0.5
TS0330A+TS0330B,NMC811,real_only,pressure_absolute,82,0,99,5,0.8851063829787233,0.2242663084042394,0.0,0.5
TS0330A+TS0330B,NMC111,real_only,pressure_shape,82,0,989,5,0.6404471544715448,0.0080604162916513,0.0157480314960629,0.6824186991869918
TS0330A+TS0330B,NMC811,real_only,pressure_shape,82,0,99,5,0.4957446808510638,0.0562687312687312,0.1265822784810126,0.6329787234042553
TS0330A+TS0330B,NMC111,real_only,fusion_absolute,82,0,989,5,0.5459349593495935,0.0064890650454034,0.0,0.5
TS0330A+TS0330B,NMC811,real_only,fusion_absolute,82,0,99,5,0.9893617021276596,0.7142857142857143,0.7692307692307693,0.9840425531914894
TS0330A+TS0330B,NMC111,real_only,fusion_shape,82,0,989,5,0.9426829268292684,0.0708002252086852,0.0109890109890109,0.5426829268292683
TS0330A+TS0330B,NMC811,real_only,fusion_shape,82,0,99,5,0.953191489361702,0.4222222222222221,0.4545454545454545,0.9361702127659576
TS0330A+TS0330B,NMC111,classical_anchor_matched,temperature,82,61,989,5,0.9997967479674796,0.9666666666666666,0.0100603621730382,0.5
TS0330A+TS0330B,NMC811,classical_anchor_matched,temperature,82,61,99,5,0.9936170212765958,0.8766666666666667,0.1818181818181818,0.7606382978723405
TS0330A+TS0330B,NMC111,classical_anchor_matched,pressure_absolute,82,61,989,5,0.6981707317073171,0.008347245409015,0.0100603621730382,0.5
TS0330A+TS0330B,NMC811,classical_anchor_matched,pressure_absolute,82,61,99,5,0.5053191489361701,0.0510204081632653,0.0970873786407767,0.5053191489361702
TS0330A+TS0330B,NMC111,classical_anchor_matched,pressure_shape,82,61,989,5,0.0916666666666666,0.0033036257798584,0.0100704934541792,0.5005081300813008
TS0330A+TS0330B,NMC811,classical_anchor_matched,pressure_shape,82,61,99,5,0.1936170212765957,0.0370457452387347,0.0681818181818181,0.3744680851063829
TS0330A+TS0330B,NMC111,classical_anchor_matched,fusion_absolute,82,61,989,5,0.5,0.0050556117290192,0.0100603621730382,0.5
TS0330A+TS0330B,NMC811,classical_anchor_matched,fusion_absolute,82,61,99,5,0.5,0.0505050505050505,0.0961538461538461,0.5
TS0330A+TS0330B,NMC111,classical_anchor_matched,fusion_shape,82,61,989,5,0.990650406504065,0.4096052631578947,0.0100603621730382,0.5
TS0330A+TS0330B,NMC811,classical_anchor_matched,fusion_shape,82,61,99,5,0.946808510638298,0.3543650793650794,0.2,0.7872340425531915
TS0330A+TS0330B,NMC111,racdiff,temperature,82,61,989,5,0.9997967479674796,0.9666666666666666,0.0100603621730382,0.5
TS0330A+TS0330B,NMC811,racdiff,temperature,82,61,99,5,0.997872340425532,0.9666666666666666,0.2,0.7872340425531915
TS0330A+TS0330B,NMC111,racdiff,pressure_absolute,82,61,989,5,0.0050813008130081,0.0030492273322602,0.0,0.1133130081300813
TS0330A+TS0330B,NMC811,racdiff,pressure_absolute,82,61,99,5,0.7127659574468085,0.0847457627118644,0.0961538461538461,0.5
TS0330A+TS0330B,NMC111,racdiff,pressure_shape,82,61,989,5,0.1516260162601626,0.0034971332154504,0.0100704934541792,0.5005081300813008
TS0330A+TS0330B,NMC811,racdiff,pressure_shape,82,61,99,5,0.3234042553191489,0.0424850717242021,0.1123595505617977,0.5797872340425532
TS0330A+TS0330B,NMC111,racdiff,fusion_absolute,82,61,989,5,0.5,0.0050556117290192,0.0100603621730382,0.5
TS0330A+TS0330B,NMC811,racdiff,fusion_absolute,82,61,99,5,0.5,0.0505050505050505,0.0961538461538461,0.5
TS0330A+TS0330B,NMC111,racdiff,fusion_shape,82,61,989,5,0.9995934959349592,0.9428571428571428,0.0100603621730382,0.5
TS0330A+TS0330B,NMC811,racdiff,fusion_shape,82,61,99,5,0.9893617021276596,0.71,0.1694915254237288,0.7393617021276596
TS0330B+TS0330C,NMC111,real_only,temperature,74,0,989,5,0.13130081300813,0.003478274503719,0.0100603621730382,0.5
TS0330B+TS0330C,NMC811,real_only,temperature,74,0,99,5,0.1,0.0336756478854573,0.0,0.0691489361702127
TS0330B+TS0330C,NMC111,real_only,pressure_absolute,74,0,989,5,0.0735772357723577,0.0032242858323152,0.0,0.5
TS0330B+TS0330C,NMC811,real_only,pressure_absolute,74,0,99,5,0.1170212765957446,0.0505050505050505,0.0,0.4946808510638298
TS0330B+TS0330C,NMC111,real_only,pressure_shape,74,0,989,5,0.399390243902439,0.005003531101971,0.0141043723554301,0.6448170731707317
TS0330B+TS0330C,NMC811,real_only,pressure_shape,74,0,99,5,0.2021276595744681,0.0376417294571703,0.0,0.2872340425531915
TS0330B+TS0330C,NMC111,real_only,fusion_absolute,74,0,989,5,0.0060975609756097,0.0030496806369411,0.0,0.5
TS0330B+TS0330C,NMC811,real_only,fusion_absolute,74,0,99,5,0.0446808510638297,0.0319321276083117,0.0,0.4946808510638298
TS0330B+TS0330C,NMC111,real_only,fusion_shape,74,0,989,5,0.2317073170731707,0.0038637033534591,0.0100603621730382,0.5
TS0330B+TS0330C,NMC811,real_only,fusion_shape,74,0,99,5,0.1468085106382978,0.0352496841071945,0.0,0.3723404255319149
TS0330B+TS0330C,NMC111,classical_anchor_matched,temperature,74,74,989,5,0.1158536585365853,0.0033864437741261,0.0100603621730382,0.5
TS0330B+TS0330C,NMC811,classical_anchor_matched,temperature,74,74,99,5,0.0170212765957446,0.0309330960059585,0.0961538461538461,0.5
TS0330B+TS0330C,NMC111,classical_anchor_matched,pressure_absolute,74,74,989,5,0.0065040650406504,0.0030494912366816,0.0,0.2738821138211382
TS0330B+TS0330C,NMC811,classical_anchor_matched,pressure_absolute,74,74,99,5,0.0042553191489361,0.0307880283076993,0.0,0.2712765957446808
TS0330B+TS0330C,NMC111,classical_anchor_matched,pressure_shape,74,74,989,5,0.0152439024390243,0.0030721520764967,0.0100603621730382,0.5
TS0330B+TS0330C,NMC811,classical_anchor_matched,pressure_shape,74,74,99,5,0.1,0.0335248236628155,0.0,0.25
TS0330B+TS0330C,NMC111,classical_anchor_matched,fusion_absolute,74,74,989,5,0.0065040650406503,0.0030484827244408,0.0,0.3023373983739837
TS0330B+TS0330C,NMC811,classical_anchor_matched,fusion_absolute,74,74,99,5,0.0042553191489361,0.0307880283076993,0.0,0.3563829787234042
