external,representation,method,delta_auroc_mean_over_source_pairs,delta_auprc_mean_over_source_pairs
NMC111,fusion_absolute,racdiff,0.10895579268292682,0.0049370212925605745
NMC111,fusion_absolute,classical_anchor_matched,0.12146849593495934,0.0013666768784273125
NMC111,fusion_shape,racdiff,0.07263719512195121,0.18902688322174954
NMC111,fusion_shape,classical_anchor_matched,-0.00566565040650413,0.15395781497032995
NMC111,pressure_absolute,racdiff,-0.19341971544715453,0.11224105733030415
NMC111,pressure_absolute,classical_anchor_matched,-0.09521087398373984,-0.008110856898585712
NMC111,pressure_shape,racdiff,-0.07228150406504064,0.06367357714124926
NMC111,pressure_shape,classical_anchor_matched,-0.13597560975609757,0.041780819912870706
NMC111,temperature,racdiff,0.002693089430894413,0.29095301227215264
NMC111,temperature,classical_anchor_matched,-0.007037601626016188,0.11326715935231901
NMC811,fusion_absolute,racdiff,0.053723404255319185,-0.060380275402183076
NMC811,fusion_absolute,classical_anchor_matched,-0.007579787234042623,-0.07781441466388597
NMC811,fusion_shape,racdiff,0.013297872340425565,-0.04914168285425702
NMC811,fusion_shape,classical_anchor_matched,-0.01196808510638303,-0.052511437451377985
NMC811,pressure_absolute,racdiff,-0.3570478723404255,-0.2131012687902541
NMC811,pressure_absolute,classical_anchor_matched,-0.21343085106382975,-0.16851348016114087
NMC811,pressure_shape,racdiff,0.07420212765957446,-0.08011735084234745
NMC811,pressure_shape,classical_anchor_matched,0.0026595744680850686,-0.05047929866074374
NMC811,temperature,racdiff,0.01569148936170217,0.13463588890137923
NMC811,temperature,classical_anchor_matched,-0.10505319148936165,-0.0533340242096636
