heldout,representation,n_train,n_test,test_positive,auroc,auprc,f1,balanced_accuracy
A2,temperature,297,88,22,0.8767217630853994,0.7892433429988821,0.7058823529411765,0.7727272727272727
A2,force_absolute,297,88,22,0.9683195592286501,0.8807626000885831,0.08695652173913043,0.5227272727272727
A2,force_shape,297,88,22,0.6446280991735537,0.30606509245287483,0.24390243902439024,0.5075757575757576
A2,fusion_absolute,297,88,22,1.0,1.0,0.5806451612903226,0.7045454545454546
A2,fusion_shape,297,88,22,0.9855371900826446,0.9619143589000049,0.7777777777777778,0.8181818181818181
D1,temperature,312,73,18,1.0,1.0,0.7058823529411765,0.8636363636363636
D1,force_absolute,312,73,18,0.8484848484848485,0.7570058965844026,0.5151515151515151,0.6904040404040404
D1,force_shape,312,73,18,0.7343434343434343,0.3765065674185901,0.5294117647058824,0.7090909090909091
D1,fusion_absolute,312,73,18,1.0,1.0,0.6923076923076923,0.8545454545454545
D1,fusion_shape,312,73,18,1.0,1.0,0.7058823529411765,0.8636363636363636
M1,temperature,245,140,41,1.0,1.0,0.9487179487179487,0.9512195121951219
M1,force_absolute,245,140,41,0.0,0.1668359285462916,0.4530386740331492,0.5
M1,force_shape,245,140,41,0.7900960827790096,0.45352183378667255,0.6666666666666666,0.7761763981276177
M1,fusion_absolute,245,140,41,1.0,1.0,0.8541666666666666,0.9292929292929293
M1,fusion_shape,245,140,41,1.0,1.0,0.9620253164556962,0.9634146341463414
M2,temperature,301,84,42,1.0,1.0,0.9629629629629629,0.9642857142857143
M2,force_absolute,301,84,42,0.21088435374149658,0.3989290209190334,0.0,0.5
M2,force_shape,301,84,42,0.6473922902494331,0.5409921374135341,0.14814814814814814,0.4523809523809524
M2,fusion_absolute,301,84,42,0.9977324263038548,0.9978103292056781,0.7076923076923077,0.7738095238095238
M2,fusion_shape,301,84,42,0.9943310657596373,0.994399551056224,0.8333333333333334,0.8571428571428572
