experiment_id,channel,peak_temp_c,peak_time_s_reconstructed,max_dTdt_c_per_s,max_dTdt_time_s_reconstructed
M1,degC,698.7,2608.0,620.000000000564,2605.6
M1,degC.1,697.5,2610.0,840.0000000007637,2607.0
M1,degC.2,940.1,2614.0,574.9999999992156,2607.8
M1,degC.3,957.7,2614.4,721.4999999990158,2608.8
M1,degC.4,931.8,2617.0,541.0000000004922,2610.6
M1,degC.5,925.5,2626.8,525.5000000004778,2615.6
M1,degC.6,945.4,2631.0,357.4999999995123,2616.8
M1,degC.7,920.2,2629.2,484.99999999933823,2618.8
M1,degC.8,910.1,2644.6,214.0000000001947,2629.2
M1,degC.9,941.7,2644.0,304.00000000027654,2628.2
M1,degC.10,904.7,2648.2,421.5000000003834,2628.6
M1,degC.11,600.4,2713.4,323.4999999995586,2640.4
M1,degC.12,713.1,2697.6,358.500000000326,2640.0
M1,degC.13,616.8,2648.0,513.9999999992989,2641.4
M1,degC.14,632.4,2611.0,829.5000000007544,2608.2
M2,degC,670.2,2641.0,340.0000000003092,2584.0
M2,degC.1,705.9,2673.8,170.99999999976666,2580.8
M2,degC.2,873.9,2592.0,655.5000000005963,2582.6
M2,degC.3,895.3,2590.8,362.9999999995046,2579.8
M2,degC.4,920.2,2587.0,541.4999999992614,2579.8
M2,degC.5,921.5,2599.8,393.50000000035783,2588.0
M2,degC.6,940.9,2596.6,467.4999999993622,2586.8
M2,degC.7,945.0,2596.6,578.99999999921,2587.4
M2,degC.8,857.3,2623.0,128.00000000011653,2595.2
M2,degC.9,936.6,2611.6,211.99999999971067,2600.4
M2,degC.10,914.3,2609.8,255.5000000002325,2598.2
M2,degC.11,650.3,2653.0,227.00000000020634,2611.2
M2,degC.12,716.5,2639.4,474.00000000043116,2609.6
M2,degC.13,639.5,2648.6,411.00000000037375,2610.6
M2,degC.14,701.9,2611.6,356.5000000003243,2580.2
