experiment_id,signal,path,level,form_factor,aging,rows,columns,missing_cells,time_column,error,t_start,t_end,duration_s,median_dt_s,sampling_hz,dt_cv,numeric_ranges
C1,pressure,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC 2170/Aged/C1_Pressure.xlsx,cell,2170,aged,5372,"[""1.0"", ""-0.0932""]",0,1.0,KeyError('1.0'),,,,,,,
C1,temperature,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC 2170/Aged/C1_Temperature.xlsx,cell,2170,aged,2636,"[""1.0"", ""29.02""]",0,1.0,KeyError('1.0'),,,,,,,
C2,pressure,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC 2170/Aged/C2_Pressure.xlsx,cell,2170,aged,2598,"[""1.0"", ""-0.0368""]",0,1.0,KeyError('1.0'),,,,,,,
C2,temperature,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC 2170/Aged/C2_Temperature.xlsx,cell,2170,aged,5372,"[""1.0"", ""28.21333""]",0,1.0,KeyError('1.0'),,,,,,,
B1,temperature,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC 2170/Fresh/B1_Temperature.xlsx,cell,2170,fresh,2967,"[""1.0"", ""39.58""]",0,1.0,KeyError('1.0'),,,,,,,
B2,pressure,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC 2170/Fresh/B2_Pressure.xlsx,cell,2170,fresh,13131,"[""0.0"", ""-0.0319""]",0,0.0,KeyError('0.0'),,,,,,,
B2,temperature,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC 2170/Fresh/B2_Temperature.xlsx,cell,2170,fresh,6644,"[""1.0"", ""39.075""]",0,1.0,KeyError('1.0'),,,,,,,
D1,pressure,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC pouch/Aged/D1_Pressure.xlsx,cell,pouch,aged,9243,"[""1.0"", ""310.0632""]",1,1.0,KeyError('1.0'),,,,,,,
D1,temperature,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC pouch/Aged/D1_Temperature.xlsx,cell,pouch,aged,9243,"[""1.0"", ""32.06""]",1,1.0,KeyError('1.0'),,,,,,,
A1,temperature,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC pouch/Fresh/A1_Temperature.xlsx,cell,pouch,fresh,9243,"[""1.0"", ""29.62667""]",185,1.0,KeyError('1.0'),,,,,,,
A2,force,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC pouch/Fresh/A2_Force.xlsx,cell,pouch,fresh,9243,"[""1.0"", ""273.92259""]",94,1.0,KeyError('1.0'),,,,,,,
A2,temperature,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Cell/NMC pouch/Fresh/A2_Temperature.xlsx,cell,pouch,fresh,9243,"[""1.0"", ""30.5""]",0,1.0,KeyError('1.0'),,,,,,,
M2,force,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Module/NMC pouch/Aged/M2_Force.csv,module,pouch,aged,3875,"[""1"", ""450.569832""]",0,1,,2.0,3876.0,3874.0,1.0,1.0,0.0,"{""450.569832"": {""min"": -119.329901, ""max"": 741.840504, ""mean"": 244.21772650864517, ""std"": 258.67856917980083}}"
M2,temperature,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Module/NMC pouch/Aged/M2_Temperature.csv,module,pouch,aged,23589,"[""ms"", ""degC"", ""degC.1"", ""degC.2"", ""degC.3"", ""degC.4"", ""degC.5"", ""degC.6"", ""degC.7"", ""degC.8"", ""degC.9"", ""degC.10"", ""degC.11"", ""degC.12"", ""degC.13"", ""degC.14""]",0,,,,,,,,,"{""ms"": {""min"": 0.0, ""max"": 800.0, ""mean"": 399.983042943745, ""std"": 282.83671667802827}, ""degC"": {""min"": 32.3, ""max"": 670.2, ""mean"": 227.77453050150496, ""std"": 156.4561954791705}, ""degC.1"": {""min"": 32.4, ""max"": 705.9, ""mean"": 252.36079528593837, ""std"": 175.84656557567655}, ""degC.2"": {""min"": 32.5, ""max"": 873.9, ""mean"": 236.58621815252874, ""std"": 202.12359278504354}, ""degC.3"": {""min"": 32.6, ""max"": 895.3, ""mean"": 248.23120522277335, ""std"": 214.8690536957801}, ""degC.4"": {""min"": 32.5, ""max"": 920.2, ""mean"": 238.255915893001, ""std"": 206.9213652996714}, ""degC.5"": {""min"": 32.0, ""max"": 921.5, ""mean"": 233.26951121285342, ""std"": 226.5394771873996}, ""degC.6"": {""min"": 32.1, ""max"": 940.9, ""mean"": 238.7778668023231, ""std"": 234.85032094210328}, ""degC.7"": {""min"": 32.0, ""max"": 945.0, ""mean"": 233.32007291534185, ""std"": 229.13796746432948}, ""degC.8"": {""min"": 32.5, ""max"": 857.3, ""mean"": 213.4954470303955, ""std"": 218.09152709385907}, ""degC.9"": {""min"": 32.4, ""max"": 936.6, ""mean"": 221.99570986476752, ""std"": 230.095583244681}, ""degC.10"": {""min"": 32.6, ""max"": 914.3, ""mean"": 218.53760651150958, ""std"": 225.91399947767954}, ""degC.11"": {""min"": 32.4, ""max"": 650.3, ""mean"": 169.77352579592184, ""std"": 174.65523411097521}, ""degC.12"": {""min"": -2.2, ""max"": 716.5, ""mean"": 189.53200644368138, ""std"": 198.85910312169082}, ""degC.13"": {""min"": 32.5, ""max"": 639.5, ""mean"": 167.12615625927342, ""std"": 170.61653648088665}, ""degC.14"": {""min"": 32.0, ""max"": 701.9, ""mean"": 233.03104837000294, ""std"": 162.8668474279063}}"
M1,force,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Module/NMC pouch/Fresh/M1_Force.csv,module,pouch,fresh,4965,"[""1"", ""476.528924""]",0,1,,2.0,4966.0,4964.0,1.0,1.0,0.0,"{""476.528924"": {""min"": -23.653121, ""max"": 977.647366, ""mean"": 274.0279447824773, ""std"": 232.85104257924618}}"
M1,temperature,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Module/NMC pouch/Fresh/M1_Temperature.csv,module,pouch,fresh,22069,"[""ms"", ""degC"", ""degC.1"", ""degC.2"", ""degC.3"", ""degC.4"", ""degC.5"", ""degC.6"", ""degC.7"", ""degC.8"", ""degC.9"", ""degC.10"", ""degC.11"", ""degC.12"", ""degC.13"", ""degC.14""]",0,,,,,,,,,"{""ms"": {""min"": 0.0, ""max"": 800.0, ""mean"": 399.98187502832025, ""std"": 282.83630367608305}, ""degC"": {""min"": 33.0, ""max"": 698.7, ""mean"": 157.0503511713263, ""std"": 102.47083601636476}, ""degC.1"": {""min"": 33.0, ""max"": 697.5, ""mean"": 152.68434455571162, ""std"": 99.48247320969878}, ""degC.2"": {""min"": 20.5, ""max"": 940.1, ""mean"": 173.16834473696133, ""std"": 161.06020097949312}, ""degC.3"": {""min"": 33.2, ""max"": 957.7, ""mean"": 177.41219810594046, ""std"": 169.01217483640687}, ""degC.4"": {""min"": 33.2, ""max"": 931.8, ""mean"": 172.65749241016815, ""std"": 163.4819605152577}, ""degC.5"": {""min"": 33.0, ""max"": 925.5, ""mean"": 185.97610222484025, ""std"": 199.69674621278352}, ""degC.6"": {""min"": 31.4, ""max"": 945.4, ""mean"": 191.37780597217815, ""std"": 207.70753092003093}, ""degC.7"": {""min"": 5.7, ""max"": 920.2, ""mean"": 190.3291676106756, ""std"": 206.1605258451039}, ""degC.8"": {""min"": 33.6, ""max"": 910.1, ""mean"": 182.74802664370839, ""std"": 203.80555454850136}, ""degC.9"": {""min"": 33.1, ""max"": 941.7, ""mean"": 189.67408582174093, ""std"": 214.70274282377378}, ""degC.10"": {""min"": 31.8, ""max"": 904.7, ""mean"": 185.91797997190628, ""std"": 210.23592998794908}, ""degC.11"": {""min"": 32.7, ""max"": 600.4, ""mean"": 149.95785490960168, ""std"": 161.30353567083586}, ""degC.12"": {""min"": 31.2, ""max"": 713.1, ""mean"": 169.5049299922969, ""std"": 191.80729845360563}, ""degC.13"": {""min"": 33.0, ""max"": 616.8, ""mean"": 149.15664959898504, ""std"": 163.6577602145375}, ""degC.14"": {""min"": 32.9, ""max"": 632.4, ""mean"": 144.744990710952, ""std"": 92.08965136077217}}"
