heldout,validation,representation,mae_s,rmse_s,r2,bias_s
TS0330A,TS0330B,temperature,25.53700835430102,38.246872647651124,0.895512623762454,-15.445331449349274
TS0330A,TS0330B,fusion_absolute,41.318729907909564,47.86402240054921,0.8363596685456945,25.56310650436102
TS0330A,TS0330B,temp_relP,26.51347630733661,40.60259986237157,0.8822449203154389,-24.84790816163482
TS0330A,TS0330B,temp_relP_dP,28.58956030505101,40.94563502215995,0.8802467837594334,-22.67927325927381
TS0330A,TS0330B,temp_relP_dP_shape,31.448418459058935,42.98762293223704,0.8680045910454148,-25.160057851340053
TS0330A,TS0330B,temp_absP_relP_dP,35.14693913049254,43.482831071305206,0.8649459572874525,15.225783757776798
TS0330B,TS0330C,temperature,59.742716981876896,61.92351866098989,0.6811208180159698,-59.742716981876896
TS0330B,TS0330C,fusion_absolute,56.565406339537525,58.97470036835562,0.7107679597889959,-56.565406339537525
TS0330B,TS0330C,temp_relP,63.99041337860749,66.57762992024145,0.6313862115761639,-63.99041337860749
TS0330B,TS0330C,temp_relP_dP,63.311443930951555,65.95646535301455,0.6382324056662446,-63.311443930951555
TS0330B,TS0330C,temp_relP_dP_shape,64.08316848364804,66.94213624629403,0.6273389101690319,-64.08316848364804
TS0330B,TS0330C,temp_absP_relP_dP,57.56012938531809,60.25848295768452,0.6980386887017418,-57.56012938531809
TS0330C,TS0330D,temperature,76.34915367500803,77.80803392551485,0.33226946948300706,-76.34915367500803
TS0330C,TS0330D,fusion_absolute,54.28073181272609,57.970486825994485,0.629348087186456,-54.28073181272609
TS0330C,TS0330D,temp_relP,56.762651314224996,61.691085305790764,0.5802437493154757,-56.762651314224996
TS0330C,TS0330D,temp_relP_dP,57.68778083591436,62.15754779438729,0.5738719763443154,-57.68778083591436
TS0330C,TS0330D,temp_relP_dP_shape,56.718004383212964,61.103500598927795,0.588201714840827,-56.718004383212964
TS0330C,TS0330D,temp_absP_relP_dP,54.95801741916519,58.81773943155232,0.6184345803119871,-54.95801741916519
TS0330D,TS0330E,temperature,18.922147180176417,20.790910515986976,0.9492947847409058,-18.922147180176417
TS0330D,TS0330E,fusion_absolute,17.20827981774179,23.28158735420005,0.936418497392229,-12.15326765031902
TS0330D,TS0330E,temp_relP,29.053232469501044,33.920099819945726,0.8650354050680256,-24.70045014768785
TS0330D,TS0330E,temp_relP_dP,29.37408359413071,33.76133424201303,0.8662958721641147,-29.37408359413071
TS0330D,TS0330E,temp_relP_dP_shape,29.88837127146799,36.36542239061275,0.8448746104812107,-29.88837127146799
TS0330D,TS0330E,temp_absP_relP_dP,17.96594762010061,22.18409262178374,0.9422716756068176,-17.669382475390375
TS0330E,TS0330F,temperature,50.10150193227507,52.76797209401858,0.7801742990330165,50.10150193227507
TS0330E,TS0330F,fusion_absolute,49.025501642383524,56.70679190760712,0.7461320856484744,48.928869724333225
TS0330E,TS0330F,temp_relP,42.48103740825426,50.67526963415562,0.797264503750444,41.705822394365576
TS0330E,TS0330F,temp_relP_dP,42.91628814709443,51.38525251967038,0.791543880801819,38.56866306538804
TS0330E,TS0330F,temp_relP_dP_shape,44.75647543177185,55.34544388446038,0.75817488220253,41.76024210088613
TS0330E,TS0330F,temp_absP_relP_dP,49.16887179854942,57.22611797434611,0.7414609017041753,48.69004541435579
TS0330F,TS0330G,temperature,44.99330785828112,46.465871131487326,0.761866487499119,44.99330785828112
TS0330F,TS0330G,fusion_absolute,15.152986567336008,18.481539624027462,0.9623271352711952,-4.828449509336782
TS0330F,TS0330G,temp_relP,48.12112274408605,49.924244244868234,0.7250996143285376,48.12112274408605
TS0330F,TS0330G,temp_relP_dP,45.175038153749014,47.863906044786326,0.7473213049414559,45.175038153749014
TS0330F,TS0330G,temp_relP_dP_shape,43.12053551993508,45.628750102494664,0.7703695401563339,43.12053551993508
TS0330F,TS0330G,temp_absP_relP_dP,14.734024890497384,18.521085704589204,0.9621657409180068,-4.109487923279587
TS0330G,TS0330H,temperature,27.574257756282847,31.089267435740684,0.8791821812886242,26.914668283075198
TS0330G,TS0330H,fusion_absolute,26.944879183040587,29.374926248073393,0.8921392134900311,1.5065778382750663
TS0330G,TS0330H,temp_relP,28.681257550839323,34.748701851245904,0.8490659649566524,22.725337577011043
TS0330G,TS0330H,temp_relP_dP,34.123794233806414,40.12479238252099,0.7987501295324483,23.285254193476508
TS0330G,TS0330H,temp_relP_dP_shape,36.73396376606937,43.2509833284397,0.7661690551403788,25.349514464725093
TS0330G,TS0330H,temp_absP_relP_dP,30.532758753125126,35.00782574412868,0.8468065170835901,6.770302420623156
TS0330H,TS0330A,temperature,77.5383360718231,79.30055929716951,0.30640676049515814,77.5383360718231
TS0330H,TS0330A,fusion_absolute,62.90000734154433,64.08940550361154,0.546972217153711,62.90000734154433
TS0330H,TS0330A,temp_relP,79.15926486452756,81.14670569977794,0.2737366346404736,79.15926486452756
TS0330H,TS0330A,temp_relP_dP,79.79672131897173,81.84686047997985,0.26114979002618144,79.79672131897173
TS0330H,TS0330A,temp_relP_dP_shape,81.79626396405024,84.00912353618526,0.22159564294286382,81.79626396405024
TS0330H,TS0330A,temp_absP_relP_dP,66.95015958197293,68.26638531803201,0.48599639363345404,66.95015958197293
