candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,4,13,1,1,1,1,1,3.187528371810913,0.029381612315773964,1.050403118133545
1,0,0,59,25,0,0,1,1,1,14.259757995605469,0.033068861812353134,1.0153769254684448
2,0,1,73,15,0,0,1,1,1,17.88517951965332,0.03923380747437477,1.0716744661331177
3,0,0,45,12,0,0,1,1,1,6.476504802703857,0.04503585770726204,1.0173704624176025
4,0,0,63,16,0,0,1,1,1,6.892667770385742,0.0310665313154459,1.0550329685211182
5,0,0,70,25,0,0,1,1,1,7.802225112915039,0.03500068187713623,1.0707252025604248
6,0,0,48,13,0,0,1,1,1,7.0734381675720215,0.04273978993296623,0.9586247205734253
7,0,1,33,9,0,0,1,1,1,22.41242218017578,0.017566228285431862,1.0222866535186768
8,0,1,71,9,0,0,1,1,1,9.798551559448242,0.014107214286923409,1.0464627742767334
9,0,0,28,17,0,0,1,1,1,13.671433448791504,0.044497955590486526,0.9461814761161804
10,0,1,39,9,0,0,1,1,1,19.47816276550293,0.022153757512569427,1.0442043542861938
11,0,1,35,16,0,0,1,1,1,21.055471420288086,0.02326705865561962,1.0377240180969238
12,0,1,72,18,0,0,1,1,1,8.805746078491211,0.03145914152264595,1.0468374490737915
13,0,1,72,16,0,0,1,1,1,11.179444313049316,0.021085325628519058,1.0479527711868286
14,0,0,44,11,1,1,1,1,1,4.088695049285889,0.027585163712501526,0.9544152617454529
15,0,0,42,24,0,0,1,1,1,13.67764663696289,0.08758007735013962,1.1093952655792236
16,0,1,39,9,0,0,1,1,1,15.083513259887695,0.016610361635684967,1.0141050815582275
17,0,1,72,21,0,0,1,1,1,8.766013145446777,0.029113376513123512,1.0600996017456055
18,0,1,38,22,0,0,1,1,1,17.65123748779297,0.03861143812537193,1.052437424659729
19,0,1,40,24,0,0,1,1,1,9.886831283569336,0.03565503656864166,1.0424818992614746
20,0,1,39,9,0,0,1,1,1,10.161499977111816,0.01332970429211855,1.0298672914505005
21,0,1,37,12,0,0,1,1,1,12.99042797088623,0.03919406235218048,1.0072823762893677
22,0,1,33,22,0,0,1,1,1,10.508108139038086,0.05266604945063591,1.0135623216629028
23,0,0,7,13,0,0,1,1,1,10.033933639526367,0.018625393509864807,1.036406397819519
24,0,0,56,25,0,0,1,1,1,18.24205780029297,0.05776519328355789,1.1091409921646118
25,0,1,72,8,0,0,1,1,1,8.279315948486328,0.015493230894207954,1.0478872060775757
26,0,0,31,16,0,0,1,1,1,10.521230697631836,0.020632028579711914,1.014827013015747
27,0,0,42,8,0,0,1,1,1,8.844253540039062,0.020901335403323174,1.0500881671905518
28,0,1,35,21,0,0,1,1,1,23.871768951416016,0.015443424694240093,1.0131272077560425
29,0,0,52,14,0,0,1,1,1,10.061245918273926,0.059269558638334274,1.0861798524856567
30,0,0,24,15,0,0,1,1,1,8.413830757141113,0.04156837239861488,0.9667923450469971
31,0,0,1,14,0,0,1,1,1,7.848653793334961,0.04083140939474106,1.2001090049743652
32,0,0,53,8,0,0,1,1,1,13.81650447845459,0.02927723526954651,1.0179542303085327
33,0,1,36,15,0,0,1,1,1,20.396709442138672,0.02294641174376011,1.0207571983337402
34,0,1,38,19,0,0,1,1,1,14.96471881866455,0.030177921056747437,1.0116896629333496
35,0,1,72,18,0,0,1,1,1,11.247984886169434,0.03777146339416504,1.0093755722045898
36,0,1,38,15,0,0,1,1,1,14.894967079162598,0.01687234453856945,1.0041788816452026
37,0,1,36,19,0,0,1,1,1,18.278263092041016,0.020785629749298096,1.0419423580169678
38,0,0,51,10,0,0,1,1,1,9.165273666381836,0.034170717000961304,1.0051935911178589
39,0,0,5,12,1,1,1,1,1,3.262261152267456,0.03361991047859192,1.0907615423202515
40,0,1,38,15,0,0,1,1,1,23.11800193786621,0.027201827615499496,1.0846701860427856
