candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,1,58,9,0,0,1,1,1,7.551097869873047,0.0153923025354743,1.0069143772125244
1,0,0,24,20,0,0,1,1,1,13.783745765686035,0.051383886486291885,1.1215325593948364
2,0,0,23,12,0,0,1,1,1,11.922383308410645,0.01757730357348919,1.0521278381347656
3,0,0,13,9,0,0,1,1,1,11.295125007629395,0.013600066304206848,1.0338480472564697
4,0,1,57,11,0,0,1,1,1,19.709348678588867,0.022288622334599495,0.9829378128051758
5,0,0,32,9,0,0,1,1,1,8.288336753845215,0.02978949248790741,1.092836618423462
6,0,0,16,23,0,0,1,1,1,16.930606842041016,0.04116491973400116,1.0861657857894897
7,0,0,20,21,0,0,1,1,1,13.480216979980469,0.020997749641537666,1.0260204076766968
8,0,1,61,8,0,0,1,1,1,9.559229850769043,0.02345423959195614,0.9750553369522095
9,0,0,41,19,1,1,1,1,1,3.130624294281006,0.03773123770952225,0.9460026621818542
10,0,1,69,20,0,0,1,1,1,14.48918342590332,0.017333785071969032,1.0221575498580933
11,0,1,29,18,1,1,1,1,1,4.901034832000732,0.017246542498469353,1.0552314519882202
12,0,1,61,20,0,0,1,1,1,6.797235012054443,0.02155167981982231,0.9960052371025085
13,0,0,40,10,1,1,1,1,1,2.345331907272339,0.04457555711269379,0.9367285370826721
14,0,0,36,24,1,1,1,1,1,3.2479000091552734,0.04805676266551018,1.0107264518737793
15,0,1,60,24,0,0,1,1,1,10.711027145385742,0.017177505418658257,0.9853268265724182
16,0,1,69,20,0,0,1,1,1,12.475325584411621,0.03188227489590645,0.9676109552383423
17,0,1,68,18,0,0,1,1,1,12.626504898071289,0.032512541860342026,0.9716690182685852
18,0,1,60,18,0,0,1,1,1,10.974771499633789,0.026914631947875023,1.0306406021118164
19,0,1,31,22,0,0,1,1,1,8.804184913635254,0.01813005842268467,1.010533094406128
20,0,0,22,8,0,0,1,1,1,12.480894088745117,0.02144654095172882,1.0602240562438965
