candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,1,30,21,1,1,1,1,1,2.221078872680664,0.014276700094342232,0.9869472980499268
1,0,1,58,16,0,0,1,1,1,5.537806510925293,0.03558305650949478,0.9718973636627197
2,0,1,31,8,0,0,1,1,1,6.993447303771973,0.011035040020942688,1.016219139099121
3,0,0,37,12,0,0,1,1,1,11.02468490600586,0.03596506267786026,0.9751796722412109
4,0,1,64,14,0,0,1,1,1,8.317903518676758,0.018177349120378494,1.0447866916656494
5,0,0,24,14,0,0,1,1,1,9.061333656311035,0.02038227953016758,0.9726821780204773
6,0,1,30,12,0,0,1,1,1,9.273499488830566,0.019557708874344826,1.0325207710266113
7,0,1,30,9,0,0,1,1,1,10.37053108215332,0.016801197081804276,1.0149718523025513
8,0,0,37,13,0,0,1,1,1,6.730581283569336,0.03485316410660744,0.9976187944412231
9,0,0,13,23,0,0,1,1,1,5.020956993103027,0.02604161947965622,0.9766639471054077
10,0,1,32,20,0,0,1,1,1,5.8642802238464355,0.06400494277477264,1.059566617012024
11,0,0,43,15,0,0,1,1,1,18.152650833129883,0.016760574653744698,1.018850564956665
12,0,0,47,17,0,0,1,1,1,6.833191871643066,0.0269679706543684,1.0378262996673584
13,0,1,62,13,0,0,1,1,1,6.864328384399414,0.026755357161164284,1.0636266469955444
14,0,0,41,12,0,0,1,1,1,8.184563636779785,0.032878242433071136,1.0487061738967896
15,0,0,4,20,0,0,1,1,1,10.070157051086426,0.016124462708830833,1.0532147884368896
16,0,1,32,8,1,1,1,1,1,3.2128989696502686,0.02488371729850769,1.0147600173950195
17,0,0,18,19,0,0,1,1,1,5.33228874206543,0.03299165889620781,1.0193618535995483
18,0,1,62,8,1,1,1,1,1,4.301042556762695,0.01503632590174675,1.0464869737625122
19,0,0,2,16,0,0,1,1,1,12.883143424987793,0.01724459044635296,1.0207499265670776
20,0,1,62,22,0,0,1,1,1,9.01591682434082,0.02395523525774479,1.023311972618103
21,0,0,14,8,1,1,1,1,1,4.897950649261475,0.02682919055223465,0.9839510321617126
22,0,1,30,14,0,0,1,1,1,8.693161010742188,0.016966350376605988,1.0212472677230835
23,0,0,41,25,0,0,1,1,1,11.155991554260254,0.023738231509923935,1.0294456481933594
24,0,0,3,20,0,0,1,1,1,12.974749565124512,0.03995583951473236,1.0746649503707886
25,0,0,4,16,0,0,1,1,1,9.23000431060791,0.012242899276316166,1.0338184833526611
26,0,0,11,24,0,0,1,1,1,5.986979007720947,0.025508660823106766,0.9997504353523254
27,0,1,32,25,0,0,1,1,1,5.879250526428223,0.01436950359493494,0.9877209067344666
28,0,0,22,17,0,0,1,1,1,11.469536781311035,0.03420262411236763,0.9948940277099609
29,0,1,30,14,0,0,1,1,1,8.675450325012207,0.033468641340732574,1.0581437349319458
30,0,1,58,14,1,1,1,1,1,2.966642379760742,0.0489402674138546,1.09971284866333
31,0,0,8,18,0,0,1,1,1,11.221749305725098,0.024716151878237724,1.0091006755828857
32,0,1,58,12,1,1,1,1,1,3.376368284225464,0.017999611794948578,1.009060263633728
33,0,0,8,19,0,0,1,1,1,10.584087371826172,0.024577731266617775,1.0292887687683105
34,0,1,62,17,1,1,1,1,1,3.236485719680786,0.05855721980333328,1.097002625465393
35,0,0,5,16,0,0,1,1,1,11.669182777404785,0.03550012782216072,1.041039228439331
36,0,1,61,13,1,1,1,1,1,3.024265766143799,0.033973753452301025,0.9815186262130737
37,0,1,61,17,0,0,1,1,1,5.655977725982666,0.021160056814551353,1.0263168811798096
38,0,0,18,21,0,0,1,1,1,5.698614120483398,0.02713807299733162,0.9837019443511963
39,0,1,61,17,0,0,1,1,1,10.634624481201172,0.01924181543290615,1.0268181562423706
40,0,1,64,9,0,0,1,1,1,8.144999504089355,0.01899077370762825,1.0553122758865356
41,0,1,60,13,0,0,1,1,1,13.45903491973877,0.014666739851236343,1.0332250595092773
42,0,1,63,25,0,0,1,1,1,11.915464401245117,0.05894056335091591,1.1242541074752808
43,0,1,59,10,1,1,1,1,1,2.7877020835876465,0.026187870651483536,0.9931139349937439
44,0,0,38,14,0,0,1,1,1,21.989917755126953,0.04302815720438957,0.9747703671455383
45,0,1,62,21,0,0,1,1,1,7.9185709953308105,0.044476065784692764,1.0702083110809326
46,0,0,3,8,0,0,1,1,1,10.1953706741333,0.02571394108235836,1.0748302936553955
47,0,0,16,14,0,0,1,1,1,11.836263656616211,0.03176237270236015,1.0554689168930054
48,0,1,64,25,1,1,1,1,1,4.939541816711426,0.07041475176811218,1.0652583837509155
49,0,1,60,10,0,0,1,1,1,6.391964912414551,0.017600875347852707,0.9951065182685852
50,0,0,26,9,0,0,1,1,1,13.733570098876953,0.01329590193927288,0.9937734603881836
51,0,0,35,22,0,0,1,1,1,5.113868713378906,0.02763005718588829,1.0505008697509766
52,0,1,30,22,0,0,1,1,1,6.058853626251221,0.018626023083925247,0.9689503908157349
53,0,1,64,16,0,0,1,1,1,9.267630577087402,0.0531119778752327,1.1260404586791992
