candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,47,11,0,0,1,1,1,16.77713394165039,0.03579729050397873,1.0164748430252075
1,0,0,53,25,0,0,1,1,1,8.972382545471191,0.037550728768110275,1.0403119325637817
2,0,1,65,8,1,1,1,1,1,2.7209019660949707,0.02313024364411831,0.9769993424415588
3,0,1,29,19,0,0,1,1,1,12.317572593688965,0.018320193514227867,0.9802224636077881
4,0,1,24,14,1,1,1,1,1,3.8768386840820312,0.016960738226771355,0.9620667099952698
5,0,1,70,8,0,0,1,1,1,5.412062168121338,0.021333210170269012,1.0378549098968506
6,0,1,27,23,0,0,1,1,1,8.353425025939941,0.10074710845947266,0.8310216665267944
7,0,0,58,22,0,0,1,1,1,5.7048234939575195,0.03600335121154785,1.0218479633331299
8,0,1,24,15,0,0,1,1,1,5.709055423736572,0.020492371171712875,0.99953693151474
9,0,1,23,12,0,0,1,1,1,17.986738204956055,0.018938196823000908,0.9610528945922852
10,0,0,2,8,1,1,1,1,1,3.7055718898773193,0.018357621505856514,1.0451467037200928
11,0,0,39,24,0,0,1,1,1,12.673747062683105,0.03316386789083481,1.0541658401489258
12,0,0,3,12,0,0,1,1,1,6.491525173187256,0.03233042359352112,1.0363160371780396
13,0,1,23,20,0,0,1,1,1,9.93685531616211,0.05474502220749855,0.9070592522621155
14,0,0,58,8,0,0,1,1,1,9.379266738891602,0.021740330383181572,1.0046234130859375
15,0,0,40,22,0,0,1,1,1,12.301759719848633,0.030279463157057762,1.0684617757797241
16,0,0,57,20,1,1,1,1,1,4.2980451583862305,0.02896585874259472,1.015020728111267
17,0,1,64,19,1,1,1,1,1,4.273052215576172,0.02679399400949478,1.0200855731964111
18,0,0,0,9,1,1,1,1,1,2.487776279449463,0.0522279217839241,1.1375373601913452
19,0,1,31,12,0,0,1,1,1,9.599381446838379,0.02483844757080078,0.9683296084403992
20,0,1,37,19,0,0,1,1,1,10.052873611450195,0.025255881249904633,0.9967064261436462
21,0,0,40,11,0,0,1,1,1,13.071242332458496,0.024145901203155518,1.0731027126312256
22,0,1,66,22,1,1,1,1,1,3.667569160461426,0.013215002603828907,1.006333827972412
23,0,0,43,15,0,0,1,1,1,13.910287857055664,0.03726354241371155,0.9791437983512878
