candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,1,28,21,1,1,1,1,1,3.2296645641326904,0.017523178830742836,0.9652658700942993
1,0,0,20,11,1,1,1,1,1,2.718456983566284,0.0207600649446249,1.004045844078064
2,0,1,51,12,1,1,1,1,1,2.7592480182647705,0.037152983248233795,0.9624491333961487
3,0,1,27,17,1,1,1,1,1,4.349010944366455,0.024571729823946953,1.0118722915649414
4,0,0,4,9,1,1,1,1,1,1.9591974020004272,0.03573053330183029,1.0389535427093506
5,0,0,10,24,1,1,1,1,1,4.461169242858887,0.023777969181537628,1.0080946683883667
6,0,1,50,25,0,0,1,1,1,6.99373722076416,0.030406860634684563,0.98872309923172
7,0,0,46,20,0,0,1,1,1,5.260303974151611,0.0418020635843277,0.9458469748497009
8,0,0,10,11,0,0,1,1,1,9.217314720153809,0.025518136098980904,0.9971470236778259
9,0,0,16,25,0,0,1,1,1,5.347750186920166,0.06636947393417358,1.097241997718811
10,0,0,9,24,1,1,1,1,1,1.6445910930633545,0.042656540870666504,0.9921755790710449
11,0,1,61,24,0,0,1,1,1,6.833789348602295,0.03874744474887848,1.0450938940048218
12,0,1,53,12,1,1,1,1,1,4.468073844909668,0.03587561473250389,1.0394998788833618
13,0,1,24,15,1,1,1,1,1,1.4644670486450195,0.023794611915946007,0.9287183284759521
14,0,1,62,13,0,0,1,1,1,10.25901985168457,0.018169498071074486,1.0060850381851196
15,0,1,57,8,1,1,1,1,1,2.4039292335510254,0.01686003804206848,0.9981193542480469
16,0,1,61,11,0,0,1,1,1,5.483919143676758,0.016122596338391304,0.9958686828613281
17,0,0,20,20,1,1,1,1,1,1.9015288352966309,0.039855048060417175,1.0385103225708008
18,0,0,47,8,1,1,1,1,1,3.96844744682312,0.020369205623865128,0.9800466895103455
19,0,0,37,22,0,0,1,1,1,7.277686595916748,0.037011582404375076,0.9699034094810486
20,0,1,28,13,1,1,1,1,1,2.283984422683716,0.01862216554582119,0.9661967754364014
21,0,0,35,8,0,0,1,1,1,8.91919994354248,0.024131400510668755,1.0300064086914062
22,0,1,28,15,1,1,1,1,1,3.0282938480377197,0.020267385989427567,1.049705147743225
23,0,0,38,13,0,0,1,1,1,14.808192253112793,0.02871428057551384,1.0337557792663574
24,0,0,20,15,1,1,1,1,1,1.6108994483947754,0.014935837127268314,0.9943855404853821
25,0,0,5,23,1,1,1,1,1,1.9497462511062622,0.0532882921397686,0.9721701145172119
26,0,0,43,23,0,0,1,1,1,12.047569274902344,0.05770302563905716,0.9135814905166626
27,0,1,26,11,1,1,1,1,1,2.8818154335021973,0.020586926490068436,0.982410192489624
28,0,0,8,14,1,1,1,1,1,2.458752393722534,0.023821786046028137,0.9933304190635681
29,0,0,45,23,0,0,1,1,1,7.971506118774414,0.04768216237425804,1.0574208498001099
30,0,1,53,18,0,0,1,1,1,5.157160758972168,0.039018359035253525,0.9550167918205261
31,0,0,35,11,0,0,1,1,1,9.668323516845703,0.029484696686267853,1.026234745979309
32,0,0,18,19,1,1,1,1,1,1.259627342224121,0.01686721108853817,0.9926578998565674
33,0,0,40,24,0,0,1,1,1,8.857441902160645,0.038669515401124954,0.9605875015258789
34,0,0,4,15,1,1,1,1,1,1.9540770053863525,0.036384470760822296,0.9988726377487183
35,0,0,39,21,0,0,1,1,1,12.39351749420166,0.0360657162964344,1.0391740798950195
36,0,0,12,16,1,1,1,1,1,3.374391794204712,0.03152028098702431,1.0330069065093994
37,0,0,38,23,0,0,1,1,1,18.28383445739746,0.03034130483865738,0.9539918899536133
38,0,1,53,16,0,0,1,1,1,7.6026225090026855,0.027532337233424187,0.9658329486846924
39,0,1,50,8,1,1,1,1,1,3.368854522705078,0.029093250632286072,0.9970154166221619
40,0,0,20,14,1,1,1,1,1,1.730085849761963,0.02733670175075531,0.9600388407707214
41,0,0,43,21,0,0,1,1,1,9.706966400146484,0.03675546124577522,0.982792854309082
42,0,0,37,21,0,0,1,1,1,17.34623908996582,0.03785231336951256,1.0238546133041382
43,0,1,61,12,1,1,1,1,1,4.865382671356201,0.018296731635928154,1.0134985446929932
44,0,0,12,21,1,1,1,1,1,2.733074426651001,0.02207440324127674,1.0228471755981445
45,0,0,45,21,0,0,1,1,1,8.204351425170898,0.02710733190178871,0.9874023795127869
46,0,1,54,14,1,1,1,1,1,4.986392021179199,0.0317390076816082,0.9680350422859192
47,0,1,29,14,1,1,1,1,1,2.517591714859009,0.022693021222949028,0.9604810476303101
48,0,1,61,25,0,0,1,1,1,8.012248992919922,0.022561563178896904,1.0060813426971436
49,0,0,11,8,1,1,1,1,1,3.3494210243225098,0.0333586111664772,1.024400234222412
