candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,7,15,1,1,1,1,1,3.7918508052825928,0.020239772275090218,1.034609079360962
1,0,0,34,23,1,1,1,1,1,1.8210912942886353,0.037828635424375534,1.2078619003295898
2,0,1,67,21,1,1,1,1,1,4.404281139373779,0.07452327013015747,1.004585862159729
3,0,1,60,19,1,1,1,1,1,3.1354522705078125,0.02588217332959175,0.9753267765045166
4,0,1,31,19,1,1,1,1,1,3.16786527633667,0.054034776985645294,1.1124712228775024
5,0,1,67,24,1,1,1,1,1,1.7188143730163574,0.044597119092941284,1.0612164735794067
6,0,0,22,20,0,0,1,1,1,6.857522487640381,0.045055925846099854,0.9951039552688599
7,0,1,25,12,1,1,1,1,1,4.601369857788086,0.04083222895860672,1.1207325458526611
8,0,1,66,14,1,1,1,1,1,3.5920023918151855,0.017839107662439346,0.9955626130104065
9,0,0,15,14,0,0,1,1,1,7.855978965759277,0.03248755633831024,1.0673424005508423
10,0,1,29,21,1,1,1,1,1,3.923501968383789,0.038678403943777084,1.0490400791168213
11,0,0,36,9,1,1,1,1,1,1.1927375793457031,0.0173680167645216,1.0003175735473633
12,0,0,10,25,1,1,1,1,1,4.038990497589111,0.03145714849233627,1.0362069606781006
13,0,0,15,14,0,0,1,1,1,7.149473190307617,0.012638078071177006,1.0439023971557617
14,0,0,38,24,1,1,1,1,1,2.4603021144866943,0.05655659735202789,1.0625929832458496
15,0,1,65,21,1,1,1,1,1,3.2194972038269043,0.06176004558801651,1.0930824279785156
16,0,1,31,11,1,1,1,1,1,4.570308685302734,0.0309428833425045,1.0679856538772583
17,0,0,2,23,0,0,1,1,1,12.201095581054688,0.034703999757766724,1.0768719911575317
18,0,0,39,25,1,1,1,1,1,2.3913276195526123,0.05041903257369995,0.983953058719635
19,0,1,67,25,0,0,1,1,1,6.801047325134277,0.024136703461408615,1.0131783485412598
20,0,1,29,20,1,1,1,1,1,2.928563356399536,0.04980352520942688,1.0091990232467651
21,0,0,52,13,1,1,1,1,1,2.5716328620910645,0.027288582175970078,0.9814505577087402
22,0,0,15,15,0,0,1,1,1,8.266469955444336,0.056762244552373886,0.9802943468093872
23,0,1,69,11,1,1,1,1,1,2.6530981063842773,0.022349033504724503,1.0442121028900146
24,0,0,43,23,0,0,1,1,1,5.938425064086914,0.11802572757005692,1.1616020202636719
25,0,0,5,25,1,1,1,1,1,3.974924087524414,0.03008873201906681,1.0265110731124878
26,0,1,31,11,0,0,1,1,1,5.422502517700195,0.026399657130241394,1.096307635307312
27,0,0,48,12,0,0,1,1,1,6.821763515472412,0.027967212721705437,1.00371515750885
28,0,1,26,22,1,1,1,1,1,4.04926061630249,0.02707344852387905,1.0688130855560303
29,0,0,41,13,1,1,1,1,1,1.8805110454559326,0.024009110406041145,1.021916389465332
30,0,1,58,9,1,1,1,1,1,4.479360580444336,0.02078661322593689,0.990792989730835
31,0,1,67,10,1,1,1,1,1,4.871675968170166,0.018754107877612114,1.0217337608337402
32,0,0,21,24,0,0,1,1,1,7.278506755828857,0.11561688035726547,0.8918386697769165
33,0,1,59,17,1,1,1,1,1,3.609769344329834,0.020701248198747635,0.9823800921440125
34,0,1,59,17,1,1,1,1,1,3.140997886657715,0.030795684084296227,0.9892868995666504
35,0,0,36,16,1,1,1,1,1,2.0124423503875732,0.03927883133292198,0.9426679015159607
36,0,1,57,22,1,1,1,1,1,2.805905342102051,0.024334125220775604,0.9900012612342834
