candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,53,13,1,1,1,1,1,2.143425941467285,0.016361378133296967,1.0214605331420898
1,0,0,48,25,1,1,1,1,1,2.112530469894409,0.022560372948646545,1.0020421743392944
2,0,1,23,14,0,0,1,1,1,5.4638991355896,0.023787250742316246,1.0555636882781982
3,0,1,29,21,0,0,1,1,1,7.722930908203125,0.034334298223257065,1.0725234746932983
4,0,1,31,19,1,1,1,1,1,4.0875983238220215,0.02705034241080284,0.9835561513900757
5,0,1,30,15,1,1,1,1,1,4.01576042175293,0.015074117109179497,1.0206881761550903
6,0,0,40,15,0,0,1,1,1,7.635468006134033,0.029834900051355362,1.003970980644226
7,0,0,12,8,0,0,1,1,1,6.196290016174316,0.03889094293117523,1.0497242212295532
8,0,1,31,21,1,1,1,1,1,3.336658477783203,0.040667008608579636,1.073900818824768
9,0,1,31,10,1,1,1,1,1,4.09163236618042,0.014035276137292385,1.0249409675598145
10,0,1,61,14,0,0,1,1,1,10.48752498626709,0.01780497282743454,1.0271546840667725
11,0,1,26,18,1,1,1,1,1,3.35978627204895,0.03301333636045456,1.0820914506912231
12,0,0,18,20,1,1,1,1,1,4.159815311431885,0.02616354078054428,1.023476481437683
13,0,1,29,11,1,1,1,1,1,4.928197860717773,0.024358512833714485,1.041810154914856
14,0,0,20,23,1,1,1,1,1,2.0776891708374023,0.04893113300204277,0.9461866021156311
15,0,0,34,17,0,0,1,1,1,9.95205020904541,0.06077776849269867,1.032373309135437
16,0,0,21,21,1,1,1,1,1,2.1309924125671387,0.029486648738384247,1.067655086517334
17,0,1,26,22,0,0,1,1,1,6.303751468658447,0.059571124613285065,1.084452509880066
18,0,1,22,23,1,1,1,1,1,4.638974666595459,0.03420890122652054,1.0650150775909424
19,0,1,26,12,1,1,1,1,1,2.0464348793029785,0.01919490285217762,1.0286164283752441
20,0,0,43,22,1,1,1,1,1,1.4021766185760498,0.022301889955997467,0.990928053855896
21,0,0,21,21,1,1,1,1,1,2.987983226776123,0.0922897681593895,0.9575833082199097
22,0,1,57,11,0,0,1,1,1,17.61465835571289,0.013049190863966942,1.0336320400238037
23,0,1,61,11,0,0,1,1,1,11.268129348754883,0.026402372866868973,1.0352014303207397
24,0,1,63,9,0,0,1,1,1,6.67184591293335,0.02724102884531021,1.0422357320785522
25,0,1,62,23,1,1,1,1,1,4.593654632568359,0.026050331071019173,1.0707838535308838
26,0,0,38,23,0,0,1,1,1,9.114322662353516,0.023139087483286858,1.001305103302002
27,0,1,25,24,1,1,1,1,1,2.428722381591797,0.02651483751833439,1.005928635597229
28,0,1,25,11,0,0,1,1,1,5.499945640563965,0.04637346416711807,1.0797171592712402
29,0,0,54,24,1,1,1,1,1,1.7931199073791504,0.03181503340601921,1.0369092226028442
30,0,0,43,18,1,1,1,1,1,2.730315923690796,0.020742790773510933,1.0129649639129639
31,0,1,58,16,0,0,1,1,1,9.62049674987793,0.016073929145932198,1.0402476787567139
32,0,1,27,20,1,1,1,1,1,1.8826735019683838,0.022741276770830154,1.038568139076233
33,0,1,61,21,0,0,1,1,1,15.606488227844238,0.03654902055859566,1.0942089557647705
34,0,1,60,18,0,0,1,1,1,8.846668243408203,0.03495714068412781,1.0812742710113525
35,0,1,29,11,1,1,1,1,1,1.4807653427124023,0.017320245504379272,1.00469970703125
36,0,1,23,20,1,1,1,1,1,4.997371196746826,0.030802028253674507,1.0514768362045288
37,0,0,1,23,0,0,1,1,1,6.889128684997559,0.06174846738576889,1.0981993675231934
38,0,1,32,18,0,0,1,1,1,6.683872699737549,0.021657496690750122,1.0439616441726685
39,0,1,22,13,1,1,1,1,1,4.8445353507995605,0.0354982390999794,1.0225380659103394
40,0,0,39,17,0,0,1,1,1,12.948691368103027,0.034823350608348846,1.0037957429885864
41,0,0,42,12,1,1,1,1,1,2.91245698928833,0.028282569721341133,0.9607260823249817
42,0,0,51,15,1,1,1,1,1,2.064087390899658,0.024523166939616203,0.996467649936676
43,0,1,61,21,0,0,1,1,1,18.039196014404297,0.04792259261012077,1.1120320558547974
44,0,0,6,9,1,1,1,1,1,4.799803256988525,0.020095355808734894,1.0529865026474
45,0,1,25,23,1,1,1,1,1,1.7229604721069336,0.013285337015986443,1.0275520086288452
46,0,0,56,9,0,0,1,1,1,6.492290496826172,0.023664910346269608,1.0054328441619873
47,0,0,3,19,0,0,1,1,1,5.189910888671875,0.020480675622820854,1.0172042846679688
48,0,0,33,8,0,0,1,1,1,10.487811088562012,0.032087475061416626,1.0795451402664185
49,0,0,21,17,1,1,1,1,1,3.156660795211792,0.03022623248398304,1.0265593528747559
50,0,1,29,20,0,0,1,1,1,5.218815803527832,0.04296598955988884,1.0222992897033691
51,0,1,31,22,1,1,1,1,1,3.299771547317505,0.027006857097148895,1.0774221420288086
52,0,0,37,24,0,0,1,1,1,12.0665283203125,0.02555588260293007,0.9977512955665588
53,0,0,15,12,1,1,1,1,1,2.8555643558502197,0.052974797785282135,0.9655184149742126
54,0,0,56,19,1,1,1,1,1,4.091132640838623,0.047686513513326645,0.9646045565605164
