candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,1,67,24,0,0,1,1,1,11.896600723266602,0.056348804384469986,1.094631314277649
1,0,1,71,24,0,0,1,1,1,18.966135025024414,0.07212463021278381,1.1236231327056885
2,0,1,22,13,0,0,1,1,1,8.58007526397705,0.02435263618826866,1.0825157165527344
3,0,1,66,18,0,0,1,1,1,13.689403533935547,0.015936188399791718,0.9956725239753723
4,0,0,14,8,0,0,1,1,1,5.835844039916992,0.021666064858436584,1.051758050918579
5,0,1,25,22,0,0,1,1,1,10.710000991821289,0.06713981926441193,0.9984222650527954
6,0,1,64,13,0,0,1,1,1,11.344927787780762,0.027983788400888443,1.0374407768249512
7,0,1,67,11,0,0,1,1,1,12.994911193847656,0.01641068235039711,1.0033353567123413
8,0,1,30,15,0,0,1,1,1,6.2784600257873535,0.023642312735319138,1.0390651226043701
9,0,1,73,23,0,0,1,1,1,15.05332088470459,0.019512614235281944,1.0552988052368164
10,0,0,0,19,0,0,1,1,1,9.665698051452637,0.0402100645005703,1.053426742553711
11,0,0,51,9,0,0,1,1,1,8.656270027160645,0.039778802543878555,1.0529109239578247
12,0,0,52,17,0,0,1,1,1,6.281109809875488,0.03291979804635048,0.9796116948127747
13,0,1,28,11,0,0,1,1,1,6.361976623535156,0.048452552407979965,1.0179815292358398
14,0,0,42,10,0,0,1,1,1,7.599712371826172,0.02773839235305786,1.0145463943481445
15,0,0,54,13,0,0,1,1,1,6.380248069763184,0.056754980236291885,1.0849575996398926
16,0,1,28,15,0,0,1,1,1,14.590944290161133,0.042726486921310425,1.0221234560012817
17,0,1,18,16,1,1,1,1,1,4.750097751617432,0.04818625748157501,1.049041986465454
18,0,1,26,13,0,0,1,1,1,8.309349060058594,0.025737546384334564,1.080051064491272
19,0,1,23,9,0,0,1,1,1,12.84727954864502,0.038010310381650925,1.05672287940979
20,0,0,48,25,1,1,1,1,1,3.3028793334960938,0.07608920335769653,1.1252071857452393
21,0,0,47,8,0,0,1,1,1,5.7612810134887695,0.05058043822646141,1.074059009552002
22,0,1,63,11,0,0,1,1,1,8.706795692443848,0.019042717292904854,1.015164852142334
23,0,0,57,17,0,0,1,1,1,15.570272445678711,0.05887147784233093,1.0968343019485474
24,0,0,37,22,1,1,1,1,1,4.754812717437744,0.03294854611158371,1.020188808441162
25,0,0,52,24,0,0,1,1,1,11.701175689697266,0.07505690306425095,1.101682186126709
26,0,1,73,22,0,0,1,1,1,13.590644836425781,0.0445050448179245,1.061606764793396
27,0,1,72,25,0,0,1,1,1,17.733184814453125,0.025690069422125816,1.0465257167816162
28,0,0,8,14,0,0,1,1,1,7.209510803222656,0.03182605654001236,1.0497236251831055
29,0,1,64,19,0,0,1,1,1,13.446104049682617,0.02886611595749855,0.9678007960319519
30,0,0,0,12,0,0,1,1,1,9.868928909301758,0.03628755733370781,1.070307970046997
31,0,0,40,8,1,1,1,1,1,3.738943338394165,0.016122883185744286,1.0388693809509277
32,0,0,53,25,0,0,1,1,1,9.16904354095459,0.07426111400127411,1.0971280336380005
33,0,0,34,12,0,0,1,1,1,7.469762325286865,0.05080011859536171,1.0619194507598877
34,0,1,69,19,0,0,1,1,1,19.252084732055664,0.08062399178743362,1.1293389797210693
35,0,0,44,19,1,1,1,1,1,4.358716011047363,0.05483628436923027,1.0370577573776245
36,0,0,50,25,0,0,1,1,1,6.39784574508667,0.025082562118768692,0.9941406846046448
37,0,0,57,12,0,0,1,1,1,19.40541648864746,0.016904501244425774,1.0184547901153564
38,0,0,15,8,1,1,1,1,1,3.324737548828125,0.04932612553238869,0.9736156463623047
39,0,0,13,8,1,1,1,1,1,4.853750228881836,0.01575308106839657,1.03638756275177
40,0,0,42,21,0,0,1,1,1,6.466274261474609,0.04588223993778229,1.0647130012512207
41,0,0,9,23,0,0,1,1,1,8.055795669555664,0.062024638056755066,0.9633393883705139
42,0,0,54,22,0,0,1,1,1,7.2414326667785645,0.09364250302314758,1.1459619998931885
43,0,1,20,25,0,0,1,1,1,5.4210004806518555,0.09652465581893921,0.9511439800262451
44,0,0,34,16,0,0,1,1,1,9.088546752929688,0.04514256864786148,1.0842387676239014
45,0,0,6,12,0,0,1,1,1,11.159210205078125,0.03931792825460434,1.0124919414520264
46,0,1,63,23,0,0,1,1,1,15.726751327514648,0.05123663693666458,1.0774147510528564
47,0,0,37,16,1,1,1,1,1,4.907815456390381,0.035170167684555054,1.0313019752502441
48,0,0,16,16,0,0,1,1,1,7.394681930541992,0.047584615647792816,0.966636061668396
49,0,0,5,24,0,0,1,1,1,7.122464179992676,0.06167313829064369,0.9718522429466248
50,0,1,27,12,0,0,1,1,1,9.946648597717285,0.01796807162463665,1.0453970432281494
51,0,1,72,19,0,0,1,1,1,13.501358985900879,0.018037209287285805,0.997258186340332
52,0,0,42,16,0,0,1,1,1,6.798572540283203,0.04217714071273804,1.0800827741622925
53,0,1,29,25,0,0,1,1,1,8.853344917297363,0.029218735173344612,1.0447431802749634
54,0,1,22,11,0,0,1,1,1,12.518912315368652,0.020519409328699112,1.088033676147461
55,0,1,70,16,0,0,1,1,1,16.367839813232422,0.019881634041666985,1.0454151630401611
56,0,1,23,8,0,0,1,1,1,10.357906341552734,0.018189754337072372,1.0384265184402466
57,0,0,53,16,0,0,1,1,1,14.816784858703613,0.041513536125421524,1.0612095594406128
58,0,1,20,21,0,0,1,1,1,7.174862384796143,0.061856191605329514,0.9567866921424866
59,0,1,67,14,0,0,1,1,1,8.19298267364502,0.017835592851042747,0.9905006885528564
60,0,0,16,14,0,0,1,1,1,9.466958045959473,0.028062772005796432,1.0684540271759033
61,0,1,66,8,0,0,1,1,1,20.27627182006836,0.02850276231765747,1.056303858757019
62,0,1,69,9,0,0,1,1,1,15.182439804077148,0.047220028936862946,1.0863337516784668
63,0,0,58,10,0,0,1,1,1,20.036605834960938,0.0390433631837368,1.0654758214950562
64,0,1,65,13,0,0,1,1,1,9.35703182220459,0.01599741168320179,0.9903408885002136
65,0,0,7,11,0,0,1,1,1,5.31157112121582,0.02707279846072197,1.053907036781311
66,0,0,40,18,1,1,1,1,1,3.0894482135772705,0.03668029606342316,1.0331631898880005
67,0,0,7,14,1,1,1,1,1,2.745518684387207,0.04694394767284393,0.9796995520591736
68,0,1,20,19,0,0,1,1,1,8.924413681030273,0.030797019600868225,1.0546320676803589
69,0,1,19,22,0,0,1,1,1,5.882218837738037,0.052818235009908676,1.0304936170578003
70,0,0,6,9,0,0,1,1,1,7.587457656860352,0.0271637961268425,1.0391327142715454
71,0,1,20,24,1,1,1,1,1,4.737136363983154,0.07497622072696686,0.9802865982055664
72,0,0,3,13,0,0,1,1,1,11.369794845581055,0.02527441829442978,1.0533509254455566
73,0,1,72,8,0,0,1,1,1,14.80663776397705,0.01018390990793705,1.0352054834365845
74,0,0,2,25,0,0,1,1,1,13.672805786132812,0.0811239629983902,0.9989438652992249
75,0,0,7,10,0,0,1,1,1,6.764087677001953,0.03612832352519035,1.0548195838928223
76,0,1,68,8,0,0,1,1,1,12.814957618713379,0.02986091747879982,1.048288106918335
77,0,0,40,15,0,0,1,1,1,7.804243564605713,0.05981936678290367,1.0607569217681885
78,0,0,35,21,0,0,1,1,1,12.572307586669922,0.055534787476062775,1.140001893043518
79,0,1,64,14,0,0,1,1,1,15.254782676696777,0.028998199850320816,1.0431474447250366
80,0,0,49,20,0,0,1,1,1,5.271039009094238,0.043566446751356125,1.0672210454940796
81,0,0,43,23,0,0,1,1,1,6.6963911056518555,0.024119749665260315,1.0102348327636719
82,0,1,21,25,0,0,1,1,1,6.664543151855469,0.050102945417165756,0.9895974397659302
83,0,1,73,16,0,0,1,1,1,15.914475440979004,0.06678453832864761,1.0938087701797485
84,0,1,30,24,0,0,1,1,1,11.09412670135498,0.04016312584280968,1.1150931119918823
85,0,1,73,22,0,0,1,1,1,8.218838691711426,0.026853758841753006,1.1459107398986816
86,0,1,22,20,1,1,1,1,1,4.841865062713623,0.037349049001932144,1.0410245656967163
87,0,1,64,19,0,0,1,1,1,9.31322956085205,0.02719937264919281,1.0209351778030396
88,0,0,43,8,1,1,1,1,1,4.646778106689453,0.025552408769726753,1.0177255868911743
89,0,1,73,13,0,0,1,1,1,18.369150161743164,0.027127962559461594,1.074649453163147
90,0,0,1,17,0,0,1,1,1,10.661262512207031,0.053534846752882004,1.042119026184082
91,0,1,26,11,0,0,1,1,1,5.504150390625,0.047131963074207306,1.0178405046463013
92,0,0,40,16,0,0,1,1,1,8.471145629882812,0.04442550614476204,1.0031887292861938
93,0,1,29,10,0,0,1,1,1,7.07944393157959,0.02158244326710701,1.0611740350723267
94,0,1,65,20,0,0,1,1,1,12.151331901550293,0.03509175777435303,1.0461393594741821
95,0,0,10,9,1,1,1,1,1,4.592747688293457,0.022002847865223885,1.04734206199646
96,0,0,3,17,0,0,1,1,1,9.10865306854248,0.045441143214702606,1.1063597202301025
97,0,1,69,8,0,0,1,1,1,12.022570610046387,0.02620537206530571,1.0368300676345825
98,0,1,19,16,0,0,1,1,1,6.93101167678833,0.026492392644286156,1.0794302225112915
99,0,0,44,10,0,0,1,1,1,5.022151470184326,0.03201176971197128,1.029992938041687
100,0,0,4,25,0,0,1,1,1,6.104097366333008,0.06468367576599121,1.0378477573394775
101,0,1,20,19,1,1,1,1,1,4.774830341339111,0.05362795665860176,0.9967800974845886
102,0,0,0,11,0,0,1,1,1,5.142166614532471,0.037210941314697266,1.0296080112457275
103,0,1,72,16,0,0,1,1,1,18.072303771972656,0.05175287276506424,1.090877652168274
104,0,1,20,10,0,0,1,1,1,8.776239395141602,0.030134133994579315,1.0783390998840332
105,0,1,31,9,0,0,1,1,1,11.598215103149414,0.024542097002267838,1.0289334058761597
106,0,1,70,10,0,0,1,1,1,17.134122848510742,0.026565926149487495,1.0459705591201782
107,0,0,53,15,0,0,1,1,1,12.752889633178711,0.06361931562423706,1.1425920724868774
108,0,0,40,24,1,1,1,1,1,3.397660255432129,0.06562335044145584,0.9682284593582153
109,0,1,70,13,0,0,1,1,1,9.793590545654297,0.016542522236704826,1.016217827796936
110,0,0,38,13,0,0,1,1,1,5.996301174163818,0.03621603548526764,1.0393071174621582
111,0,0,61,21,0,0,1,1,1,20.804475784301758,0.04687762260437012,1.0924659967422485
112,0,0,41,11,0,0,1,1,1,5.718667507171631,0.03253277391195297,0.9869533181190491
113,0,1,29,12,0,0,1,1,1,12.519556045532227,0.046874482184648514,1.0252511501312256
114,0,1,27,9,0,0,1,1,1,10.057997703552246,0.023042932152748108,1.0525543689727783
115,0,1,70,18,0,0,1,1,1,5.734498500823975,0.014353577978909016,1.0084095001220703
