candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,1,37,11,0,0,1,1,1,8.982147216796875,0.041445571929216385,1.0122768878936768
1,0,1,78,16,0,0,1,1,1,11.039199829101562,0.024657243862748146,1.0449848175048828
2,0,1,32,12,0,0,1,1,1,5.876870155334473,0.013350218534469604,0.9715777039527893
3,0,0,58,22,0,0,1,1,1,11.832253456115723,0.059465862810611725,1.0633398294448853
4,0,0,11,12,0,0,1,1,1,9.613691329956055,0.025797134265303612,0.9946379661560059
5,0,0,0,19,0,0,1,1,1,6.812407970428467,0.06726567447185516,1.1019713878631592
6,0,1,78,14,0,0,1,1,1,13.701245307922363,0.021844428032636642,1.0772433280944824
7,0,0,71,19,0,0,1,1,1,15.801517486572266,0.04157806560397148,0.9658817052841187
8,0,0,64,20,0,0,1,1,1,12.434687614440918,0.019989293068647385,1.0094513893127441
9,0,0,23,23,0,0,1,1,1,8.285233497619629,0.01488660741597414,0.9745549559593201
10,0,0,13,18,0,0,1,1,1,7.611464023590088,0.023189488798379898,1.0324139595031738
11,0,0,4,16,0,0,1,1,1,6.326313018798828,0.04075143113732338,0.9890731573104858
12,0,0,4,18,0,0,1,1,1,7.295151710510254,0.03764113783836365,1.0423424243927002
13,0,0,69,10,0,0,1,1,1,15.364619255065918,0.03388626500964165,0.9610857367515564
14,0,1,81,14,0,0,1,1,1,9.170428276062012,0.016546618193387985,1.0465112924575806
15,0,0,50,9,0,0,1,1,1,8.83586597442627,0.02348417043685913,0.9789254665374756
16,0,1,76,18,0,0,1,1,1,15.385322570800781,0.09293082356452942,0.9407348036766052
17,0,1,81,17,0,0,1,1,1,11.302556991577148,0.050191931426525116,1.0417262315750122
18,0,0,67,15,0,0,1,1,1,8.3463134765625,0.02493046596646309,0.9813157320022583
19,0,1,33,22,0,0,1,1,1,5.794337749481201,0.046146661043167114,0.9324772357940674
20,0,1,40,9,0,0,1,1,1,13.420392990112305,0.03256053850054741,1.0446892976760864
21,0,1,79,24,0,0,1,1,1,12.284876823425293,0.0706559345126152,1.108233094215393
22,0,0,15,8,1,1,1,1,1,4.251936435699463,0.021148858591914177,0.9857649803161621
23,0,1,79,23,0,0,1,1,1,12.882563591003418,0.022652167826890945,1.038628101348877
24,0,0,15,15,0,0,1,1,1,5.835022926330566,0.035247039049863815,0.9558483362197876
25,0,1,80,24,0,0,1,1,1,9.049464225769043,0.057519443333148956,1.1370749473571777
26,0,1,77,21,0,0,1,1,1,9.024752616882324,0.033099520951509476,1.0147796869277954
27,0,0,8,23,0,0,1,1,1,12.253408432006836,0.06673551350831985,1.0389654636383057
28,0,1,31,15,1,1,1,1,1,4.534275531768799,0.03855885937809944,0.9299797415733337
29,0,0,25,11,0,0,1,1,1,13.498834609985352,0.02080928348004818,0.9854841232299805
30,0,0,45,22,0,0,1,1,1,5.93907356262207,0.023028314113616943,0.958476185798645
31,0,1,38,19,0,0,1,1,1,5.726352691650391,0.0909014344215393,1.0436676740646362
32,0,0,21,8,0,0,1,1,1,7.1983418464660645,0.015533707104623318,0.9799067974090576
33,0,0,43,20,0,0,1,1,1,11.690692901611328,0.056575510650873184,1.0218262672424316
34,0,0,53,23,0,0,1,1,1,10.890117645263672,0.046126559376716614,1.0344293117523193
