candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,19,23,0,0,1,1,1,15.793120384216309,0.04940987378358841,1.024524211883545
1,0,0,18,16,0,0,1,1,1,8.652021408081055,0.01887165568768978,0.9625305533409119
2,0,1,71,25,0,0,1,1,1,6.672156810760498,0.04708627611398697,1.0852831602096558
3,0,1,69,10,1,1,1,1,1,3.046276569366455,0.0191089678555727,1.0555497407913208
4,0,0,39,22,0,0,1,1,1,11.453563690185547,0.04530472680926323,1.1000356674194336
5,0,0,8,8,1,1,1,1,1,1.2785887718200684,0.02322313003242016,1.0046327114105225
6,0,1,31,23,0,0,1,1,1,11.54475212097168,0.02408057451248169,1.0007270574569702
7,0,1,24,14,0,0,1,1,1,14.391934394836426,0.0359141007065773,0.9519440531730652
8,0,1,26,17,0,0,1,1,1,11.812233924865723,0.021101150661706924,0.9792245030403137
9,0,1,61,23,0,0,1,1,1,14.832527160644531,0.054825540632009506,1.110154628753662
10,0,0,15,16,0,0,1,1,1,13.094999313354492,0.03392784297466278,1.0219885110855103
11,0,1,34,19,0,0,1,1,1,6.89258337020874,0.024777691811323166,1.016556739807129
12,0,1,33,11,0,0,1,1,1,12.97407341003418,0.049604129046201706,1.0423637628555298
13,0,0,47,15,0,0,1,1,1,12.856735229492188,0.04343977943062782,1.0251801013946533
14,0,1,35,25,0,0,1,1,1,11.525594711303711,0.10169059038162231,0.9573193192481995
15,0,1,25,10,0,0,1,1,1,11.165735244750977,0.029125109314918518,1.000859022140503
16,0,0,11,8,0,0,1,1,1,9.167266845703125,0.035230811685323715,0.9560357332229614
17,0,0,52,18,0,0,1,1,1,6.875749588012695,0.04682821035385132,0.9782204031944275
18,0,1,71,9,0,0,1,1,1,5.721972942352295,0.030065761879086494,1.0425598621368408
19,0,1,37,25,0,0,1,1,1,9.12230110168457,0.0480475127696991,1.0491902828216553
20,0,1,69,20,1,1,1,1,1,4.656549453735352,0.020853016525506973,1.0769367218017578
21,0,1,32,20,0,0,1,1,1,7.009640693664551,0.025891507044434547,0.9452909827232361
22,0,0,43,13,0,0,1,1,1,6.9252190589904785,0.0421166867017746,1.020028829574585
23,0,0,52,10,0,0,1,1,1,12.625895500183105,0.034434933215379715,1.0286258459091187
24,0,1,37,20,0,0,1,1,1,9.090537071228027,0.034962497651576996,0.9947178363800049
25,0,1,33,13,0,0,1,1,1,14.59871768951416,0.016739673912525177,0.982020914554596
26,0,0,41,24,0,0,1,1,1,10.07932186126709,0.033048298209905624,1.0757701396942139
27,0,0,55,15,0,0,1,1,1,6.915709972381592,0.03980158641934395,1.0157331228256226
28,0,1,68,19,0,0,1,1,1,6.272599697113037,0.015279483050107956,0.9861800670623779
29,0,1,24,8,0,0,1,1,1,7.804923057556152,0.030504565685987473,0.9329304099082947
30,0,1,61,18,0,0,1,1,1,9.127583503723145,0.03499713912606239,1.0349162817001343
31,0,1,38,25,0,0,1,1,1,16.558801651000977,0.04245131462812424,1.0212604999542236
32,0,0,10,13,1,1,1,1,1,2.227187156677246,0.04091736301779747,1.0110498666763306
33,0,0,42,23,0,0,1,1,1,6.427877426147461,0.03718886896967888,1.053253173828125
34,0,1,70,9,1,1,1,1,1,3.705662488937378,0.019062256440520287,1.0596674680709839
35,0,0,48,13,0,0,1,1,1,5.303285121917725,0.03583819046616554,1.040156602859497
36,0,1,64,8,0,0,1,1,1,7.893203258514404,0.028856933116912842,0.9808763861656189
37,0,0,46,11,0,0,1,1,1,12.128211975097656,0.02527274750173092,1.0338077545166016
38,0,1,27,14,0,0,1,1,1,10.34218692779541,0.03662724420428276,0.9756515026092529
39,0,0,8,13,1,1,1,1,1,3.810323476791382,0.04657373204827309,1.0118796825408936
40,0,1,32,19,0,0,1,1,1,9.414347648620605,0.05284923315048218,0.9130389094352722
41,0,1,35,23,0,0,1,1,1,7.677131652832031,0.022140465676784515,1.0587562322616577
42,0,0,16,17,0,0,1,1,1,14.457218170166016,0.029125086963176727,0.965325653553009
43,0,0,15,13,0,0,1,1,1,10.233633041381836,0.020534388720989227,0.9702603220939636
44,0,1,71,19,0,0,1,1,1,9.633824348449707,0.024476801976561546,1.026013731956482
45,0,1,30,10,0,0,1,1,1,16.590656280517578,0.03624517470598221,0.9536310434341431
46,0,0,8,12,1,1,1,1,1,2.7177727222442627,0.04385121911764145,1.008486270904541
47,0,1,36,11,0,0,1,1,1,17.93029022216797,0.02657146006822586,1.0389760732650757
48,0,0,20,15,0,0,1,1,1,19.727054595947266,0.027057325467467308,0.9466053247451782
49,0,0,56,14,0,0,1,1,1,6.6629180908203125,0.05458163842558861,1.094795823097229
50,0,0,22,15,0,0,1,1,1,13.86794662475586,0.027037471532821655,0.954740583896637
51,0,0,60,20,0,0,1,1,1,6.4979658126831055,0.029889464378356934,0.9880664348602295
52,0,0,8,21,1,1,1,1,1,1.693263053894043,0.04978056252002716,0.9495270252227783
53,0,0,11,23,1,1,1,1,1,4.980823993682861,0.05897019803524017,0.9323188662528992
54,0,0,51,22,0,0,1,1,1,6.423654556274414,0.04719531536102295,1.0737075805664062
55,0,1,68,20,0,0,1,1,1,8.955450057983398,0.015491124242544174,0.9878644347190857
56,0,1,33,19,0,0,1,1,1,21.272233963012695,0.056882094591856,0.942898154258728
57,0,0,57,11,0,0,1,1,1,6.131440162658691,0.02568620629608631,1.0440545082092285
58,0,1,67,9,0,0,1,1,1,6.417351722717285,0.014078579843044281,1.0029276609420776
59,0,0,48,9,0,0,1,1,1,11.694798469543457,0.02500072680413723,1.0259530544281006
60,0,1,34,18,0,0,1,1,1,14.341249465942383,0.03304028883576393,0.9959053993225098
61,0,0,17,15,0,0,1,1,1,16.780059814453125,0.035834889858961105,0.9277500510215759
62,0,0,0,18,1,1,1,1,1,1.6850022077560425,0.061455655843019485,0.9900198578834534
63,0,1,35,14,0,0,1,1,1,9.224349975585938,0.018209408968687057,1.0265237092971802
64,0,1,29,15,0,0,1,1,1,13.789650917053223,0.02637767232954502,1.042026162147522
65,0,1,28,9,0,0,1,1,1,8.221026420593262,0.02009417675435543,0.9840913414955139
66,0,0,19,20,0,0,1,1,1,9.399014472961426,0.026860227808356285,0.9651390314102173
67,0,0,48,17,0,0,1,1,1,11.578248977661133,0.038244690746068954,1.073154330253601
68,0,1,67,25,1,1,1,1,1,4.146662712097168,0.024481652304530144,1.0387934446334839
69,0,1,28,21,0,0,1,1,1,18.739654541015625,0.02562994696199894,0.952562689781189
70,0,0,60,22,0,0,1,1,1,16.264490127563477,0.060547854751348495,1.0824105739593506
71,0,0,48,23,0,0,1,1,1,9.430556297302246,0.03753392770886421,1.0843915939331055
72,0,0,14,9,0,0,1,1,1,9.411932945251465,0.029405340552330017,0.964206337928772
73,0,0,40,23,0,0,1,1,1,15.223414421081543,0.031995926052331924,1.0971051454544067
74,0,1,31,15,0,0,1,1,1,12.395310401916504,0.01725667528808117,1.0171465873718262
75,0,0,4,23,0,0,1,1,1,8.153421401977539,0.07429015636444092,1.146727442741394
76,0,1,25,10,0,0,1,1,1,22.309972763061523,0.04404262825846672,0.9280803799629211
77,0,0,40,25,0,0,1,1,1,11.679112434387207,0.03717724233865738,1.0074174404144287
78,0,1,25,17,0,0,1,1,1,13.33072280883789,0.06221707537770271,0.919833242893219
79,0,0,55,15,0,0,1,1,1,6.79463529586792,0.036631010472774506,1.058367133140564
80,0,1,28,12,0,0,1,1,1,15.523869514465332,0.02626204304397106,1.0267062187194824
81,0,1,24,21,0,0,1,1,1,8.143634796142578,0.021195411682128906,0.9818127751350403
82,0,1,29,17,0,0,1,1,1,8.52256965637207,0.07433722168207169,0.8899258375167847
83,0,0,20,17,0,0,1,1,1,16.216659545898438,0.019638370722532272,0.9858753681182861
84,0,0,39,15,0,0,1,1,1,15.614317893981934,0.0384242907166481,1.1151838302612305
85,0,0,48,16,0,0,1,1,1,15.09837818145752,0.044527072459459305,1.0183757543563843
86,0,0,5,11,1,1,1,1,1,1.2862062454223633,0.046586573123931885,0.9663861393928528
87,0,1,29,12,0,0,1,1,1,11.286949157714844,0.017401840537786484,1.0013508796691895
88,0,0,40,16,0,0,1,1,1,10.10755729675293,0.024214738979935646,1.0393184423446655
89,0,0,2,15,1,1,1,1,1,2.9745209217071533,0.0409465953707695,1.0141464471817017
90,0,1,61,10,0,0,1,1,1,7.196942329406738,0.032420046627521515,0.9959465265274048
91,0,0,42,20,0,0,1,1,1,6.40480375289917,0.01858586259186268,1.013054609298706
92,0,0,12,19,0,0,1,1,1,5.175104141235352,0.047844287008047104,0.9424832463264465
93,0,1,64,21,0,0,1,1,1,5.769542217254639,0.04602658003568649,0.9271164536476135
94,0,0,6,13,1,1,1,1,1,1.0311411619186401,0.04191653057932854,1.0322527885437012
95,0,0,15,21,0,0,1,1,1,9.22747802734375,0.050936102867126465,0.9241768717765808
96,0,0,8,20,1,1,1,1,1,3.374178409576416,0.04067281633615494,1.0183930397033691
