candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,48,22,0,0,1,1,1,8.300341606140137,0.04470890387892723,1.050465703010559
1,0,1,38,15,0,0,1,1,1,17.570894241333008,0.029568806290626526,1.004388689994812
2,0,0,14,18,0,0,1,1,1,10.577974319458008,0.02884153462946415,0.9852697849273682
3,0,1,34,21,0,0,1,1,1,13.820321083068848,0.03201259672641754,0.9631925225257874
4,0,0,32,24,0,0,1,1,1,15.41470718383789,0.03852859139442444,1.0378096103668213
5,0,1,72,19,0,0,1,1,1,10.449549674987793,0.020433969795703888,1.055516242980957
6,0,0,42,12,0,0,1,1,1,16.92656135559082,0.02244989015161991,1.021175503730774
7,0,1,37,8,0,0,1,1,1,17.826461791992188,0.02064315788447857,1.010878086090088
8,0,1,73,10,0,0,1,1,1,12.03321647644043,0.03489056974649429,1.0641390085220337
9,0,1,37,18,0,0,1,1,1,18.591398239135742,0.02525462955236435,1.0080102682113647
10,0,0,13,15,0,0,1,1,1,10.892702102661133,0.03508152440190315,0.973045825958252
11,0,0,1,14,0,0,1,1,1,11.95475959777832,0.03977343812584877,1.1073970794677734
12,0,1,33,18,0,0,1,1,1,15.712991714477539,0.027225175872445107,1.0196340084075928
13,0,1,37,20,0,0,1,1,1,16.625301361083984,0.06000250205397606,1.0600695610046387
14,0,0,48,9,0,0,1,1,1,7.40347957611084,0.02687849849462509,1.0272220373153687
15,0,1,72,21,0,0,1,1,1,12.088738441467285,0.02156202308833599,1.030946969985962
16,0,0,49,10,0,0,1,1,1,6.342520713806152,0.038498297333717346,0.9709280133247375
17,0,0,50,15,0,0,1,1,1,10.7204008102417,0.04313961789011955,0.9318698644638062
18,0,0,50,21,0,0,1,1,1,10.900959968566895,0.09999222308397293,1.1370364427566528
19,0,1,73,24,0,0,1,1,1,19.120044708251953,0.06284604221582413,1.081752896308899
20,0,0,46,15,0,0,1,1,1,11.56807804107666,0.044558219611644745,0.9455272555351257
21,0,1,36,23,0,0,1,1,1,17.42694091796875,0.04141572490334511,1.0321611166000366
22,0,0,65,9,0,0,1,1,1,7.285736560821533,0.023646315559744835,1.0723519325256348
23,0,1,36,25,0,0,1,1,1,16.447214126586914,0.052396196871995926,1.0540884733200073
24,0,1,39,14,0,0,1,1,1,22.904863357543945,0.02512475661933422,1.0221295356750488
25,0,0,3,12,0,0,1,1,1,10.126152992248535,0.03646724298596382,1.0265121459960938
26,0,0,26,16,0,0,1,1,1,7.537878513336182,0.018050450831651688,0.9653564095497131
27,0,0,63,23,0,0,1,1,1,7.304723262786865,0.020982636138796806,1.0584321022033691
28,0,1,72,19,0,0,1,1,1,11.72779655456543,0.04753900319337845,1.0331964492797852
29,0,1,36,11,0,0,1,1,1,20.203325271606445,0.03969455882906914,1.03297758102417
30,0,1,37,16,0,0,1,1,1,14.326858520507812,0.047979433089494705,1.0552059412002563
31,0,1,36,14,0,0,1,1,1,19.94572639465332,0.01731179468333721,0.9720386266708374
32,0,0,54,10,1,1,1,1,1,4.644828796386719,0.03346918150782585,1.060505986213684
33,0,0,52,14,0,0,1,1,1,6.159084796905518,0.042252976447343826,1.0018466711044312
34,0,1,71,14,0,0,1,1,1,12.176103591918945,0.017034607008099556,1.0385363101959229
35,0,0,18,13,0,0,1,1,1,8.462151527404785,0.031954068690538406,0.9831335544586182
36,0,1,34,24,0,0,1,1,1,14.924883842468262,0.02073950134217739,1.0264461040496826
37,0,1,37,11,0,0,1,1,1,17.662405014038086,0.01640516147017479,0.9951579570770264
38,0,1,33,24,0,0,1,1,1,19.08660888671875,0.03580939769744873,1.0222982168197632
39,0,1,39,17,0,0,1,1,1,16.250900268554688,0.026303967460989952,1.0063889026641846
40,0,0,2,17,0,0,1,1,1,16.347625732421875,0.060482561588287354,1.1806012392044067
41,0,1,35,20,0,0,1,1,1,23.329509735107422,0.02029022015631199,1.0211008787155151
42,0,1,39,23,0,0,1,1,1,13.683601379394531,0.027798499912023544,1.0491974353790283
43,0,0,7,10,0,0,1,1,1,13.05593490600586,0.04806267470121384,1.086500644683838
44,0,1,71,16,0,0,1,1,1,12.96405029296875,0.05572407692670822,1.112599492073059
45,0,0,67,15,0,0,1,1,1,8.466048240661621,0.03581573814153671,1.0385299921035767
46,0,0,64,9,0,0,1,1,1,6.727650165557861,0.016113175079226494,1.056571125984192
47,0,1,35,17,0,0,1,1,1,25.216873168945312,0.017309123650193214,0.9979775547981262
48,0,1,72,18,0,0,1,1,1,8.551258087158203,0.025340093299746513,1.0733240842819214
49,0,0,22,23,0,0,1,1,1,13.96040153503418,0.034681446850299835,0.9512506723403931
50,0,0,49,13,0,0,1,1,1,13.28821849822998,0.0555051825940609,0.9625231027603149
51,0,1,37,21,0,0,1,1,1,18.724029541015625,0.037273284047842026,1.0470019578933716
52,0,1,34,22,0,0,1,1,1,13.944225311279297,0.07063329964876175,0.9475441575050354
53,0,0,59,23,1,1,1,1,1,3.7871110439300537,0.03096507117152214,1.0912203788757324
54,0,0,21,13,0,0,1,1,1,5.44391393661499,0.01762370392680168,1.002740740776062
55,0,0,11,22,0,0,1,1,1,18.802980422973633,0.029490020126104355,1.0129027366638184
56,0,0,44,23,0,0,1,1,1,17.100364685058594,0.060331765562295914,1.0791456699371338
57,0,1,38,15,0,0,1,1,1,18.143653869628906,0.020186321809887886,1.000170350074768
58,0,1,72,21,0,0,1,1,1,7.555415630340576,0.038414135575294495,1.0275176763534546
59,0,0,44,14,0,0,1,1,1,22.868370056152344,0.02582896128296852,0.993191659450531
60,0,0,25,22,0,0,1,1,1,5.56767463684082,0.020830510184168816,1.0227819681167603
61,0,0,53,11,1,1,1,1,1,4.25490140914917,0.04017047956585884,1.0557889938354492
62,0,0,26,24,1,1,1,1,1,4.660798072814941,0.017245568335056305,1.0112119913101196
63,0,1,35,16,0,0,1,1,1,18.040935516357422,0.012598762288689613,0.9884675741195679
64,0,0,27,15,0,0,1,1,1,10.866050720214844,0.013340282253921032,0.9839648604393005
65,0,1,34,22,0,0,1,1,1,17.737903594970703,0.014654331840574741,0.9823757410049438
66,0,0,51,23,0,0,1,1,1,12.711288452148438,0.061251331120729446,1.095629096031189
67,0,1,39,15,0,0,1,1,1,19.815542221069336,0.02197793871164322,1.0077393054962158
68,0,1,36,25,0,0,1,1,1,19.742441177368164,0.06371968239545822,1.0778801441192627
69,0,0,68,19,0,0,1,1,1,6.7202019691467285,0.048172492533922195,1.0999106168746948
70,0,0,41,15,0,0,1,1,1,14.4287748336792,0.03709884732961655,1.0689400434494019
71,0,0,30,10,0,0,1,1,1,15.031601905822754,0.019818274304270744,0.9733308553695679
72,0,0,20,24,0,0,1,1,1,6.66262149810791,0.02844912000000477,1.0464359521865845
73,0,1,36,8,0,0,1,1,1,18.753376007080078,0.016114452853798866,0.9995403289794922
74,0,0,60,25,0,0,1,1,1,7.313149929046631,0.04950103163719177,1.1032885313034058
75,0,1,72,11,0,0,1,1,1,16.981721878051758,0.026957688853144646,1.0490620136260986
76,0,0,20,25,0,0,1,1,1,7.071581840515137,0.01652560755610466,1.0173264741897583
77,0,1,33,22,0,0,1,1,1,18.544715881347656,0.04884085804224014,0.9506484270095825
78,0,0,18,16,1,1,1,1,1,4.9511919021606445,0.022805867716670036,1.0285050868988037
79,0,0,42,19,0,0,1,1,1,20.3555965423584,0.05620528385043144,1.055022954940796
80,0,0,6,25,0,0,1,1,1,11.512321472167969,0.02976965345442295,1.0296980142593384
81,0,0,4,18,0,0,1,1,1,13.671015739440918,0.04242120310664177,1.1024950742721558
82,0,1,36,9,0,0,1,1,1,14.60533618927002,0.013903701677918434,0.9922406673431396
83,0,1,39,21,0,0,1,1,1,15.772839546203613,0.01275644451379776,0.9888659715652466
84,0,0,0,14,0,0,1,1,1,15.396918296813965,0.042360734194517136,1.2018296718597412
85,0,1,39,17,0,0,1,1,1,16.64325523376465,0.018446238711476326,1.0361779928207397
86,0,0,70,18,0,0,1,1,1,11.291191101074219,0.01650986261665821,1.0294526815414429
87,0,0,18,22,0,0,1,1,1,5.144834518432617,0.028816362842917442,0.972202479839325
88,0,1,34,11,0,0,1,1,1,17.935640335083008,0.022941797971725464,0.9593241214752197
89,0,0,19,11,0,0,1,1,1,6.892977714538574,0.015172786079347134,1.0212701559066772
90,0,0,28,13,0,0,1,1,1,5.981755256652832,0.019888756796717644,1.015089511871338
91,0,0,68,10,0,0,1,1,1,9.146434783935547,0.013509374111890793,1.034372091293335
