candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,1,23,16,0,0,1,1,1,25.663265228271484,0.020235992968082428,1.0372098684310913
1,0,1,64,8,0,0,1,1,1,10.980093002319336,0.02004345692694187,1.029575228691101
2,0,0,45,11,0,0,1,1,1,5.657792091369629,0.023322978988289833,1.04239022731781
3,0,1,23,8,0,0,1,1,1,20.402605056762695,0.02975619025528431,1.0457818508148193
4,0,0,12,17,0,0,1,1,1,14.089299201965332,0.03500401973724365,1.0469510555267334
5,0,1,27,21,0,0,1,1,1,22.443035125732422,0.019736051559448242,1.035443663597107
6,0,1,73,14,0,0,1,1,1,19.05427360534668,0.020695986226201057,1.0414633750915527
7,0,1,32,10,0,0,1,1,1,21.688556671142578,0.019761253148317337,1.0360336303710938
8,0,1,21,24,0,0,1,1,1,21.50520133972168,0.04519745707511902,1.062821388244629
9,0,1,32,14,0,0,1,1,1,18.42461395263672,0.03452438488602638,1.0572839975357056
10,0,0,12,8,0,0,1,1,1,19.7221622467041,0.018024859949946404,1.0111037492752075
11,0,0,11,10,0,0,1,1,1,17.921966552734375,0.01847776025533676,1.054641604423523
12,0,1,31,14,0,0,1,1,1,19.56143569946289,0.013121875002980232,1.025596022605896
13,0,0,34,14,0,0,1,1,1,14.556821823120117,0.029766332358121872,1.1358674764633179
14,0,1,73,10,0,0,1,1,1,18.10892677307129,0.014807249419391155,0.9997789263725281
15,0,0,60,15,0,0,1,1,1,6.992185115814209,0.021639999002218246,1.0405681133270264
16,0,0,39,10,0,0,1,1,1,12.663750648498535,0.03400081396102905,1.0190988779067993
17,0,1,20,17,0,0,1,1,1,14.995999336242676,0.024503633379936218,1.0421113967895508
18,0,1,18,23,0,0,1,1,1,19.312152862548828,0.04927249625325203,1.0367867946624756
19,0,1,63,17,1,1,1,1,1,4.842386245727539,0.055863432586193085,0.9270299077033997
20,0,0,53,23,0,0,1,1,1,9.104790687561035,0.049563780426979065,0.9410613179206848
21,0,1,71,12,0,0,1,1,1,15.807867050170898,0.013274647295475006,1.0008267164230347
22,0,0,16,19,0,0,1,1,1,15.207917213439941,0.022160794585943222,1.0510083436965942
23,0,1,73,16,0,0,1,1,1,11.928449630737305,0.04042830690741539,1.0604097843170166
24,0,0,39,15,0,0,1,1,1,9.178153991699219,0.030963657423853874,1.0466926097869873
25,0,0,58,15,1,1,1,1,1,4.972712993621826,0.014974444173276424,1.0019387006759644
26,0,0,44,21,0,0,1,1,1,5.20068883895874,0.0722760483622551,0.9165860414505005
27,0,0,39,14,0,0,1,1,1,7.279342174530029,0.02700762264430523,1.0508697032928467
28,0,1,70,17,0,0,1,1,1,11.675409317016602,0.015856746584177017,1.0390733480453491
29,0,1,64,10,0,0,1,1,1,10.774923324584961,0.008390001021325588,1.0048484802246094
30,0,1,72,18,0,0,1,1,1,13.418612480163574,0.030723683536052704,1.017950177192688
31,0,1,72,22,0,0,1,1,1,15.863786697387695,0.01944885030388832,1.0122153759002686
32,0,1,64,13,0,0,1,1,1,9.456293106079102,0.014273570850491524,1.0163198709487915
33,0,1,21,24,0,0,1,1,1,22.057497024536133,0.0527544766664505,1.0833265781402588
34,0,1,28,20,0,0,1,1,1,21.354454040527344,0.028937488794326782,1.0542546510696411
35,0,1,32,24,0,0,1,1,1,19.987628936767578,0.018329475075006485,0.9964099526405334
36,0,1,21,22,0,0,1,1,1,24.776439666748047,0.01401509903371334,1.0206449031829834
37,0,0,0,16,0,0,1,1,1,19.311504364013672,0.03305842727422714,1.045861840248108
38,0,0,43,20,0,0,1,1,1,5.385851860046387,0.05583980679512024,1.0848878622055054
39,0,0,16,19,0,0,1,1,1,14.633490562438965,0.03462177887558937,0.9650278687477112
40,0,1,65,8,0,0,1,1,1,8.199945449829102,0.0131280068308115,1.013577938079834
41,0,1,24,18,0,0,1,1,1,20.400861740112305,0.0337844043970108,1.0506246089935303
42,0,0,0,25,0,0,1,1,1,14.586236000061035,0.08641380816698074,1.088863730430603
43,0,1,20,10,0,0,1,1,1,20.247697830200195,0.017682380974292755,0.9926692247390747
44,0,0,48,14,0,0,1,1,1,6.196043491363525,0.031926028430461884,1.0364820957183838
45,0,0,42,16,0,0,1,1,1,6.607117652893066,0.02250155247747898,1.0332010984420776
46,0,1,64,25,0,0,1,1,1,9.996807098388672,0.010678615421056747,1.015946626663208
47,0,0,54,9,0,0,1,1,1,6.890747547149658,0.02230372279882431,0.9900391101837158
48,0,0,7,24,0,0,1,1,1,11.776237487792969,0.04352843388915062,0.9757980108261108
49,0,1,64,25,0,0,1,1,1,12.036212921142578,0.03420017659664154,0.9592118263244629
50,0,1,32,17,0,0,1,1,1,17.314298629760742,0.026017816737294197,1.071325659751892
51,0,1,71,17,0,0,1,1,1,9.0419340133667,0.012692684307694435,1.0003610849380493
52,0,0,40,17,0,0,1,1,1,15.343384742736816,0.03147032856941223,1.0557061433792114
53,0,0,35,17,0,0,1,1,1,10.787720680236816,0.05266619473695755,1.150333046913147
54,0,0,36,21,0,0,1,1,1,7.899031639099121,0.04864700138568878,1.0067429542541504
55,0,0,60,11,1,1,1,1,1,3.7844204902648926,0.02127896621823311,0.9833478927612305
56,0,0,44,19,1,1,1,1,1,4.64224100112915,0.03523126617074013,1.049145221710205
57,0,1,70,23,0,0,1,1,1,11.070396423339844,0.017943551763892174,0.9899749755859375
58,0,1,18,14,0,0,1,1,1,15.895502090454102,0.025554250925779343,1.0105347633361816
59,0,0,52,19,0,0,1,1,1,12.568655967712402,0.018875334411859512,1.0044348239898682
60,0,0,11,24,0,0,1,1,1,20.768665313720703,0.02009645104408264,1.0097490549087524
61,0,0,40,20,0,0,1,1,1,7.679336071014404,0.054521627724170685,1.080590844154358
62,0,1,71,11,0,0,1,1,1,15.193194389343262,0.013093548826873302,1.0148769617080688
63,0,1,71,17,0,0,1,1,1,13.572270393371582,0.016349678859114647,1.0047847032546997
64,0,1,19,8,0,0,1,1,1,16.997386932373047,0.01706741563975811,1.0275286436080933
65,0,1,70,25,0,0,1,1,1,12.369872093200684,0.0195930153131485,1.0164507627487183
66,0,0,62,12,0,0,1,1,1,12.519218444824219,0.034608736634254456,1.044297456741333
67,0,1,68,17,0,0,1,1,1,15.49293041229248,0.04387524724006653,0.952838122844696
68,0,1,18,9,0,0,1,1,1,8.358804702758789,0.018444566056132317,1.0112136602401733
69,0,1,18,23,0,0,1,1,1,21.32486343383789,0.025918900966644287,1.0246244668960571
70,0,0,5,22,0,0,1,1,1,27.08489418029785,0.04463205486536026,1.068860411643982
71,0,0,7,22,0,0,1,1,1,16.96585464477539,0.07274617999792099,1.1110938787460327
72,0,1,70,20,0,0,1,1,1,9.424004554748535,0.04565688222646713,0.9468708634376526
73,0,1,65,12,0,0,1,1,1,10.156645774841309,0.011194746010005474,1.0197759866714478
74,0,0,47,24,0,0,1,1,1,6.266698837280273,0.049706604331731796,0.9673283100128174
75,0,0,43,11,1,1,1,1,1,4.561842441558838,0.024548618122935295,1.0440664291381836
76,0,1,72,10,0,0,1,1,1,20.26418113708496,0.023151108995079994,1.0364474058151245
77,0,0,56,13,0,0,1,1,1,9.690486907958984,0.01075262762606144,1.0163439512252808
78,0,1,29,8,0,0,1,1,1,21.642440795898438,0.022429045289754868,1.0412163734436035
79,0,0,8,12,0,0,1,1,1,9.756756782531738,0.026087705045938492,1.025762915611267
80,0,1,68,12,0,0,1,1,1,12.403580665588379,0.024175887927412987,1.026740312576294
81,0,0,48,15,0,0,1,1,1,6.216216087341309,0.02365655079483986,1.0084552764892578
82,0,0,56,19,0,0,1,1,1,7.998666763305664,0.041194189339876175,0.964570939540863
83,0,0,9,16,0,0,1,1,1,15.061060905456543,0.022918101400136948,1.0163334608078003
84,0,1,20,17,0,0,1,1,1,16.84988021850586,0.021405814215540886,1.0192629098892212
85,0,0,34,23,0,0,1,1,1,18.707015991210938,0.03906267508864403,1.1113693714141846
86,0,0,56,13,0,0,1,1,1,5.171084403991699,0.026526181027293205,0.9709233641624451
87,0,0,61,20,1,1,1,1,1,4.874270915985107,0.026079652830958366,0.986199140548706
88,0,1,20,21,0,0,1,1,1,14.377791404724121,0.03337787091732025,1.010123372077942
89,0,0,11,9,0,0,1,1,1,13.978262901306152,0.025511840358376503,1.0445319414138794
90,0,1,24,11,0,0,1,1,1,23.78412628173828,0.034735895693302155,1.0101885795593262
91,0,0,40,21,0,0,1,1,1,12.079782485961914,0.046428680419921875,1.1359946727752686
92,0,1,70,21,0,0,1,1,1,6.3951826095581055,0.019933264702558517,0.974879264831543
