candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,22,17,0,0,1,1,1,11.875014305114746,0.017369041219353676,0.9976992607116699
1,0,1,32,8,0,0,1,1,1,12.742475509643555,0.02376299537718296,1.0177639722824097
2,0,0,23,19,0,0,1,1,1,10.5174560546875,0.028304876759648323,0.982254683971405
3,0,0,36,13,0,0,1,1,1,13.416763305664062,0.0527242086827755,1.0892856121063232
4,0,0,40,14,0,0,1,1,1,9.367403030395508,0.040624670684337616,1.0436490774154663
5,0,1,61,9,0,0,1,1,1,11.834197044372559,0.03225165978074074,1.0886898040771484
6,0,0,43,11,0,0,1,1,1,10.052666664123535,0.03986971825361252,1.0574862957000732
7,0,1,31,24,0,0,1,1,1,7.1916422843933105,0.03692831099033356,0.9575009942054749
8,0,0,53,24,0,0,1,1,1,12.013321876525879,0.047567058354616165,1.0831340551376343
9,0,1,58,13,0,0,1,1,1,12.48982048034668,0.030278455466032028,1.0769577026367188
10,0,1,60,15,0,0,1,1,1,12.952596664428711,0.03889879584312439,1.111506462097168
11,0,0,49,22,0,0,1,1,1,20.797842025756836,0.07263357192277908,1.1295467615127563
12,0,1,31,13,0,0,1,1,1,13.05639934539795,0.04221417382359505,0.9779754281044006
13,0,0,40,16,0,0,1,1,1,8.573064804077148,0.03995480015873909,1.063355803489685
14,0,0,2,12,0,0,1,1,1,15.617237091064453,0.025079812854528427,1.0070780515670776
15,0,1,61,17,0,0,1,1,1,13.835861206054688,0.03966745734214783,1.0964823961257935
16,0,0,27,19,0,0,1,1,1,12.89526653289795,0.023536860942840576,1.0355613231658936
17,0,0,11,9,0,0,1,1,1,14.561883926391602,0.029979951679706573,1.0177326202392578
18,0,1,63,20,0,0,1,1,1,15.406577110290527,0.015128704719245434,1.0389522314071655
19,0,0,34,24,0,0,1,1,1,8.101655960083008,0.08270997554063797,1.1231070756912231
20,0,0,27,8,0,0,1,1,1,14.659628868103027,0.04065581038594246,0.9794616103172302
21,0,0,43,21,0,0,1,1,1,7.778656482696533,0.05795522779226303,1.139346718788147
22,0,1,61,19,0,0,1,1,1,11.1390962600708,0.02091940864920616,1.0414022207260132
23,0,0,49,18,0,0,1,1,1,15.05884838104248,0.04015960916876793,1.0666344165802002
24,0,1,32,12,0,0,1,1,1,8.409215927124023,0.03358437120914459,0.9816877245903015
25,0,1,59,10,0,0,1,1,1,12.901039123535156,0.030520569533109665,1.0744562149047852
26,0,1,61,18,0,0,1,1,1,14.395490646362305,0.05457065626978874,1.110700011253357
27,0,1,31,8,0,0,1,1,1,12.066075325012207,0.02203543670475483,1.0251286029815674
28,0,1,32,21,0,0,1,1,1,6.813395023345947,0.07734020799398422,1.1029154062271118
29,0,0,39,22,0,0,1,1,1,19.62320899963379,0.03211820125579834,1.0239614248275757
30,0,0,57,19,0,0,1,1,1,16.30377197265625,0.07702222466468811,1.1408623456954956
31,0,1,32,8,0,0,1,1,1,9.717650413513184,0.028773445636034012,1.0518947839736938
32,0,0,5,15,0,0,1,1,1,7.511719226837158,0.04103418067097664,0.9942812919616699
33,0,1,60,10,0,0,1,1,1,9.184052467346191,0.0420314185321331,1.101132869720459
34,0,1,63,14,0,0,1,1,1,13.338109970092773,0.038518354296684265,1.1046228408813477
35,0,0,0,13,0,0,1,1,1,14.391945838928223,0.04338184371590614,1.1409144401550293
36,0,0,46,10,0,0,1,1,1,10.46696662902832,0.0319795235991478,1.0134201049804688
37,0,1,63,25,0,0,1,1,1,12.643879890441895,0.03516281396150589,1.0292551517486572
38,0,0,56,23,0,0,1,1,1,16.7721004486084,0.03938549384474754,1.0837833881378174
39,0,0,13,15,0,0,1,1,1,13.615092277526855,0.02874782867729664,1.0018701553344727
40,0,1,61,16,0,0,1,1,1,16.89041519165039,0.03950667753815651,1.1065483093261719
41,0,0,38,25,0,0,1,1,1,13.159780502319336,0.07052461802959442,1.11611807346344
42,0,0,20,17,0,0,1,1,1,11.126949310302734,0.06691950559616089,0.9111994504928589
43,0,0,15,8,0,0,1,1,1,12.795124053955078,0.026722602546215057,0.9976645708084106
44,0,0,49,18,0,0,1,1,1,12.492653846740723,0.03447892144322395,1.0335057973861694
45,0,0,9,14,0,0,1,1,1,14.315624237060547,0.07119876891374588,0.960269570350647
46,0,1,30,10,0,0,1,1,1,16.1298828125,0.01827506348490715,0.9874111413955688
47,0,1,62,12,0,0,1,1,1,9.668865203857422,0.04136344790458679,1.073058009147644
48,0,1,64,21,0,0,1,1,1,13.944063186645508,0.046952228993177414,1.0981727838516235
49,0,1,30,18,0,0,1,1,1,11.04026985168457,0.032976243644952774,1.0529859066009521
50,0,1,30,16,0,0,1,1,1,15.667855262756348,0.053133536130189896,0.9441484808921814
51,0,0,39,19,0,0,1,1,1,11.388873100280762,0.05682027339935303,1.0863646268844604
52,0,1,64,25,0,0,1,1,1,21.12437629699707,0.10134102404117584,1.164579153060913
53,0,1,60,10,0,0,1,1,1,20.46256446838379,0.027541011571884155,1.0772899389266968
54,0,0,12,15,0,0,1,1,1,13.928023338317871,0.06287863105535507,0.9272689819335938
55,0,1,64,13,0,0,1,1,1,13.828659057617188,0.05150413140654564,1.0902920961380005
56,0,0,52,9,0,0,1,1,1,15.341937065124512,0.04026607424020767,1.0719088315963745
57,0,1,64,15,0,0,1,1,1,12.999900817871094,0.03713914752006531,1.0965988636016846
58,0,1,32,22,0,0,1,1,1,6.678439140319824,0.08411910384893417,0.9330450892448425
59,0,0,25,15,0,0,1,1,1,10.451512336730957,0.04844613000750542,0.9645155668258667
60,0,1,32,14,0,0,1,1,1,12.123958587646484,0.02585318312048912,0.9982463717460632
61,0,1,31,23,0,0,1,1,1,11.973101615905762,0.04292461276054382,1.011131763458252
62,0,0,47,15,0,0,1,1,1,14.411846160888672,0.045865729451179504,1.095051646232605
63,0,0,5,19,0,0,1,1,1,9.132944107055664,0.044743116945028305,1.035501480102539
64,0,0,4,8,0,0,1,1,1,16.43743324279785,0.018448077142238617,1.0285310745239258
65,0,1,62,20,0,0,1,1,1,12.70711612701416,0.056967202574014664,1.1139850616455078
66,0,1,32,20,0,0,1,1,1,11.76503849029541,0.039803385734558105,1.0100314617156982
67,0,0,29,10,0,0,1,1,1,12.927801132202148,0.02842930518090725,0.9824272990226746
68,0,1,30,21,0,0,1,1,1,7.30067253112793,0.07595370709896088,0.9441895484924316
69,0,1,63,18,0,0,1,1,1,18.05879020690918,0.022736093029379845,1.0544233322143555
70,0,1,31,20,0,0,1,1,1,10.334183692932129,0.02503499761223793,1.0086183547973633
71,0,1,62,18,0,0,1,1,1,16.081422805786133,0.03558339178562164,1.0713261365890503
72,0,1,30,21,0,0,1,1,1,12.44123649597168,0.029193256050348282,1.0367542505264282
73,0,1,58,25,0,0,1,1,1,18.62946319580078,0.04618384316563606,1.078649640083313
74,0,0,48,23,0,0,1,1,1,17.197301864624023,0.04737412557005882,1.0749619007110596
75,0,0,24,19,0,0,1,1,1,9.849361419677734,0.07727968692779541,0.8911424279212952
