candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,2,20,0,0,1,1,1,6.695993900299072,0.03717590123414993,1.0409367084503174
1,0,0,12,19,1,1,1,1,1,3.9137840270996094,0.06962087750434875,0.9167619347572327
2,0,0,46,21,1,1,1,1,1,4.280941486358643,0.014905077405273914,1.0177844762802124
3,0,0,39,21,0,0,1,1,1,6.298248767852783,0.02550002932548523,1.0359549522399902
4,0,0,17,10,1,1,1,1,1,1.1480070352554321,0.03739121928811073,0.9546446204185486
5,0,0,41,18,1,1,1,1,1,3.438560962677002,0.023289131000638008,1.0123953819274902
6,0,0,15,23,1,1,1,1,1,2.3477959632873535,0.05492246896028519,0.9525845050811768
7,0,1,63,25,0,0,1,1,1,8.132534980773926,0.02473481185734272,1.06832754611969
8,0,1,52,10,0,0,1,1,1,12.495989799499512,0.022927002981305122,1.0406794548034668
9,0,0,0,19,0,0,1,1,1,12.692346572875977,0.05560934171080589,1.1526845693588257
10,0,0,21,12,1,1,1,1,1,2.140442371368408,0.05030098184943199,0.8942785263061523
11,0,1,51,17,0,0,1,1,1,7.318511009216309,0.03339425474405289,1.0616278648376465
12,0,1,55,9,0,0,1,1,1,13.157949447631836,0.023045692592859268,1.0329824686050415
13,0,1,61,23,0,0,1,1,1,13.097920417785645,0.055929068475961685,1.0910792350769043
14,0,0,6,13,1,1,1,1,1,2.1628546714782715,0.03817063570022583,1.0126911401748657
15,0,0,46,9,1,1,1,1,1,4.08870792388916,0.053111959248781204,1.0928972959518433
16,0,1,53,12,0,0,1,1,1,11.208369255065918,0.021231595426797867,0.9972788095474243
17,0,1,28,14,1,1,1,1,1,1.6205716133117676,0.015275058336555958,0.996562123298645
18,0,0,21,15,1,1,1,1,1,1.6024134159088135,0.028056537732481956,0.937096893787384
19,0,1,27,14,1,1,1,1,1,1.470184326171875,0.030999286100268364,0.973987877368927
20,0,1,27,21,1,1,1,1,1,1.7489302158355713,0.026478780433535576,1.003637433052063
21,0,0,23,9,1,1,1,1,1,2.0571234226226807,0.024052433669567108,0.9954606890678406
22,0,0,34,16,0,0,1,1,1,7.6680192947387695,0.03670115768909454,0.9981520175933838
23,0,0,22,9,1,1,1,1,1,2.0726921558380127,0.016405919566750526,0.9559051990509033
24,0,1,24,16,1,1,1,1,1,1.5027427673339844,0.03366587311029434,0.9211270809173584
25,0,1,54,8,0,0,1,1,1,13.503443717956543,0.02423025853931904,1.030820608139038
26,0,0,48,12,0,0,1,1,1,11.156861305236816,0.04043283313512802,1.0544523000717163
27,0,0,12,13,1,1,1,1,1,2.452986240386963,0.01813390478491783,1.0077141523361206
28,0,0,11,9,1,1,1,1,1,2.666347026824951,0.01926417648792267,1.0180476903915405
29,0,0,42,22,1,1,1,1,1,2.7420413494110107,0.030277865007519722,1.010162591934204
30,0,1,57,14,0,0,1,1,1,13.401915550231934,0.027786914259195328,1.0071266889572144
31,0,0,6,11,1,1,1,1,1,3.378915786743164,0.04922601580619812,0.9776161909103394
32,0,1,24,11,1,1,1,1,1,1.4743266105651855,0.01812283881008625,0.9445785284042358
33,0,0,18,23,1,1,1,1,1,1.3903838396072388,0.03209468722343445,0.9526758790016174
34,0,0,20,22,1,1,1,1,1,2.111635208129883,0.034298479557037354,0.9560409784317017
35,0,1,30,14,1,1,1,1,1,4.445606231689453,0.014647715725004673,1.028598666191101
36,0,0,23,15,0,0,1,1,1,5.407774448394775,0.024888476356863976,0.9398738145828247
37,0,1,29,25,1,1,1,1,1,1.3840515613555908,0.04955880343914032,0.98478764295578
38,0,1,58,24,0,0,1,1,1,13.242270469665527,0.04815290495753288,1.0724784135818481
39,0,1,56,10,0,0,1,1,1,7.533825397491455,0.01361928228288889,1.023390293121338
40,0,1,26,15,1,1,1,1,1,3.0170249938964844,0.05480489134788513,1.005047082901001
41,0,1,63,8,0,0,1,1,1,11.306211471557617,0.02123652957379818,1.0441170930862427
42,0,0,4,22,1,1,1,1,1,1.9166172742843628,0.05663859844207764,0.9859694242477417
43,0,1,49,22,0,0,1,1,1,10.513124465942383,0.03473125770688057,1.0256308317184448
44,0,1,61,25,0,0,1,1,1,12.273327827453613,0.06790929287672043,1.104551911354065
45,0,0,21,16,1,1,1,1,1,2.3990018367767334,0.033466216176748276,0.9898627400398254
46,0,1,49,9,0,0,1,1,1,7.552937030792236,0.025539204478263855,0.983819842338562
47,0,0,39,24,0,0,1,1,1,8.038103103637695,0.029538387432694435,0.9939969182014465
48,0,1,57,12,0,0,1,1,1,8.126978874206543,0.014785155653953552,1.031576156616211
49,0,1,55,23,0,0,1,1,1,13.881012916564941,0.05738169699907303,0.9645898342132568
50,0,1,60,13,0,0,1,1,1,6.1180949211120605,0.017400966957211494,1.022895097732544
51,0,1,50,18,0,0,1,1,1,7.982476711273193,0.0409325510263443,0.9620360732078552
52,0,1,29,20,1,1,1,1,1,1.979687213897705,0.03449145704507828,0.9802943468093872
53,0,0,41,13,0,0,1,1,1,8.373594284057617,0.03402502089738846,1.0069327354431152
