candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,58,8,1,1,1,1,1,4.044523239135742,0.01994292251765728,0.9887028932571411
1,0,1,37,19,0,0,1,1,1,8.625713348388672,0.04067645221948624,1.0384762287139893
2,0,1,33,23,0,0,1,1,1,9.614534378051758,0.054451145231723785,1.0665043592453003
3,0,1,40,17,0,0,1,1,1,9.809764862060547,0.03681917488574982,0.9601144790649414
4,0,1,34,22,0,0,1,1,1,6.525115966796875,0.05247772857546806,1.0612773895263672
5,0,0,43,8,0,0,1,1,1,10.36980152130127,0.0367913655936718,1.053627610206604
6,0,1,37,18,0,0,1,1,1,8.510457992553711,0.06647264212369919,1.0870330333709717
7,0,1,73,19,0,0,1,1,1,11.15830135345459,0.0794595256447792,1.1230255365371704
8,0,1,38,22,0,0,1,1,1,7.571418285369873,0.05054450035095215,1.0593678951263428
9,0,0,49,9,0,0,1,1,1,7.03123664855957,0.030612876638770103,1.0020473003387451
10,0,0,3,18,0,0,1,1,1,7.339964866638184,0.06985369324684143,1.1259191036224365
11,0,1,34,15,0,0,1,1,1,10.652372360229492,0.03448761999607086,1.0385195016860962
12,0,1,35,20,0,0,1,1,1,10.256187438964844,0.02368561550974846,1.015292763710022
13,0,0,63,10,0,0,1,1,1,7.03394889831543,0.0354437492787838,0.9646274447441101
14,0,1,71,19,0,0,1,1,1,11.867935180664062,0.03763148561120033,0.9892640113830566
15,0,1,38,11,0,0,1,1,1,11.685409545898438,0.0497966893017292,1.059727430343628
16,0,0,16,25,1,1,1,1,1,3.7346434593200684,0.030968667939305305,1.0512136220932007
17,0,0,51,25,1,1,1,1,1,3.658442497253418,0.017537949606776237,0.9855284094810486
18,0,1,38,24,0,0,1,1,1,7.696276664733887,0.06198839098215103,1.087247371673584
19,0,0,29,13,1,1,1,1,1,2.4334681034088135,0.031092185527086258,1.054682731628418
20,0,0,42,11,0,0,1,1,1,15.827838897705078,0.03836064040660858,1.0740303993225098
21,0,0,58,17,0,0,1,1,1,5.895121097564697,0.018053025007247925,0.9968163967132568
22,0,0,70,24,0,0,1,1,1,13.77817153930664,0.05193233862519264,1.0572580099105835
23,0,1,39,11,0,0,1,1,1,7.141924858093262,0.016530483961105347,1.0342693328857422
24,0,0,28,10,1,1,1,1,1,3.093276023864746,0.014359606429934502,1.0202604532241821
25,0,0,51,23,1,1,1,1,1,3.984856605529785,0.034073762595653534,0.9864278435707092
26,0,0,22,23,1,1,1,1,1,2.515197992324829,0.049761004745960236,1.09107506275177
27,0,1,40,11,0,0,1,1,1,11.830719947814941,0.04684850201010704,1.0535145998001099
28,0,0,29,8,1,1,1,1,1,4.4176483154296875,0.01523043867200613,1.0208157300949097
29,0,1,39,19,0,0,1,1,1,7.3763298988342285,0.03176404535770416,1.0300167798995972
30,0,0,24,9,1,1,1,1,1,1.4471018314361572,0.025535164400935173,1.0501853227615356
31,0,1,71,20,0,0,1,1,1,16.69953155517578,0.08643484115600586,0.9959004521369934
32,0,1,33,12,0,0,1,1,1,11.581522941589355,0.028796233236789703,0.967829704284668
33,0,0,23,10,1,1,1,1,1,3.196040391921997,0.01283037569373846,1.02034592628479
34,0,0,15,23,0,0,1,1,1,6.529843807220459,0.02163299359381199,0.999830961227417
35,0,0,14,16,1,1,1,1,1,2.948598861694336,0.04057493060827255,1.0595465898513794
36,0,1,35,14,0,0,1,1,1,5.250531196594238,0.07437929511070251,1.0929458141326904
37,0,1,36,11,0,0,1,1,1,9.041476249694824,0.028951609507203102,1.030739188194275
38,0,0,30,17,0,0,1,1,1,7.373879909515381,0.020965125411748886,1.0074914693832397
39,0,1,35,16,0,0,1,1,1,10.140820503234863,0.03167816624045372,1.0365827083587646
40,0,0,58,17,1,1,1,1,1,3.2800722122192383,0.025775650516152382,0.9857478141784668
41,0,1,33,18,0,0,1,1,1,11.23503303527832,0.05053194984793663,1.014131784439087
42,0,1,72,22,0,0,1,1,1,12.543835639953613,0.030323754996061325,1.0433846712112427
43,0,0,9,24,0,0,1,1,1,6.434479713439941,0.06540550291538239,1.101416826248169
44,0,1,72,25,0,0,1,1,1,7.978387832641602,0.045141786336898804,1.09530508518219
45,0,1,37,18,0,0,1,1,1,8.351531028747559,0.0260288305580616,1.0142885446548462
46,0,0,6,15,0,0,1,1,1,7.946996688842773,0.047223981469869614,1.070150375366211
47,0,1,39,9,0,0,1,1,1,7.883145809173584,0.01570492424070835,1.0337942838668823
48,0,1,34,8,0,0,1,1,1,10.23536205291748,0.016852930188179016,1.0065412521362305
49,0,0,7,12,1,1,1,1,1,3.8901007175445557,0.05152846500277519,1.109322428703308
50,0,1,73,21,0,0,1,1,1,12.092809677124023,0.023464340716600418,1.0463358163833618
51,0,1,40,9,0,0,1,1,1,5.935827255249023,0.03642122820019722,1.0392876863479614
52,0,0,5,19,0,0,1,1,1,7.4129557609558105,0.052913568913936615,1.0945738554000854
53,0,0,29,11,1,1,1,1,1,3.767198324203491,0.018659649416804314,1.0557434558868408
54,0,1,34,15,0,0,1,1,1,8.338019371032715,0.014367504976689816,1.004245400428772
55,0,0,19,14,1,1,1,1,1,3.4153783321380615,0.05416875332593918,1.0849435329437256
56,0,0,4,10,0,0,1,1,1,7.149100303649902,0.020594796165823936,1.0239402055740356
57,0,1,39,18,0,0,1,1,1,12.51779556274414,0.018666930496692657,1.0327264070510864
58,0,0,3,10,0,0,1,1,1,12.372674942016602,0.025638673454523087,1.0476469993591309
59,0,0,30,21,0,0,1,1,1,6.450073719024658,0.03272778168320656,0.98467618227005
60,0,0,11,12,1,1,1,1,1,4.420991897583008,0.04860890656709671,1.0641647577285767
61,0,0,29,8,1,1,1,1,1,4.978809356689453,0.04341904819011688,1.078775405883789
62,0,0,61,9,1,1,1,1,1,2.6412737369537354,0.021010803058743477,1.0074536800384521
63,0,1,36,19,0,0,1,1,1,9.99849796295166,0.02613038569688797,0.969929039478302
64,0,0,69,18,0,0,1,1,1,6.284017562866211,0.04704754054546356,0.9590907692909241
65,0,0,27,19,1,1,1,1,1,2.3845982551574707,0.023821422830224037,1.0445420742034912
66,0,1,34,25,0,0,1,1,1,6.090576648712158,0.0677030012011528,1.09255850315094
67,0,1,33,14,0,0,1,1,1,10.791015625,0.016288116574287415,0.9923176169395447
68,0,1,72,11,0,0,1,1,1,11.549991607666016,0.021903548389673233,1.0498133897781372
69,0,0,50,13,1,1,1,1,1,4.466073513031006,0.04257581755518913,0.9559519290924072
70,0,1,35,11,0,0,1,1,1,8.09203815460205,0.016786722466349602,0.9878085851669312
71,0,0,45,10,0,0,1,1,1,10.495843887329102,0.03129618614912033,0.973345160484314
72,0,1,39,9,0,0,1,1,1,7.275276184082031,0.024735664948821068,1.0491522550582886
73,0,0,12,11,1,1,1,1,1,4.107177257537842,0.028755424544215202,1.044753074645996
74,0,0,13,10,1,1,1,1,1,4.2207465171813965,0.024289162829518318,1.0186065435409546
75,0,1,33,21,0,0,1,1,1,11.729059219360352,0.05214199796319008,1.0651406049728394
76,0,0,64,12,1,1,1,1,1,4.688065052032471,0.01882580667734146,1.0074563026428223
77,0,1,33,20,0,0,1,1,1,8.159379005432129,0.05514734610915184,1.073143720626831
78,0,0,17,18,1,1,1,1,1,3.7217390537261963,0.027726197615265846,1.0505603551864624
79,0,1,33,23,0,0,1,1,1,5.618434906005859,0.09290061891078949,1.141262412071228
80,0,1,34,16,1,1,1,1,1,4.8841938972473145,0.020850596949458122,1.0124584436416626
81,0,1,40,19,0,0,1,1,1,8.801950454711914,0.013703953474760056,0.9899019002914429
82,0,0,0,25,0,0,1,1,1,8.373817443847656,0.08447574079036713,1.2798810005187988
83,0,1,35,21,0,0,1,1,1,10.189157485961914,0.00927848368883133,1.0027533769607544
84,0,1,37,15,0,0,1,1,1,6.996379852294922,0.033657949417829514,1.0322998762130737
85,0,1,71,12,0,0,1,1,1,11.445503234863281,0.022209681570529938,1.0087658166885376
86,0,0,63,21,0,0,1,1,1,6.601747035980225,0.038864877074956894,0.9583075046539307
87,0,1,73,23,0,0,1,1,1,12.181608200073242,0.03281183913350105,0.9893205165863037
88,0,0,51,17,1,1,1,1,1,3.4602773189544678,0.054898329079151154,0.9249405264854431
89,0,1,33,19,1,1,1,1,1,3.552215099334717,0.048733849078416824,1.0381593704223633
90,0,0,57,19,1,1,1,1,1,3.9780795574188232,0.03328395634889603,0.9910393953323364
91,0,0,11,10,1,1,1,1,1,4.095526695251465,0.021815260872244835,1.029826045036316
92,0,1,34,8,0,0,1,1,1,8.475075721740723,0.017125152051448822,1.00062894821167
93,0,0,16,12,1,1,1,1,1,2.045990228652954,0.03082287684082985,1.0517410039901733
94,0,1,39,14,0,0,1,1,1,10.289165496826172,0.028596578165888786,1.0510215759277344
95,0,1,33,13,0,0,1,1,1,10.053391456604004,0.019164646044373512,1.0227622985839844
96,0,1,34,12,0,0,1,1,1,7.836395263671875,0.023747362196445465,1.0093704462051392
97,0,0,4,14,0,0,1,1,1,6.751091480255127,0.04581756144762039,1.08785080909729
98,0,1,73,19,0,0,1,1,1,13.35838794708252,0.03487968072295189,0.9947999119758606
99,0,1,39,12,0,0,1,1,1,10.467270851135254,0.016061857342720032,1.0033997297286987
100,0,1,73,21,0,0,1,1,1,8.312077522277832,0.02713734097778797,1.0535334348678589
101,0,0,42,19,0,0,1,1,1,9.502274513244629,0.04600079730153084,1.1049370765686035
102,0,1,37,25,0,0,1,1,1,5.925055503845215,0.04492131620645523,1.048996090888977
103,0,0,23,14,1,1,1,1,1,2.124180793762207,0.034384675323963165,1.0510475635528564
104,0,1,71,9,0,0,1,1,1,16.478864669799805,0.03284864127635956,1.0149060487747192
105,0,1,33,21,0,0,1,1,1,10.741974830627441,0.040686216205358505,1.0435118675231934
106,0,1,37,10,0,0,1,1,1,10.870928764343262,0.025882262736558914,1.0245640277862549
107,0,1,39,19,0,0,1,1,1,8.557771682739258,0.05424240976572037,1.0669101476669312
108,0,0,27,22,0,0,1,1,1,5.151705741882324,0.046200498938560486,1.069845199584961
109,0,0,23,8,1,1,1,1,1,1.8449532985687256,0.02294011600315571,1.0487302541732788
110,0,0,28,11,1,1,1,1,1,1.6499829292297363,0.030335159972310066,1.0467764139175415
111,0,0,63,21,1,1,1,1,1,4.901770114898682,0.04311298578977585,0.9594376683235168
112,0,0,51,16,1,1,1,1,1,4.734683990478516,0.04040206968784332,0.9317245483398438
113,0,1,33,16,0,0,1,1,1,7.933173179626465,0.014555667527019978,1.003564715385437
114,0,1,34,9,0,0,1,1,1,9.399479866027832,0.014060379937291145,1.008256196975708
115,0,1,40,20,0,0,1,1,1,7.237045764923096,0.02650400437414646,1.0182850360870361
116,0,0,45,11,0,0,1,1,1,9.471494674682617,0.03774574026465416,1.0337477922439575
117,0,0,23,13,1,1,1,1,1,1.941436529159546,0.05341256409883499,1.0732961893081665
118,0,1,72,12,0,0,1,1,1,14.179166793823242,0.015029690228402615,1.0185751914978027
119,0,0,15,18,1,1,1,1,1,3.2922208309173584,0.03799710422754288,1.0745433568954468
120,0,1,72,12,0,0,1,1,1,12.08773136138916,0.024418439716100693,1.0038503408432007
