candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,6,22,0,0,1,1,1,6.04180908203125,0.07633575797080994,1.0950875282287598
1,0,0,37,25,1,1,1,1,1,2.8612637519836426,0.045478299260139465,0.9841396808624268
2,0,0,23,14,0,0,1,1,1,8.95405387878418,0.018601618707180023,1.0585955381393433
3,0,1,67,20,0,0,1,1,1,5.2278289794921875,0.015519876033067703,1.0240519046783447
4,0,0,11,10,0,0,1,1,1,5.077755451202393,0.02915065921843052,1.0435163974761963
5,0,0,16,16,0,0,1,1,1,7.793038845062256,0.021209316328167915,1.0173006057739258
6,0,1,28,8,0,0,1,1,1,6.713860034942627,0.018238626420497894,1.0171027183532715
7,0,0,38,9,0,0,1,1,1,5.131509304046631,0.017036087810993195,1.0607792139053345
8,0,0,24,20,0,0,1,1,1,10.90145492553711,0.025419458746910095,1.0545767545700073
9,0,0,8,19,1,1,1,1,1,3.6244165897369385,0.03295694291591644,1.006028652191162
10,0,0,18,12,0,0,1,1,1,10.343017578125,0.01715165562927723,1.038998007774353
11,0,0,35,20,1,1,1,1,1,2.090855836868286,0.02531776763498783,1.033019781112671
12,0,0,54,25,0,0,1,1,1,14.285603523254395,0.06375237554311752,1.1217176914215088
13,0,0,39,9,1,1,1,1,1,2.674274444580078,0.018917113542556763,0.9955646395683289
14,0,0,33,21,1,1,1,1,1,3.979485034942627,0.04500114172697067,1.1037272214889526
15,0,0,44,21,0,0,1,1,1,16.427047729492188,0.0727999359369278,0.925294041633606
16,0,1,65,23,0,0,1,1,1,5.209996700286865,0.05356232076883316,0.9468458890914917
17,0,1,25,24,0,0,1,1,1,14.601768493652344,0.04196758568286896,0.9997924566268921
18,0,0,16,11,0,0,1,1,1,10.260162353515625,0.014270856976509094,1.047315001487732
19,0,0,17,19,0,0,1,1,1,16.231901168823242,0.030427608639001846,0.9781422019004822
20,0,0,17,24,0,0,1,1,1,15.89002513885498,0.014827745966613293,1.031783103942871
21,0,1,70,21,0,0,1,1,1,10.136472702026367,0.02858731336891651,1.055991768836975
22,0,1,25,10,0,0,1,1,1,5.742812156677246,0.007590374443680048,1.0303351879119873
23,0,1,58,18,0,0,1,1,1,10.944199562072754,0.01908864825963974,1.0142258405685425
24,0,1,69,8,1,1,1,1,1,4.6856689453125,0.038502052426338196,1.0910488367080688
25,0,1,65,17,0,0,1,1,1,7.500655651092529,0.04581378027796745,1.0990208387374878
26,0,1,67,8,0,0,1,1,1,6.724654197692871,0.020525135099887848,1.0515385866165161
27,0,0,6,22,1,1,1,1,1,2.8727471828460693,0.02120998688042164,0.9951670169830322
28,0,1,30,19,0,0,1,1,1,14.073801040649414,0.056190840899944305,1.005041241645813
29,0,0,21,19,0,0,1,1,1,8.092866897583008,0.04766174405813217,0.952532172203064
30,0,1,66,21,0,0,1,1,1,9.201937675476074,0.03958291932940483,1.064417839050293
31,0,1,31,25,0,0,1,1,1,5.468814373016357,0.015156084671616554,1.0443737506866455
32,0,1,58,8,0,0,1,1,1,12.549873352050781,0.01448144018650055,1.0299603939056396
33,0,0,22,13,0,0,1,1,1,13.885151863098145,0.031794268637895584,0.9815135598182678
34,0,1,65,11,0,0,1,1,1,8.582653999328613,0.019102714955806732,1.043200135231018
