candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,0,54,21,0,0,1,1,1,14.23449993133545,0.020835835486650467,0.9989044666290283
1,0,0,70,17,0,0,1,1,1,6.647926330566406,0.02125188522040844,1.0033401250839233
2,0,1,39,15,1,1,1,1,1,2.7840888500213623,0.0189523883163929,1.0295583009719849
3,0,0,72,16,1,1,1,1,1,3.7743031978607178,0.038713887333869934,1.0650140047073364
4,0,0,70,14,0,0,1,1,1,8.274813652038574,0.013973582535982132,1.0263336896896362
5,0,0,60,20,1,1,1,1,1,2.825436592102051,0.06167125329375267,0.9262877106666565
6,0,0,9,23,1,1,1,1,1,1.8652929067611694,0.07946731895208359,1.0989965200424194
7,0,1,34,11,1,1,1,1,1,1.2728488445281982,0.019596870988607407,1.012619137763977
8,0,1,36,11,1,1,1,1,1,1.1771965026855469,0.025634007528424263,0.9836454391479492
9,0,1,75,20,0,0,1,1,1,6.69370174407959,0.032415103167295456,1.057329773902893
10,0,1,35,22,1,1,1,1,1,1.943979263305664,0.024641992524266243,1.0717878341674805
11,0,0,29,18,1,1,1,1,1,2.901918888092041,0.04924828186631203,0.928932785987854
12,0,0,11,9,1,1,1,1,1,2.3794519901275635,0.024972764775156975,0.9705073237419128
13,0,1,80,18,1,1,1,1,1,4.622354507446289,0.07551360875368118,1.0633862018585205
14,0,0,54,17,0,0,1,1,1,11.269850730895996,0.027505669742822647,0.99289870262146
15,0,0,55,21,1,1,1,1,1,4.234305381774902,0.010554817505180836,0.9831640124320984
16,0,1,34,12,1,1,1,1,1,1.0293011665344238,0.019178370013833046,0.9869202971458435
17,0,1,80,15,0,0,1,1,1,10.195125579833984,0.03841295465826988,1.089339017868042
18,0,1,81,19,0,0,1,1,1,17.354433059692383,0.014831959269940853,1.037800669670105
19,0,0,19,21,1,1,1,1,1,4.045872688293457,0.0335906520485878,1.0238099098205566
20,0,1,39,24,1,1,1,1,1,3.0801987648010254,0.06674446165561676,1.1285988092422485
21,0,0,54,11,0,0,1,1,1,12.355551719665527,0.02775833010673523,1.030139446258545
22,0,1,81,9,0,0,1,1,1,7.289365291595459,0.018261214718222618,1.0802793502807617
23,0,1,37,8,1,1,1,1,1,4.183328151702881,0.013487553223967552,1.0076714754104614
24,0,0,14,10,1,1,1,1,1,2.07938551902771,0.03162438049912453,0.9758848547935486
25,0,1,77,25,0,0,1,1,1,8.656477928161621,0.05014703795313835,1.019506573677063
26,0,0,58,11,0,0,1,1,1,7.390544414520264,0.024453530088067055,0.97344970703125
27,0,0,72,21,0,0,1,1,1,12.183865547180176,0.03403338044881821,0.9773208498954773
28,0,1,81,16,0,0,1,1,1,10.129830360412598,0.018672626465559006,1.0563961267471313
29,0,1,36,19,1,1,1,1,1,1.225830316543579,0.04332808777689934,1.0150511264801025
30,0,0,5,23,1,1,1,1,1,2.3821616172790527,0.05269983410835266,1.0100709199905396
31,0,1,76,22,0,0,1,1,1,7.8969573974609375,0.027660993859171867,1.0685652494430542
32,0,0,3,14,1,1,1,1,1,2.2013723850250244,0.01642642356455326,1.0141545534133911
33,0,0,10,25,1,1,1,1,1,1.6614735126495361,0.0507461354136467,0.9412774443626404
