candidate,age,stage,anchor_index,noise_start_t,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
0,0,1,64,10,1,1,1,1,1,2.1310079097747803,0.022064238786697388,0.9690918326377869
1,0,1,62,15,1,1,1,1,1,2.096022367477417,0.014872902072966099,0.9894923567771912
2,0,1,26,25,0,0,1,1,1,12.837903022766113,0.013274794444441795,0.9878601431846619
3,0,0,43,13,0,0,1,1,1,7.39361047744751,0.023001402616500854,0.9814878106117249
4,0,0,52,24,0,0,1,1,1,5.91884708404541,0.03326362743973732,0.9510400295257568
5,0,0,53,15,0,0,1,1,1,8.954034805297852,0.018735071644186974,0.9889868497848511
6,0,1,69,12,1,1,1,1,1,2.0256876945495605,0.030687225982546806,1.0317130088806152
7,0,0,10,25,1,1,1,1,1,2.227332592010498,0.0672994926571846,1.1408264636993408
8,0,0,44,8,1,1,1,1,1,3.096514940261841,0.028975781053304672,0.9957424402236938
9,0,1,29,21,0,0,1,1,1,7.830019950866699,0.01602698490023613,1.0009465217590332
10,0,1,68,13,1,1,1,1,1,4.948309421539307,0.020593762397766113,1.0024160146713257
11,0,1,61,8,1,1,1,1,1,3.5903239250183105,0.02095242403447628,0.9865251779556274
12,0,0,58,11,1,1,1,1,1,4.502568244934082,0.03373111039400101,0.9385096430778503
13,0,1,64,23,0,0,1,1,1,5.488816261291504,0.05891360342502594,0.9377644658088684
14,0,1,61,9,1,1,1,1,1,1.98097825050354,0.01727880910038948,0.9714820384979248
15,0,0,41,24,0,0,1,1,1,7.103079319000244,0.032722990959882736,1.027897596359253
16,0,1,65,9,1,1,1,1,1,3.323436975479126,0.013580821454524994,0.9884701371192932
17,0,1,35,19,0,0,1,1,1,15.943990707397461,0.027216758579015732,1.016916036605835
18,0,1,30,23,0,0,1,1,1,12.458419799804688,0.017943503335118294,0.9953468441963196
19,0,1,61,9,1,1,1,1,1,2.1077561378479004,0.01614508032798767,0.9931946992874146
20,0,0,57,11,0,0,1,1,1,6.230258941650391,0.02837209589779377,0.9580242037773132
21,0,1,34,10,0,0,1,1,1,6.034102439880371,0.0325809083878994,1.0319361686706543
22,0,0,55,24,1,1,1,1,1,4.6534810066223145,0.02454264834523201,0.9594218730926514
23,0,1,33,17,0,0,1,1,1,9.519022941589355,0.01972210220992565,0.9785268306732178
24,0,1,64,10,0,0,1,1,1,7.624870300292969,0.02469109743833542,0.9637984037399292
25,0,1,33,8,0,0,1,1,1,12.422218322753906,0.01997154951095581,1.0057648420333862
26,0,1,35,10,0,0,1,1,1,12.113940238952637,0.022244982421398163,1.0041418075561523
27,0,0,40,21,0,0,1,1,1,5.374727249145508,0.06846262514591217,1.077214002609253
28,0,0,42,12,1,1,1,1,1,2.4965274333953857,0.018819916993379593,1.0091594457626343
29,0,1,29,12,0,0,1,1,1,8.17209243774414,0.012599470093846321,1.0084412097930908
30,0,0,19,22,0,0,1,1,1,12.981307029724121,0.019135992974042892,1.0067452192306519
31,0,0,10,17,1,1,1,1,1,3.9936447143554688,0.023512665182352066,1.0246691703796387
32,0,1,25,23,0,0,1,1,1,8.073095321655273,0.03284972906112671,0.9491309523582458
33,0,1,65,22,1,1,1,1,1,1.9373202323913574,0.014293593354523182,1.0096213817596436
34,0,0,5,18,1,1,1,1,1,3.8854598999023438,0.03062974475324154,1.0702811479568481
35,0,0,1,22,1,1,1,1,1,1.2054848670959473,0.022403515875339508,1.0293256044387817
36,0,0,42,24,0,0,1,1,1,6.979174613952637,0.027199311181902885,1.006382942199707
37,0,1,70,9,1,1,1,1,1,2.9897093772888184,0.024829350411891937,1.0054802894592285
38,0,1,62,8,0,0,1,1,1,7.694649696350098,0.021161699667572975,0.9570791721343994
