heldout,method,representation,pair_count,auroc,auprc,f1,balanced_accuracy,aug_mean
TS0330A,classical,fusion_absolute,3,0.998989898989899,0.9974747474747474,0.4029304029304029,0.6333333333333333,13.333333333333334
TS0330A,classical,fusion_shape,3,0.9060606060606061,0.7304794089483084,0.7684291187739464,0.8833333333333333,13.333333333333334
TS0330A,classical,pressure_absolute,3,0.46868686868686876,0.4117620223996026,0.3156288156288156,0.5555555555555555,13.333333333333334
TS0330A,classical,pressure_shape,3,0.6525252525252525,0.44161961148123147,0.3718442447582371,0.5888888888888889,13.333333333333334
TS0330A,classical,temperature,3,0.998989898989899,0.9974747474747474,0.821604938271605,0.9166666666666669,13.333333333333334
TS0330A,racdiff,fusion_absolute,3,0.9979797979797981,0.9947199265381084,0.39389920424403185,0.6277777777777778,13.333333333333334
TS0330A,racdiff,fusion_shape,3,0.8808080808080808,0.7004817822929278,0.7408326440584506,0.8666666666666666,13.333333333333334
TS0330A,racdiff,pressure_absolute,3,0.6656565656565657,0.5110666060179683,0.3156288156288156,0.5555555555555555,13.333333333333334
TS0330A,racdiff,pressure_shape,3,0.7121212121212123,0.47820209731602265,0.5520244249384173,0.7015151515151515,13.333333333333334
TS0330A,racdiff,temperature,3,0.995959595959596,0.988322620140802,0.7689229459344401,0.888888888888889,13.333333333333334
TS0330A,real_only,fusion_absolute,3,0.9929292929292929,0.9834831834831834,0.38547008547008543,0.6222222222222222,0.0
TS0330A,real_only,fusion_shape,3,0.9151515151515152,0.756346481072065,0.7684291187739464,0.8833333333333333,0.0
TS0330A,real_only,pressure_absolute,3,0.7454545454545455,0.669861725046898,0.6118012422360248,0.7237373737373737,0.0
TS0330A,real_only,pressure_shape,3,0.7363636363636363,0.4989077290634663,0.5318442447582371,0.6853535353535354,0.0
TS0330A,real_only,temperature,3,1.0,1.0,0.8198290598290598,0.9166666666666666,0.0
TS0330B,classical,fusion_absolute,3,0.98989898989899,0.9639339826839827,0.31372549019607837,0.6616161616161617,41.666666666666664
TS0330B,classical,fusion_shape,3,0.9696969696969697,0.8627231564731566,0.6951690075628955,0.8787878787878789,41.666666666666664
TS0330B,classical,pressure_absolute,3,0.3623737373737373,0.17067797149624164,0.2176870748299319,0.5,41.666666666666664
TS0330B,classical,pressure_shape,3,0.2184343434343434,0.14056075261508694,0.0732323232323232,0.26515151515151514,41.666666666666664
TS0330B,classical,temperature,3,1.0,1.0,0.6209203090762311,0.8484848484848485,41.666666666666664
TS0330B,racdiff,fusion_absolute,3,0.9886363636363636,0.9570556758056759,0.20512820512820515,0.6161616161616162,41.666666666666664
TS0330B,racdiff,fusion_shape,3,0.9671717171717171,0.858294252044252,0.7223075610172384,0.888888888888889,41.666666666666664
TS0330B,racdiff,pressure_absolute,3,0.4128787878787879,0.18369867314751387,0.10884353741496595,0.5,41.666666666666664
TS0330B,racdiff,pressure_shape,3,0.22095959595959594,0.14792626644131798,0.15272077823377408,0.35227272727272724,41.666666666666664
TS0330B,racdiff,temperature,3,1.0,1.0,0.6304312970979637,0.8535353535353535,41.666666666666664
TS0330B,real_only,fusion_absolute,3,0.9545454545454546,0.8487376049876051,0.2318840579710145,0.6313131313131314,0.0
TS0330B,real_only,fusion_shape,3,0.952020202020202,0.8079556064850183,0.6695906432748537,0.8636363636363636,0.0
TS0330B,real_only,pressure_absolute,3,0.7070707070707071,0.3223025431358764,0.26757369614512466,0.5637626262626263,0.0
