method,representation,auroc_mean,auroc_worst,auprc_mean,auprc_worst,f1_mean,balanced_acc_mean,aug_mean
classical,fusion_absolute,0.9668510319646684,0.8531746031746031,0.9543371392480237,0.833317623236978,0.41479897523821674,0.6748570330635548,34.791666666666664
classical,fusion_shape,0.9242452174039789,0.8647619047619047,0.8107022377046604,0.5753968253968255,0.655267078707076,0.8237239632348328,34.791666666666664
classical,pressure_absolute,0.4651547711334437,0.16938405797101444,0.37818698870903256,0.17067797149624164,0.274347510891042,0.5072355935127674,34.791666666666664
classical,pressure_shape,0.5165002838314762,0.2184343434343434,0.3900814239359567,0.14056075261508694,0.31624454725450285,0.5286493624129494,34.791666666666664
classical,temperature,0.9949134199134199,0.9603174603174601,0.9893127705627706,0.9170274170274167,0.7375315845228857,0.8804096085074347,34.791666666666664
racdiff,fusion_absolute,0.9838008421152361,0.9314285714285715,0.9730264159992245,0.8963718820861678,0.4556915625411002,0.710005051812117,34.791666666666664
racdiff,fusion_shape,0.9472972072424477,0.8808080808080808,0.8664520363817765,0.7004817822929278,0.6663853251055215,0.8358683104335278,34.791666666666664
racdiff,pressure_absolute,0.5135894480677913,0.37952898550724634,0.38042966655147015,0.12231778570013863,0.3111069326084469,0.515327380952381,34.791666666666664
racdiff,pressure_shape,0.5402397639263581,0.22095959595959594,0.39663260854591464,0.14792626644131798,0.3781518466005107,0.55144439346885,34.791666666666664
racdiff,temperature,0.9980068542568543,0.9880952380952381,0.994770486247759,0.9698412698412696,0.7292123494244415,0.8783761528326746,34.791666666666664
real_only,fusion_absolute,0.9425253180766191,0.746031746031746,0.9200714922270599,0.781468746307456,0.43073393095473966,0.6766481978166761,0.0
real_only,fusion_shape,0.9126374113095951,0.7579365079365079,0.803663338295861,0.5481481481481482,0.6720156144381039,0.8295530126576323,0.0
real_only,pressure_absolute,0.8143552042794467,0.5961904761904762,0.7005855554142993,0.3223025431358764,0.4340147315250925,0.6346957933370977,0.0
real_only,pressure_shape,0.5998271513443615,0.3396464646464646,0.4354020999593666,0.1630596255596255,0.38017792176109005,0.5827141759206976,0.0
real_only,temperature,0.9722222222222222,0.7777777777777778,0.9746836368956184,0.7974690951649478,0.7177522931119816,0.8639153373800114,0.0
