method,representation,delta_auroc_mean,delta_auroc_median,auroc_improved_experiments,delta_auprc_mean,delta_auprc_median,auprc_improved_experiments,delta_f1_mean
classical,fusion_absolute,0.024325713888049202,0.005499438832772208,6,0.03426564702096385,0.008954409501365113,6,-0.01593495571652296
classical,fusion_shape,0.011607806094383846,0.0023047504025764942,5,0.007038899408799426,0.003504208442772716,4,-0.016748535731027886
classical,pressure_absolute,-0.349200433146003,-0.3130892255892257,1,-0.3223985667052668,-0.3160029454336046,1,-0.15966722063405053
classical,pressure_shape,-0.0833268675128853,-0.1025252525252525,3,-0.04532067602340992,-0.0422398792639825,3,-0.06393337450658723
classical,temperature,0.022691197691197665,0.0,1,0.014629133667152044,0.0,1,0.019779291410904024
racdiff,fusion_absolute,0.04127552403861692,0.011784511784511842,6,0.052954923772164625,0.014433000692968878,7,0.024957631586360544
racdiff,fusion_shape,0.034659795932852594,0.011896745230078554,5,0.06278869808591545,0.018861584543402754,4,-0.005630289332582361
racdiff,pressure_absolute,-0.30076575621165547,-0.33413299663299667,0,-0.3201558888628292,-0.28005263504704564,0,-0.12290779891664562
racdiff,pressure_shape,-0.05958738741800332,-0.07491582491582488,2,-0.0387694914134519,-0.020265879433471384,2,-0.0020260751605793645
racdiff,temperature,0.02578463203463205,0.0,1,0.020086849352140473,0.0,1,0.011460056312459818
