representation,contrast,metric,n_experiments,mean_delta,median_delta,ci95_lo,ci95_hi,improved_experiments,tied_experiments,exact_signflip_p
fusion_absolute,racdiff-real_only,auroc,8,0.04127552403861692,0.011784511784511786,0.00475004016258955,0.10442256979497595,6,1,0.046875
fusion_absolute,racdiff-real_only,auprc,8,0.05295492377216465,0.014433000692968878,0.01045462887623863,0.10926414466808816,7,1,0.015625
fusion_absolute,racdiff-real_only,f1,8,0.024957631586360544,0.01431556948798332,-0.06136868995749842,0.12377095426278555,5,0,0.671875
fusion_absolute,racdiff-real_only,balanced_accuracy,8,0.03335685399544095,0.0018719806763284885,-0.028462602212602175,0.11249620950707927,4,0,0.5
fusion_absolute,classical-real_only,auroc,8,0.02432571388804923,0.005499438832772319,0.0035759211917706897,0.05165984160096482,6,1,0.0625
fusion_absolute,classical-real_only,auprc,8,0.03426564702096391,0.008954409501365168,0.006481125176061336,0.06666441331493723,6,1,0.046875
fusion_absolute,classical-real_only,f1,8,-0.015934955716522967,0.021361737677527165,-0.10455530673583413,0.05713990469711293,5,0,0.7578125
fusion_absolute,classical-real_only,balanced_accuracy,8,-0.0017911647531212646,0.015519323671497609,-0.04020202020202015,0.03416658824267518,5,0,0.9296875
fusion_absolute,racdiff-classical,auroc,8,0.016949810150567693,0.0,-0.007785940210182654,0.05660911058638332,3,2,0.625
fusion_absolute,racdiff-classical,auprc,8,0.018689276751200745,0.0,-0.008519428202869744,0.06336010334132554,3,2,0.6875
fusion_absolute,racdiff-classical,f1,8,0.04089258730288352,-0.007046168189543844,-0.027233655720140176,0.11738197786042386,3,0,0.4140625
fusion_absolute,racdiff-classical,balanced_accuracy,8,0.035148018748562215,-0.006111111111111123,-0.014172156346069414,0.09363903005207352,3,0,0.375
fusion_shape,racdiff-real_only,auroc,8,0.03465979593285261,0.01189674523007861,-0.0035291152633049605,0.09152487173320509,5,1,0.1875
fusion_shape,racdiff-real_only,auprc,8,0.06278869808591545,0.018861584543402754,-0.006609382493587968,0.1460421206319446,4,0,0.25
fusion_shape,racdiff-real_only,f1,8,-0.005630289332582361,0.010172666839333488,-0.09848288610350012,0.06733716193835515,6,0,0.90625
fusion_shape,racdiff-real_only,balanced_accuracy,8,0.006315297775895623,0.009343434343434376,-0.0400496056253529,0.05144615923403292,6,0,0.59375
fusion_shape,classical-real_only,auroc,8,0.011607806094383818,0.0023047504025764942,-0.0148617050342182,0.04824874652320302,5,0,0.7109375
fusion_shape,classical-real_only,auprc,8,0.00703889940879944,0.003504208442772716,-0.016579501376232868,0.03197630762807907,4,0,0.6171875
fusion_shape,classical-real_only,f1,8,-0.016748535731027893,0.012029198871304103,-0.07608326396140265,0.024376700337014404,5,1,0.78125
fusion_shape,classical-real_only,balanced_accuracy,8,-0.0058290494227993955,0.01187500000000008,-0.03795454545454545,0.019150151064213607,5,1,0.796875
fusion_shape,racdiff-classical,auroc,8,0.02305198983846879,0.009213564213564285,-0.0011644219977552384,0.04945400068506134,4,0,0.1875
fusion_shape,racdiff-classical,auprc,8,0.055749798677116005,0.013705814352997558,-0.0014090126997402669,0.1284369274297365,5,0,0.1875
fusion_shape,racdiff-classical,f1,8,0.011118246398445532,-0.005059501901607144,-0.026891674569262627,0.053226845867174355,3,0,0.6640625
fusion_shape,racdiff-classical,balanced_accuracy,8,0.012144347198695019,-0.0036231884057971175,-0.010416666666666755,0.040034271284271325,3,1,0.484375
pressure_absolute,racdiff-real_only,auroc,8,-0.30076575621165547,-0.33413299663299667,-0.41392251317523066,-0.18518893365888744,0,0,0.0078125
pressure_absolute,racdiff-real_only,auprc,8,-0.3201558888628292,-0.2800526350470457,-0.45998810297529813,-0.1916010133627356,0,0,0.0078125
pressure_absolute,racdiff-real_only,f1,8,-0.12290779891664562,-0.15147854525802984,-0.2003640540291769,-0.032197903358351876,1,0,0.03125
pressure_absolute,racdiff-real_only,balanced_accuracy,8,-0.11936841238471674,-0.13964646464646463,-0.17886120031840141,-0.05545138888888888,1,0,0.0234375
pressure_absolute,classical-real_only,auroc,8,-0.349200433146003,-0.3130892255892257,-0.5181006820273126,-0.18100130999752218,1,0,0.015625
pressure_absolute,classical-real_only,auprc,8,-0.32239856670526684,-0.3160029454336046,-0.49544719447841024,-0.15280736764417413,1,0,0.015625
pressure_absolute,classical-real_only,f1,8,-0.15966722063405053,-0.18824325114038276,-0.2340074570854218,-0.08325704489079856,0,0,0.0078125
pressure_absolute,classical-real_only,balanced_accuracy,8,-0.12746019982433027,-0.13964646464646463,-0.1950349109299517,-0.057667297979798,1,0,0.0234375
pressure_absolute,racdiff-classical,auroc,8,0.04843467693434758,0.05796857463524141,-0.03723299007389915,0.13322406257188868,5,0,0.3359375
pressure_absolute,racdiff-classical,auprc,8,0.0022426778424376147,0.02948130941509762,-0.08036499433723523,0.07214191430365546,5,0,0.9375
pressure_absolute,racdiff-classical,f1,8,0.03675942171740493,0.0,-0.05234850350396568,0.15967508798391156,3,3,0.8125
pressure_absolute,racdiff-classical,balanced_accuracy,8,0.00809178743961353,0.0,0.0,0.023369565217391308,2,6,0.5
pressure_shape,racdiff-real_only,auroc,8,-0.05958738741800332,-0.07491582491582488,-0.11365540323873655,-0.0008446481725466332,2,0,0.109375
pressure_shape,racdiff-real_only,auprc,8,-0.03876949141345192,-0.020265879433471454,-0.0978281756423132,0.007643397403172901,2,0,0.2265625
pressure_shape,racdiff-real_only,f1,8,-0.002026075160579361,-0.011184308252777442,-0.035736951658329755,0.0346584141370705,4,0,0.9296875
pressure_shape,racdiff-real_only,balanced_accuracy,8,-0.03126978245184768,-0.03417748917748925,-0.06068497474747475,-0.0021455456153145406,2,0,0.09375
pressure_shape,classical-real_only,auroc,8,-0.08332686751288532,-0.1025252525252525,-0.15039790491495042,-0.013052150647259321,3,0,0.0703125
pressure_shape,classical-real_only,auprc,8,-0.045320676023409945,-0.04223987926398254,-0.09388387391440964,0.0037072339790998887,3,0,0.1484375
pressure_shape,classical-real_only,f1,8,-0.0639333745065872,-0.056999374301605565,-0.10122370372135867,-0.02927399101976165,1,0,0.0234375
pressure_shape,classical-real_only,balanced_accuracy,8,-0.05406481350774829,-0.06450216450216456,-0.09396194083694082,-0.013369526005395573,2,0,0.0546875
pressure_shape,racdiff-classical,auroc,8,0.023739480094881988,0.019668737060041436,-0.021819828722002624,0.06624462518401918,7,0,0.3828125
pressure_shape,racdiff-classical,auprc,8,0.006551184609958023,0.015134413619637313,-0.027920226158379937,0.039680244720596364,5,0,0.7265625
pressure_shape,racdiff-classical,f1,8,0.061907299346007846,0.061547463097064437,0.013692191204001308,0.10964820546948839,7,0,0.0546875
pressure_shape,racdiff-classical,balanced_accuracy,8,0.02279503105590061,0.043181818181818155,-0.03358799563962609,0.0699419466403162,6,0,0.4296875
temperature,racdiff-real_only,auroc,8,0.025784632034632035,0.0,-0.0015151515151514833,0.07886904761904759,1,6,1.0
temperature,racdiff-real_only,auprc,8,0.020086849352140473,0.0,-0.004379017447199263,0.06463956550362068,1,6,1.0
temperature,racdiff-real_only,f1,8,0.011460056312459797,0.0006363949088407928,-0.016363354709417834,0.045048815226122134,4,1,0.609375
temperature,racdiff-real_only,balanced_accuracy,8,0.014460815452663256,-1.1102230246251565e-16,-0.008528765920070264,0.04832535369220155,3,2,0.53125
temperature,classical-real_only,auroc,8,0.02269119769119765,0.0,-0.0003787878787878812,0.06845238095238083,1,6,1.0
temperature,classical-real_only,auprc,8,0.014629133667152044,0.0,-0.0009469696969697239,0.04483437069842586,1,6,1.0
temperature,classical-real_only,f1,8,0.019779291410903996,0.0070612408073709165,-0.0029001639966552,0.052857258377124156,6,1,0.21875
temperature,classical-real_only,balanced_accuracy,8,0.016494271127423285,0.006400966183574774,-0.0005335968379446832,0.042800775613275596,6,2,0.15625
temperature,racdiff-classical,auroc,8,0.003093434343434384,0.0,-0.001136363636363602,0.010416666666666755,1,6,1.0
temperature,racdiff-classical,auprc,8,0.005457715684988429,0.0,-0.003432047750229539,0.019805194805194826,1,6,1.0
temperature,racdiff-classical,f1,8,-0.008319235098444198,-0.0026315789473684015,-0.022678606685451998,0.0025764352528602277,2,2,0.3125
temperature,racdiff-classical,balanced_accuracy,8,-0.002033455674760029,0.0,-0.01171066252587985,0.006911784773197897,3,2,0.6875
