heldout,representation,method,delta_auroc,delta_auprc,delta_f1,delta_balanced_accuracy
TS0330A,fusion_absolute,classical,0.0060606060606061,0.013991563991563982,0.017460317460317454,0.011111111111111072
TS0330A,fusion_absolute,racdiff,0.005050505050505194,0.011236743054924947,0.00842911877394642,0.005555555555555536
TS0330A,fusion_shape,classical,-0.009090909090909038,-0.025867072123756607,0.0,0.0
TS0330A,fusion_shape,racdiff,-0.03434343434343434,-0.055864698779137245,-0.027596474715495756,-0.01666666666666672
TS0330A,pressure_absolute,classical,-0.2767676767676767,-0.2580997026472954,-0.2961724266072092,-0.1681818181818182
TS0330A,pressure_absolute,racdiff,-0.07979797979797976,-0.15879511902892973,-0.2961724266072092,-0.1681818181818182
TS0330A,pressure_shape,classical,-0.08383838383838382,-0.05728811758223484,-0.16000000000000003,-0.09646464646464648
TS0330A,pressure_shape,racdiff,-0.024242424242424065,-0.020705631747443665,0.020180180180180196,0.016161616161616155
TS0330A,temperature,classical,-0.0010101010101010166,-0.002525252525252597,0.0017758784425451202,2.220446049250313e-16
TS0330A,temperature,racdiff,-0.004040404040403955,-0.011677379859198034,-0.05090611389461974,-0.02777777777777768
TS0330B,fusion_absolute,classical,0.03535353535353536,0.11519637769637758,0.08184143222506388,0.030303030303030276
TS0330B,fusion_absolute,racdiff,0.03409090909090906,0.10831807081807077,-0.026755852842809347,-0.015151515151515138
TS0330B,fusion_shape,classical,0.017676767676767735,0.054767549988138264,0.02557836428804172,0.015151515151515249
TS0330B,fusion_shape,racdiff,0.015151515151515138,0.05033864555923373,0.05271691774238463,0.025252525252525304
TS0330B,pressure_absolute,classical,-0.3446969696969698,-0.15162457163963478,-0.04988662131519275,-0.0637626262626263
TS0330B,pressure_absolute,racdiff,-0.29419191919191917,-0.13860386998836255,-0.15873015873015872,-0.0637626262626263
TS0330B,pressure_shape,classical,-0.12121212121212119,-0.02719164094573015,-0.11765249751519771,-0.139520202020202
TS0330B,pressure_shape,racdiff,-0.11868686868686865,-0.019826127119499104,-0.03816404251374683,-0.05239898989898989
TS0330B,temperature,classical,0.0,0.0,0.026148065568355472,0.015151515151515138
TS0330B,temperature,racdiff,0.0,0.0,0.03565905359008814,0.02020202020202011
TS0330C,fusion_absolute,classical,0.0,0.0,0.025263157894736765,0.033333333333333215
TS0330C,fusion_absolute,racdiff,0.0,0.0,0.020202020202020166,0.022222222222222143
TS0330C,fusion_shape,classical,0.0037037037037036535,0.0272486772486773,0.02896825396825392,0.022222222222222365
TS0330C,fusion_shape,racdiff,0.0444444444444444,0.2962962962962963,0.014181286549707572,0.011111111111111072
TS0330C,pressure_absolute,classical,-0.28148148148148155,-0.3739061882199137,-0.24422799422799424,-0.2666666666666666
TS0330C,pressure_absolute,racdiff,-0.3740740740740741,-0.4361478227654698,-0.21184704184704184,-0.2055555555555555
TS0330C,pressure_shape,classical,0.029629629629629672,0.042911962764903944,-0.005855255855255842,0.033333333333333326
TS0330C,pressure_shape,racdiff,-0.07407407407407407,-0.005212998693390786,-0.06167662746610114,-0.10555555555555562
TS0330C,temperature,classical,0.0,0.0,0.0065359477124183885,0.005555555555555536
TS0330C,temperature,racdiff,0.0,0.0,0.00127278981768153,-2.220446049250313e-16
TS0330D,fusion_absolute,classical,0.04571428571428582,0.0918628051146847,-0.1388888888888889,-0.0752380952380951
TS0330D,fusion_absolute,racdiff,0.01904761904761909,0.06604080964983217,-0.1541394335511983,-0.08190476190476181
