tag,heldout,train_experiments,real_train_windows,real_train_positive,candidate_negative,accepted_negative_gate,candidate_positive,accepted_positive_gate,retained_negative,retained_positive,retained_total,acceptance_rate
A_BC,TS0330A,TS0330B+TS0330C,74,11,80,22,80,0,22,0,22,0.1375
A_DE,TS0330A,TS0330D+TS0330E,71,23,80,18,80,1,18,0,18,0.11875
A_FG,TS0330A,TS0330F+TS0330G,64,18,80,0,80,0,0,0,0,0.0
B_CD,TS0330B,TS0330C+TS0330D,65,10,80,7,80,22,7,16,23,0.18125
B_EF,TS0330B,TS0330E+TS0330F,72,27,80,24,80,15,24,14,38,0.24375
B_GH,TS0330B,TS0330G+TS0330H,64,22,80,31,80,45,31,33,64,0.475
C_DE,TS0330C,TS0330D+TS0330E,71,23,80,47,80,54,36,35,71,0.63125
C_FG,TS0330C,TS0330F+TS0330G,64,18,80,58,80,41,32,32,64,0.61875
C_HA,TS0330C,TS0330H+TS0330A,74,26,80,20,80,4,20,4,24,0.15
D_AB,TS0330D,TS0330A+TS0330B,82,19,80,10,80,8,10,8,18,0.1125
D_EF,TS0330D,TS0330E+TS0330F,72,27,80,16,80,6,16,3,19,0.1375
D_GH,TS0330D,TS0330G+TS0330H,64,22,80,50,80,20,47,17,64,0.4375
E_BC,TS0330E,TS0330B+TS0330C,74,11,80,10,80,0,10,0,10,0.0625
E_FG,TS0330E,TS0330F+TS0330G,64,18,80,30,80,1,30,1,31,0.19375
E_HA,TS0330E,TS0330H+TS0330A,74,26,80,11,80,1,11,1,12,0.075
F_AB,TS0330F,TS0330A+TS0330B,82,19,80,22,80,18,22,11,33,0.25
F_CD,TS0330F,TS0330C+TS0330D,65,10,80,0,80,0,0,0,0,0.0
F_GH,TS0330F,TS0330G+TS0330H,64,22,80,45,80,29,38,26,64,0.4625
G_BC,TS0330G,TS0330B+TS0330C,74,11,80,49,80,2,49,2,51,0.31875
G_DE,TS0330G,TS0330D+TS0330E,71,23,80,24,80,6,24,4,28,0.1875
G_HA,TS0330G,TS0330H+TS0330A,74,26,80,11,80,0,11,0,11,0.06875
H_AB,TS0330H,TS0330A+TS0330B,82,19,80,44,80,52,41,41,82,0.6
H_CD,TS0330H,TS0330C+TS0330D,65,10,80,17,80,11,17,6,23,0.175
H_EF,TS0330H,TS0330E+TS0330F,72,27,80,36,80,30,36,29,65,0.4125
