heldout,representation,n_train,n_test,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330A,temperature,242,41,11,1.0,1.0,0.8461538461538461,0.9333333333333333
TS0330A,pressure_absolute,242,41,11,0.8606060606060606,0.5853926774979407,0.0,0.5
TS0330A,pressure_shape,242,41,11,0.8181818181818181,0.4878149553951693,0.5945945945945946,0.75
TS0330A,fusion_absolute,242,41,11,1.0,1.0,0.0,0.5
TS0330A,fusion_shape,242,41,11,0.9575757575757576,0.8672484081574992,0.7857142857142857,0.9
TS0330B,temperature,242,41,8,1.0,1.0,0.6153846153846154,0.8484848484848485
TS0330B,pressure_absolute,242,41,8,0.7462121212121212,0.34979360916860913,0.0,0.45454545454545453
TS0330B,pressure_shape,242,41,8,0.24621212121212116,0.14237428344599196,0.22857142857142856,0.4015151515151515
TS0330B,fusion_absolute,242,41,8,1.0,1.0,0.6666666666666666,0.8787878787878788
TS0330B,fusion_shape,242,41,8,1.0,1.0,0.6153846153846154,0.8484848484848485
TS0330C,temperature,250,33,3,1.0,1.0,0.35294117647058826,0.8166666666666667
TS0330C,pressure_absolute,250,33,3,0.9555555555555556,0.8095238095238095,0.42857142857142855,0.8666666666666667
TS0330C,pressure_shape,250,33,3,0.7333333333333333,0.21031746031746035,0.25,0.7
TS0330C,fusion_absolute,250,33,3,1.0,1.0,0.42857142857142855,0.8666666666666667
TS0330C,fusion_shape,250,33,3,0.9666666666666667,0.6388888888888888,0.42857142857142855,0.8666666666666667
TS0330D,temperature,251,32,7,1.0,1.0,0.7,0.88
TS0330D,pressure_absolute,251,32,7,0.8057142857142857,0.7236842105263158,0.45454545454545453,0.6571428571428571
TS0330D,pressure_shape,251,32,7,0.9714285714285715,0.8954648526077098,0.56,0.78
TS0330D,fusion_absolute,251,32,7,0.9885714285714285,0.9617346938775511,0.6086956521739131,0.8200000000000001
TS0330D,fusion_shape,251,32,7,0.9257142857142857,0.7456305599162742,0.5384615384615384,0.76
TS0330E,temperature,244,39,16,1.0,1.0,0.9411764705882353,0.9565217391304348
TS0330E,pressure_absolute,244,39,16,0.9728260869565217,0.9643274617539324,0.7619047619047619,0.7826086956521738
TS0330E,pressure_shape,244,39,16,0.6521739130434784,0.6577068949280047,0.5,0.5760869565217391
TS0330E,fusion_absolute,244,39,16,1.0,1.0,1.0,1.0
TS0330E,fusion_shape,244,39,16,1.0,1.0,1.0,1.0
TS0330F,temperature,250,33,11,1.0,1.0,0.9565217391304348,0.9772727272727273
TS0330F,pressure_absolute,250,33,11,0.9586776859504132,0.9412878787878789,0.6666666666666666,0.75
TS0330F,pressure_shape,250,33,11,0.9793388429752067,0.9536042240587695,0.6666666666666666,0.75
TS0330F,fusion_absolute,250,33,11,1.0,1.0,0.9166666666666666,0.9545454545454546
TS0330F,fusion_shape,250,33,11,0.9834710743801652,0.9686586141131596,0.88,0.9318181818181819
TS0330G,temperature,252,31,7,0.8571428571428572,0.8145363408521302,0.6666666666666666,0.7946428571428572
TS0330G,pressure_absolute,252,31,7,0.9523809523809523,0.9081632653061225,0.5833333333333334,0.7916666666666667
TS0330G,pressure_shape,252,31,7,0.45833333333333337,0.23104816330622782,0.38461538461538464,0.5654761904761905
TS0330G,fusion_absolute,252,31,7,0.7142857142857143,0.7751152073732719,0.47619047619047616,0.6696428571428572
TS0330G,fusion_shape,252,31,7,0.7142857142857143,0.7751152073732719,0.7692307692307693,0.8363095238095238
TS0330H,temperature,250,33,15,1.0,1.0,0.75,0.8
TS0330H,pressure_absolute,250,33,15,0.9666666666666667,0.96510989010989,0.125,0.5333333333333333
TS0330H,pressure_shape,250,33,15,0.8518518518518519,0.8435457914405282,0.6086956521739131,0.7055555555555555
TS0330H,fusion_absolute,250,33,15,0.9851851851851852,0.9844444444444445,0.8461538461538461,0.8666666666666667
TS0330H,fusion_shape,250,33,15,1.0,1.0,0.8,0.8333333333333333
